token_budget,predicted_answer,max_new_tokens,task,retained_kv_memory_gb,kv_memory_per_token_kb,split,compression_ratio,question,retained_context_tokens,memory_budget_unit,answers,retained_kv_memory_mb,memory_budget,uncompressed_kv_memory_gb,answer_prefix,context_tokens,uncompressed_kv_memory_mb
27126.0," ['The Invincible Constable', 'The Village of No Return', 'The Adventures of Jinbao']",256,quest_32k,3.999891456,147.456,dev,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Capua Films
",27126.0,GB,['Spartacus (film)'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Midnight Zoo', 'This Census-Taker', 'Black Sheep (Hill novel)']",256,quest_32k,3.999891456,147.456,dev,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1990s Indian and folklore romance films.
",27126.0,GB,['Laal Paree' 'Roja (film)' 'Sahasa Veerudu Sagara Kanya'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao']",256,quest_32k,3.999891456,147.456,dev,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films shot in Gauteng or New Zealand action thrillers or Western films from South Africa
",27126.0,GB,['6 Days (2017 film)' 'Glory Glory (2000 film)' 'The Jackals'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away']",256,quest_32k,3.999891456,147.456,dev,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1860 novels or 1860 American novels or Ivan Turgenev novellas
",27126.0,GB,['Max Havelaar' 'The Marble Faun' 'The Mill on the Floss'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao']",256,quest_32k,3.999891456,147.456,dev,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Horror anthology films about time travel that were shot in the US
",27126.0,GB,['Southbound (2015 film)' 'Twilight Zone: The Movie'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Violent Bear It Away', 'The Gate to Women's Country', 'The Two Captains', 'The Trellisane Confrontation', 'The Vulcan Academy Murders', 'The Lives of Animals', 'The Midnight Zoo', 'The Phantom', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Public Image', 'The Two Who Stole the Moon', 'The Changeover', 'The Blind Owl', '",256,quest_32k,3.999891456,147.456,dev,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on European myths and legends and young adult literature
",27126.0,GB,['Percy Jackson & the Olympians: The Lightning Thief'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Village of No Return', 'The Midnight Zoo', 'The Midnight Zoo']",256,quest_32k,3.999891456,147.456,dev,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Supernatural horror films in the Artic
",27126.0,GB,"['Kajutaijuq: The Spirit That Comes' 'The Abandoned (2006 film)'
 'The Last Winter (2006 film)']",3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Invincible Constable', 'The Village of No Return']",256,quest_32k,3.999891456,147.456,dev,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Northern Mariana Islands set films
",27126.0,GB,['Anatahan (film)' 'Oba: The Last Samurai'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Lives of Animals', 'Treason by the Book', 'The Violent Bear It Away']",256,quest_32k,3.999891456,147.456,dev,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1980 books that are non fiction and, about British thriller.
",27126.0,GB,['Man on Fire (Quinnell novel)' 'Sweet Adelaide'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['Go to Hell!!', 'The Village of No Return']",256,quest_32k,3.999891456,147.456,dev,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Australian novels from 1991
",27126.0,GB,['Cloudstreet' 'Mandragora (novel)' 'Our Sunshine'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Story Without a Name (novel)', 'A Case of Need', 'Poison in Jest', 'The Bewitched', 'The Violent Bear It Away', 'The Final Nexus', 'The Peacekeepers', 'The Lives of Animals', 'The Violent Bear It Away', 'The Final Nexus', 'The Peacekeepers', 'The Lives of Animals']",256,quest_32k,3.999891456,147.456,test,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels about families set in Boston and New England.
",27126.0,GB,['A Case of Need'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The 3 Mistakes of My Life', 'One Night @ the Call Center', 'Five Point Someone']",256,quest_32k,3.999891456,147.456,test,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2009 Indian, or by Chetan Bhagat, novels
",27126.0,GB,"['Five Point Someone' 'One Night @ the Call Center'
 'The 3 Mistakes of My Life']",3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Gate to Women's Country', 'The Story Without a Name (novel)', 'The Violent Bear It Away', 'The Two Captains', 'The Lives of Animals']",256,quest_32k,3.999891456,147.456,test,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Hispanic and Latino American novels set anywhere besides North America
",27126.0,GB,['At Night We Walk in Circles' 'La reina de América' 'Lost City Radio'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Bewitched', 'The Violent Bear It Away', 'The Midnight Zoo', 'The Midnight Zoo', 'The Violent Bear It Away', 'The Bewitched']",256,quest_32k,3.999891456,147.456,test,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Swiss Films about stalking
",27126.0,GB,['One Way Trip 3D'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Violent Bear It Away', 'The Girl on the Stairs', 'The Phantom']",256,quest_32k,3.999891456,147.456,test,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1971 British thriller novels
",27126.0,GB,['Firecrest (novel)' 'Lament for Leto'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
27126.0," ['The Lives of Animals', 'Crisis of Conscience']",256,quest_32k,3.999891456,147.456,test,0.38904029370030857,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Critical Jehovah's Witness books.
",27126.0,GB,['Crisis of Conscience'],3999.891456,4.0,6.546898944,Final Answer: ,44399.0,6546.898944
