kv_memory_per_token_kb,answer_prefix,question,uncompressed_kv_memory_gb,memory_budget,uncompressed_kv_memory_mb,task,context_tokens,retained_context_tokens,retained_kv_memory_gb,max_new_tokens,retained_kv_memory_mb,memory_budget_unit,answer,predicted_answer,token_budget,compression_ratio,context_length
65.536,The special magic number for worried-colt mentioned in the provided text is,What is the special magic number for worried-colt mentioned in the provided text? ,2.215313408,0.2,2215.313408,niah_single_1,33803.0,3051.0,0.199950336,128,199.950336,GB,['8930103'], **8930103**.,3051.0,0.9097417388989143,32768
65.536,The special magic number for mindless-concert mentioned in the provided text is,What is the special magic number for mindless-concert mentioned in the provided text? ,2.215378944,0.2,2215.378944,niah_single_1,33804.0,3051.0,0.199950336,128,199.950336,GB,['4194548'], **4194548**.,3051.0,0.9097444089456869,32768
65.536,The special magic number for trite-omelet mentioned in the provided text is,What is the special magic number for trite-omelet mentioned in the provided text? ,2.21544448,0.2,2215.44448,niah_single_1,33805.0,3051.0,0.199950336,128,199.950336,GB,['8231838'], **8231838**.,3051.0,0.9097470788344919,32768
65.536,The special magic number for moaning-complicity mentioned in the provided text is,What is the special magic number for moaning-complicity mentioned in the provided text? ,2.215378944,0.2,2215.378944,niah_single_1,33804.0,3051.0,0.199950336,128,199.950336,GB,['8835373'], **8835373**.,3051.0,0.9097444089456869,32768
65.536,The special magic number for axiomatic-tremor mentioned in the provided text is,What is the special magic number for axiomatic-tremor mentioned in the provided text? ,2.215510016,0.2,2215.510016,niah_single_1,33806.0,3051.0,0.199950336,128,199.950336,GB,['7754864'], **7754864**.,3051.0,0.9097497485653434,32768
65.536,The special magic number for furtive-gearshift mentioned in the provided text is,What is the special magic number for furtive-gearshift mentioned in the provided text? ,2.215510016,0.2,2215.510016,niah_single_1,33806.0,3051.0,0.199950336,128,199.950336,GB,['4214348'], **4214348**.,3051.0,0.9097497485653434,32768
65.536,The special magic number for dazzling-dumbwaiter mentioned in the provided text is,What is the special magic number for dazzling-dumbwaiter mentioned in the provided text? ,2.21544448,0.2,2215.44448,niah_single_1,33805.0,3051.0,0.199950336,128,199.950336,GB,['8077999'], **8077999**.,3051.0,0.9097470788344919,32768
65.536,The special magic number for oval-tail mentioned in the provided text is,What is the special magic number for oval-tail mentioned in the provided text? ,2.215313408,0.2,2215.313408,niah_single_1,33803.0,3051.0,0.199950336,128,199.950336,GB,['5191056'], **5191056**.,3051.0,0.9097417388989143,32768
65.536,The special magic number for scattered-eaglet mentioned in the provided text is,What is the special magic number for scattered-eaglet mentioned in the provided text? ,2.215378944,0.2,2215.378944,niah_single_1,33804.0,3051.0,0.199950336,128,199.950336,GB,['2642635'], **2642635**.,3051.0,0.9097444089456869,32768
65.536,The special magic number for capricious-dugout mentioned in the provided text is,What is the special magic number for capricious-dugout mentioned in the provided text? ,2.215510016,0.2,2215.510016,niah_single_1,33806.0,3051.0,0.199950336,128,199.950336,GB,['4965789'], **4965789**.,3051.0,0.9097497485653434,32768
65.536,The special magic number for plucky-faculty mentioned in the provided text is,What is the special magic number for plucky-faculty mentioned in the provided text? ,2.21544448,0.2,2215.44448,niah_single_1,33805.0,3051.0,0.199950336,128,199.950336,GB,['9075854'], **9075854**.,3051.0,0.9097470788344919,32768
65.536,The special magic number for aware-judo mentioned in the provided text is,What is the special magic number for aware-judo mentioned in the provided text? ,2.215313408,0.2,2215.313408,niah_single_1,33803.0,3051.0,0.199950336,128,199.950336,GB,['3762152'], **3762152**.,3051.0,0.9097417388989143,32768
65.536,The special magic number for madly-packet mentioned in the provided text is,What is the special magic number for madly-packet mentioned in the provided text? ,2.215378944,0.2,2215.378944,niah_single_1,33804.0,3051.0,0.199950336,128,199.950336,GB,['5449368'], **5449368**.,3051.0,0.9097444089456869,32768
65.536,The special magic number for narrow-ticket mentioned in the provided text is,What is the special magic number for narrow-ticket mentioned in the provided text? ,2.215247872,0.2,2215.247872,niah_single_1,33802.0,3051.0,0.199950336,128,199.950336,GB,['9164991'], **9164991**.,3051.0,0.9097390686941601,32768
65.536,The special magic number for helpless-scrip mentioned in the provided text is,What is the special magic number for helpless-scrip mentioned in the provided text? ,2.215378944,0.2,2215.378944,niah_single_1,33804.0,3051.0,0.199950336,128,199.950336,GB,['4652414'], **4652414**.,3051.0,0.9097444089456869,32768
65.536,The special magic number for hurried-planet mentioned in the provided text is,What is the special magic number for hurried-planet mentioned in the provided text? ,2.215313408,0.2,2215.313408,niah_single_1,33803.0,3051.0,0.199950336,128,199.950336,GB,['1959074'], **1959074**.,3051.0,0.9097417388989143,32768
65.536,The special magic number for purring-obligation mentioned in the provided text is,What is the special magic number for purring-obligation mentioned in the provided text? ,2.21544448,0.2,2215.44448,niah_single_1,33805.0,3051.0,0.199950336,128,199.950336,GB,['9910817'], **9910817**.,3051.0,0.9097470788344919,32768
65.536,The special magic number for quick-rowboat mentioned in the provided text is,What is the special magic number for quick-rowboat mentioned in the provided text? ,2.215313408,0.2,2215.313408,niah_single_1,33803.0,3051.0,0.199950336,128,199.950336,GB,['2344047'], **2344047**.,3051.0,0.9097417388989143,32768
65.536,The special magic number for squalid-mile mentioned in the provided text is,What is the special magic number for squalid-mile mentioned in the provided text? ,2.215378944,0.2,2215.378944,niah_single_1,33804.0,3051.0,0.199950336,128,199.950336,GB,['2140194'], **2140194**.,3051.0,0.9097444089456869,32768
65.536,The special magic number for cowardly-constitution mentioned in the provided text is,What is the special magic number for cowardly-constitution mentioned in the provided text? ,2.215378944,0.2,2215.378944,niah_single_1,33804.0,3051.0,0.199950336,128,199.950336,GB,['5130808'], **5130808**.,3051.0,0.9097444089456869,32768
65.536,The special magic number for sweltering-piccolo mentioned in the provided text is,What is the special magic number for sweltering-piccolo mentioned in the provided text? ,2.21544448,0.2,2215.44448,niah_single_1,33805.0,3051.0,0.199950336,128,199.950336,GB,['2375453'], **2375453**.,3051.0,0.9097470788344919,32768
