context_id,memory_budget,kv_memory_per_token_kb,memory_budget_unit,uncompressed_kv_memory_gb,context_length,compression_ratio,retained_kv_memory_gb,answer,context_tokens,retained_context_tokens,question,max_new_tokens,answer_prefix,uncompressed_kv_memory_mb,task,predicted_answer,retained_kv_memory_mb,token_budget
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['BDD606671AD1'],58477.0,27777.0,What is the value associated with key 1C80A3B1799D? Return only the value.,32,,8622.784512,synthetic_kv_64k,BDD606671AD1,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['23B8392456DE'],58477.0,27777.0,What is the value associated with key 3EB146685257? Return only the value.,32,,8622.784512,synthetic_kv_64k,23B8392456DE,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['BD9CAD3C2D6D'],58477.0,27777.0,What is the value associated with key 1A3DBC8960A9? Return only the value.,32,,8622.784512,synthetic_kv_64k,BD9CAD3C2D6D,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['972A16419F82'],58477.0,27777.0,What is the value associated with key 8B9DE465E150? Return only the value.,32,,8622.784512,synthetic_kv_64k,972A16419F82,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['17FC07A0CA6E'],58477.0,27777.0,What is the value associated with key 08226C031199? Return only the value.,32,,8622.784512,synthetic_kv_64k,CA9D9E8FC965,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['9A1D815EF6D1'],58477.0,27777.0,What is the value associated with key 3B8F37F8A88B? Return only the value.,32,,8622.784512,synthetic_kv_64k,7C96B7E99ACA,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['B74D32E70629'],58477.0,27777.0,What is the value associated with key 8FAD06CB0FB3? Return only the value.,32,,8622.784512,synthetic_kv_64k,4E7E455AC762,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['6B658B8148F6'],58477.0,27777.0,What is the value associated with key B38AA65ED389? Return only the value.,32,,8622.784512,synthetic_kv_64k,6B658B8148F6,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['473796DA1DAC'],58477.0,27777.0,What is the value associated with key 72FF386ECBE0? Return only the value.,32,,8622.784512,synthetic_kv_64k,45F968D66155,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['C24101A9E71F'],58477.0,27777.0,What is the value associated with key DE8ACF36D58B? Return only the value.,32,,8622.784512,synthetic_kv_64k,C9D6CA97EBF5,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['6C30B2B9437A'],58477.0,27777.0,What is the value associated with key 28DFCE4A2BBD? Return only the value.,32,,8622.784512,synthetic_kv_64k,571E27CD8130,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['371E27CD8130'],58477.0,27777.0,What is the value associated with key 4722571AA876? Return only the value.,32,,8622.784512,synthetic_kv_64k,371E27CD8130,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['1A2A562B0F79'],58477.0,27777.0,What is the value associated with key C374F50BEA63? Return only the value.,32,,8622.784512,synthetic_kv_64k,56669C355A85,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['5BE618C26797'],58477.0,27777.0,What is the value associated with key 614217BE3111? Return only the value.,32,,8622.784512,synthetic_kv_64k,BDB02451E5A4,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['43B79A8DCA03'],58477.0,27777.0,What is the value associated with key 580DD8F56413? Return only the value.,32,,8622.784512,synthetic_kv_64k,539F1223B513,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['759CBACFB3D0'],58477.0,27777.0,What is the value associated with key 0B1FCE9FF57F? Return only the value.,32,,8622.784512,synthetic_kv_64k,9458C2874F06,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['EC1BF91E1D4C'],58477.0,27777.0,What is the value associated with key 1FF489463E85? Return only the value.,32,,8622.784512,synthetic_kv_64k,EC1BF91E1D4C,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['4B0D8D5288F1'],58477.0,27777.0,What is the value associated with key 142C60E7A113? Return only the value.,32,,8622.784512,synthetic_kv_64k,4B0D8D5288F1,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['E2AC9E574F7A'],58477.0,27777.0,What is the value associated with key A0EED453DD32? Return only the value.,32,,8622.784512,synthetic_kv_64k,A58D92874F06,4095.885312,27777.0
context_0000,4096.0,147.456,MB,8.622784512,62995,0.5249927321853036,4.095885312,['313993CD59BF'],58477.0,27777.0,What is the value associated with key 5C94DC98D2C1? Return only the value.,32,,8622.784512,synthetic_kv_64k,6E415FF595EA,4095.885312,27777.0
