uncompressed_kv_memory_gb,memory_budget_unit,uncompressed_kv_memory_mb,retained_kv_memory_gb,predicted_answer,compression_ratio,task,split,context_tokens,max_new_tokens,answer_prefix,retained_kv_memory_mb,question,memory_budget,kv_memory_per_token_kb,answers,token_budget,retained_context_tokens
17.723031552,GB,17723.031552,3.999891456, ['Senior Open Championship'],0.7743111022364217,qampari_128k,dev,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
",4.0,147.456,"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Oru Pennum Randaanum', 'Mukhamukham', 'Aattakatha', 'Kanthirava Narasaraja II', 'Kodiyettam']",0.7743111022364217,qampari_128k,dev,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
",4.0,147.456,"['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Blaine Island', 'Bristol Island', 'Dewon Brazelton', 'Gibraltar', 'Kathleen Island']",0.7743111022364217,qampari_128k,dev,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
",4.0,147.456,"['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Rover', 'Sir John Sherbrooke', 'Agnes', 'William Pether', 'James Caven']",0.7743111022364217,qampari_128k,dev,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
",4.0,147.456,['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Wie schön leuchtet der Morgenstern, BWV 20', 'Allein zu dir, Herr Jesu Christ, BWV 33', 'O Ewigkeit, du Donnerwort, BWV 20']",0.7743111022364217,qampari_128k,dev,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
",4.0,147.456,"['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Alternate Empires', 'Alternate Heroes', 'Alternate Wars', 'Alternate Wars / Alternate Americas', 'Alternate Empires / Alternate Heroes']",0.7743111022364217,qampari_128k,dev,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
",4.0,147.456,"['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Dustin Lynch', 'Mohanlal', 'Reilly Opelka', 'Steve Darcis', 'Yan Zi']",0.7743111022364217,qampari_128k,dev,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
",4.0,147.456,"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Aung Min', 'Myint Swe', 'Thein Sein', 'Min Aung Hlaing', 'Aung San Suu Kyi']",0.7743111022364217,qampari_128k,dev,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
",4.0,147.456,['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Dr. A.O. Thomas House', 'Elmendorf Christian Community', 'Chadron Public Library', 'Crawford County Courthouse', 'Franklin County Courthouse', 'Kathleen O\'Sullivan House', 'Old City Hall (Guelph)', 'The Mountaineer', 'The Perfect General', 'The Blackheath Bulletin', 'The Elmendorf Christian Community', 'The Dr. A.O. Thomas House', 'The Old City Hall (",0.7743111022364217,qampari_128k,dev,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
",4.0,147.456,"['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['The 1920s', 'The 1960s', 'The 1970s', 'The 1980s', 'The 1990s']",0.7743111022364217,qampari_128k,dev,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
",4.0,147.456,"['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['2015 King Cup Final', '2018 Senior Open Championship', '2018 Wimbledon Championships', '2019 Senior Open Championship', '2021 King Cup Final']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which competition did the tennis man Lloyd Harris win?
",4.0,147.456,"[""2018 Kentucky Bank Tennis Championships – Men's Singles""
 ""2018 Kunming Open – Men's Doubles""
 ""2018 Stockton Challenger – Men's Singles""
 ""2019 Burnie International – Men's Doubles""
 ""2019 Launceston Tennis International – Men's Singles""]",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Gorilla Biscuits', 'Rival Schools', 'The Producers', 'Youth of Today', 'Bad Astronaut']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What groups was Walter Schreifels a member of?
",4.0,147.456,"['Dead Heavens' 'Gorilla Biscuits' 'Quicksand' 'Rival Schools'
 'Walking Concert']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Arabsat-1A', 'Arabsat-1B', 'Arabsat-5A', 'Badr-4', 'Arabsat-1C']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does the Arab Satellite Communications Organization own?
",4.0,147.456,['Arabsat-1A' 'Arabsat-1B' 'Arabsat-5A' 'Badr-4' 'INSAT-2DT'],27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Wikipedia', 'Wiktionary', 'Veropedia', 'Diplopedia', 'Uncyclopedia']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What are the existing wiki projects ?
",4.0,147.456,['Diplopedia' 'RationalWiki' 'Uncyclopedia' 'Veropedia' 'Wiktionary'],27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Helen Jenkins', 'Jamie Murray', 'Lloyd Harris', 'Matti Lives in Finland', 'Reilly Opelka']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who was a notable triathlete ?
",4.0,147.456,"['Chris McCormack' 'Chrissie Wellington' 'Helen Jenkins' 'Magali Messmer'
 'Pete Jacobs']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Estradiol benzoate/hydroxyprogesterone caproate', 'Estradiol cypionate/hydroxyprogesterone caproate', 'Estradiol valerate/hydroxyprogesterone caproate', 'Estradiol dipropionate/hydroxyprogesterone caproate', 'Estradiol benzoate/estradiol valerate/hydroxyprogesterone caproate']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What are the existing reagent compounds ?
",4.0,147.456,['Ammonia' 'Collins reagent' 'Dimethylformamide' 'Ethanol' 'Sodium azide'],27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Dosan Seowon', 'Bysalpur Seowon', 'Byeongsan Seowon', 'Oksan Seowon', 'Dawan Seowon', 'Sudan Seowon', 'Donghak Seowon', 'Korean Seowon', 'Yatela Seowon', 'Donghak Seowon']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What are some of the notable seowons ?
",4.0,147.456,"['Byeongsan Seowon' 'Dosan Seowon' 'Oksan Seowon' 'Seoak Seowon'
 'Sosu Seowon']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['2015 King Cup Final', '2015 Wimbledon Championships', '2018 Senior Open Championship', '2018 Wimbledon Championships', '2021 King Cup Final']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In which sports competition did Reilly Opelka emerge victorious?
",4.0,147.456,"[""2015 Wimbledon Championships – Boys' Singles""
 ""2016 Charlottesville Men's Pro Challenger – singles""
 '2018 BNP Paribas Primrose Bordeaux – singles'
 '2018 JSM Challenger of Champaign–Urbana – singles'
 '2018 Knoxville Challenger – singles']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Mohanlal', 'Mohanlal', 'Mohanlal', 'Mohanlal', 'Mohanlal']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who graduated from Middletown High School South?
",4.0,147.456,"['Christian Peter' 'Howard Barbieri' 'Jeff Kunkel' 'Knowshon Moreno'
 'Melanie McGuire']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['2015 King Cup Final', '2015 Città di Caltanissetta – Singles', '2015 Wimbledon Championships – Boys\' Singles', '2015 Senior Open Championship', '2015 Internationaux de Tennis de Vendée – Singles', '2015 BNP Paribas Primrose Bordeaux – Singles', '2015 Città di Caltanissetta – Singles', '201",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition did Elias Ymer win?
",4.0,147.456,"['2015 Città di Caltanissetta – singles'
 '2016 Open Città della Disfida – singles' '2016 Stockholm Open – doubles'
 '2017 Internationaux de Tennis de Vendée – singles'
 '2017 Internazionali di Tennis del Friuli Venezia Giulia – singles']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Steve Darcis', 'Matti Lives in Finland', 'Mohanlal', 'Micky Kunkel', 'Mohanlal', 'Micky Kunkel', 'Mohanlal', 'Micky Kunkel', 'Mohanlal', 'Micky Kunkel', 'Mohanlal', 'Micky Kunkel', 'Mohanlal', 'Micky Kunkel', 'Mohanlal', 'Micky",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who are Tullahoma High School alumni?
",4.0,147.456,"['Antonio London' 'Bryan Morris' 'Dewon Brazelton' 'Dustin Lynch'
 'Jordan Sheffield']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['The Sale', 'The 1939 Taça de Portugal Final', 'The 1951 Taça de Portugal Final', 'The 2015 Città di Caltanissetta – Singles', 'The 2010 MPS Group Championships – Doubles', 'The 2015 King Cup Final', 'The 2017 Internationaux de Tennis de Vendée – Singles', 'The 2017 Senior",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: For which motion picture was Hossein Shahabi responsible for production?
",4.0,147.456,"['Conditional release' 'Ghost' 'The Bright Day' 'The Sale'
 'The Traces of Light']",27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Dustin Lynch', 'Roquan Smith', 'Joshua Hassan', 'Kevin Thomson', 'Devin Bush Jr.']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What lineback was drafted by the Chicago Bears?
",4.0,147.456,['Ego Ferguson' 'Jerry Janes' 'Ron Rivera' 'Roquan Smith' 'Will Sutton'],27126.0,27126.0
17.723031552,GB,17723.031552,3.999891456," ['Kanthirava Narasaraja II', 'Krishnaraja Wadiyar II', 'Krishnaraja Wadiyar III', 'Maharaja Krishnaraja Wadiyar III', 'Maharaja Krishnaraja Wadiyar III']",0.7743111022364217,qampari_128k,test,120192.0,256,Final Answer: ,3999.891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who habitated the Kingdom of Mysore?
",4.0,147.456,"['Chamarajendra Wadiyar X' 'Kanthirava Narasaraja I'
 'Kanthirava Narasaraja II' 'Krishnaraja Wadiyar II'
 'Krishnaraja Wadiyar III' 'Mir Ghulam Ali']",27126.0,27126.0
