compression_ratio,context_length,retained_kv_memory_gb,answer,predicted_answer,max_new_tokens,question,task,retained_kv_memory_mb,uncompressed_kv_memory_gb,answer_prefix,kv_memory_per_token_kb,uncompressed_kv_memory_mb,retained_context_tokens,context_tokens
0.0,32768,2.120351744,['5521644' '2532210' '1348050' '1674975'],":

*   **unequaled-atmosphere:** 5521644
*   **adamant-waveform:** 2532210
*   **flagrant-woodshed:** 1348050
*   **smelly-fascia:** 1674975",128,"What are all the special magic numbers for unequaled-atmosphere, adamant-waveform, flagrant-woodshed, and smelly-fascia mentioned in the provided text? ",niah_multiquery,2120.351744,2.120351744,"The special magic numbers for unequaled-atmosphere, adamant-waveform, flagrant-woodshed, and smelly-fascia mentioned in the provided text are",65.536,2120.351744,32354.0,32354.0
0.0,32768,2.120155136,['6386463' '2754894' '7850944' '8885465'],":

*   **inexpensive-altitude**: 6386463
*   **uncovered-graduation**: 2754894
*   **juicy-castanet**: 7850944
*   **callous-sesame**: 8885465",128,"What are all the special magic numbers for inexpensive-altitude, uncovered-graduation, juicy-castanet, and callous-sesame mentioned in the provided text? ",niah_multiquery,2120.155136,2.120155136,"The special magic numbers for inexpensive-altitude, uncovered-graduation, juicy-castanet, and callous-sesame mentioned in the provided text are",65.536,2120.155136,32351.0,32351.0
0.0,32768,2.120155136,['2477398' '9633492' '5234550' '2944841'],":

*   **onerous-darkness:** 2477398
*   **melted-paint:** 9633492
*   **hurt-shearling:** 5234550
*   **illustrious-outlaw:** 2944841",128,"What are all the special magic numbers for onerous-darkness, melted-paint, hurt-shearling, and illustrious-outlaw mentioned in the provided text? ",niah_multiquery,2120.155136,2.120155136,"The special magic numbers for onerous-darkness, melted-paint, hurt-shearling, and illustrious-outlaw mentioned in the provided text are",65.536,2120.155136,32351.0,32351.0
0.0,32768,2.119892992,['4415140' '3198037' '8416216' '8350368'],":

*   **arrogant-shortage:** 4415140
*   **graceful-canal:** 3198037
*   **tall-broadcast:** 8416216
*   **hard-attempt:** 8350368",128,"What are all the special magic numbers for arrogant-shortage, graceful-canal, tall-broadcast, and hard-attempt mentioned in the provided text? ",niah_multiquery,2119.892992,2.119892992,"The special magic numbers for arrogant-shortage, graceful-canal, tall-broadcast, and hard-attempt mentioned in the provided text are",65.536,2119.892992,32347.0,32347.0
0.0,32768,2.120482816,['4769851' '7844947' '8741810' '1229419'],":

*   **capricious-creme brulee:** 4769851
*   **scintillating-pocketbook:** 7844947
*   **comfortable-deviance:** 8741810
*   **scattered-trench:** 1229419",128,"What are all the special magic numbers for capricious-creme brulee, scintillating-pocketbook, comfortable-deviance, and scattered-trench mentioned in the provided text? ",niah_multiquery,2120.482816,2.120482816,"The special magic numbers for capricious-creme brulee, scintillating-pocketbook, comfortable-deviance, and scattered-trench mentioned in the provided text are",65.536,2120.482816,32356.0,32356.0
0.0,32768,2.1200896,['4197911' '9526867' '3426689' '8663605'],":

*   **ludicrous-cobbler:** 4197911
*   **stale-trim:** 9526867
*   **scientific-in-laws:** 3426689
*   **fresh-dynasty:** 8663605",128,"What are all the special magic numbers for ludicrous-cobbler, stale-trim, scientific-in-laws, and fresh-dynasty mentioned in the provided text? ",niah_multiquery,2120.0896,2.1200896,"The special magic numbers for ludicrous-cobbler, stale-trim, scientific-in-laws, and fresh-dynasty mentioned in the provided text are",65.536,2120.0896,32350.0,32350.0
0.0,32768,2.119892992,['9125900' '9214801' '8491822' '6008935'],":

*   **rough-scene:** 9125900
*   **sour-mechanic:** 9214801
*   **defective-presentation:** 8491822
*   **half-part:** 6008935",128,"What are all the special magic numbers for rough-scene, sour-mechanic, defective-presentation, and half-part mentioned in the provided text? ",niah_multiquery,2119.892992,2.119892992,"The special magic numbers for rough-scene, sour-mechanic, defective-presentation, and half-part mentioned in the provided text are",65.536,2119.892992,32347.0,32347.0
0.0,32768,2.120024064,['5006492' '6338112' '7425184' '7891662'],":

*   **wakeful-crew:** 5006492
*   **amused-veto:** 6338112
*   **sleepy-spice:** 7425184
*   **flipped-out-ranger:** 7891662",128,"What are all the special magic numbers for wakeful-crew, amused-veto, sleepy-spice, and flipped-out-ranger mentioned in the provided text? ",niah_multiquery,2120.024064,2.120024064,"The special magic numbers for wakeful-crew, amused-veto, sleepy-spice, and flipped-out-ranger mentioned in the provided text are",65.536,2120.024064,32349.0,32349.0
0.0,32768,2.120155136,['3589751' '3418526' '2672884' '8665981'],":

*   **miscreant-shorts:** 3589751
*   **absorbed-watercress:** 3418526
*   **numerous-dwell:** 2672884
*   **reminiscent-cilantro:** 8665981",128,"What are all the special magic numbers for miscreant-shorts, absorbed-watercress, numerous-dwell, and reminiscent-cilantro mentioned in the provided text? ",niah_multiquery,2120.155136,2.120155136,"The special magic numbers for miscreant-shorts, absorbed-watercress, numerous-dwell, and reminiscent-cilantro mentioned in the provided text are",65.536,2120.155136,32351.0,32351.0
0.0,32768,2.120220672,['6312692' '9186400' '9952696' '1602286'],":

*   **lovely-riverbed:** 6312692
*   **tame-sonnet:** 9186400
*   **uninterested-organising:** 9952696
*   **ruddy-segment:** 1602286",128,"What are all the special magic numbers for lovely-riverbed, tame-sonnet, uninterested-organising, and ruddy-segment mentioned in the provided text? ",niah_multiquery,2120.220672,2.120220672,"The special magic numbers for lovely-riverbed, tame-sonnet, uninterested-organising, and ruddy-segment mentioned in the provided text are",65.536,2120.220672,32352.0,32352.0
