memory_budget,task,retained_kv_memory_mb,uncompressed_kv_memory_gb,question,uncompressed_kv_memory_mb,kv_memory_per_token_kb,split,answer_prefix,retained_kv_memory_gb,max_new_tokens,context_tokens,memory_budget_unit,retained_context_tokens,token_budget,compression_ratio,predicted_answer,answers
2.0,musique_128k,1999.945728,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How many times did plague occur in the birth city of the composer of Nulla in mundo pax sincera?
",17613.029376,147.456,dev,Final Answer: ,1.999945728,256,119446.0,GB,13563.0,13563.0,0.8864507811061065,1,['22']
2.0,musique_128k,1999.945728,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does seal stand for in the U.S. military branch that operates a list of destroyer classes and the USS Stag?
",17613.029376,147.456,dev,Final Answer: ,1.999945728,256,119446.0,GB,13563.0,13563.0,0.8864507811061065," ['Seal stands for Special Operations Command, which operates a list of destroyer classes and the USS Stag']","['Sea, Air, and Land']"
2.0,musique_128k,1999.945728,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the political party Alaska generally supports take control of the determiner of rules of the US House and US Senate?
",17613.029376,147.456,dev,Final Answer: ,1.999945728,256,119446.0,GB,13563.0,13563.0,0.8864507811061065, ['1959'],['January 2015']
2.0,musique_128k,1999.945728,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who won the 1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county?
",17613.029376,147.456,dev,Final Answer: ,1.999945728,256,119446.0,GB,13563.0,13563.0,0.8864507811061065, ['Bobby Bradley'],['Mario Andretti']
2.0,musique_128k,1999.945728,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?
",17613.029376,147.456,dev,Final Answer: ,1.999945728,256,119446.0,GB,13563.0,13563.0,0.8864507811061065, ['Birmingham'],['Green Bay']
2.0,musique_128k,1999.945728,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?
",17613.029376,147.456,dev,Final Answer: ,1.999945728,256,119446.0,GB,13563.0,13563.0,0.8864507811061065, ['the Puerto Rico Trench'],['Milwaukee Deep']
2.0,musique_128k,1999.945728,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the largest medical school in the nation where, along with the country of citizenship of the mother of Marie Antoinette, many expelled French Jews relocated?
",17613.029376,147.456,dev,Final Answer: ,1.999945728,256,119446.0,GB,13563.0,13563.0,0.8864507811061065, ['University of Paris'],['Medical University of Warsaw']
2.0,musique_128k,1999.945728,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what region of Germany is the district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra?
",17613.029376,147.456,dev,Final Answer: ,1.999945728,256,119446.0,GB,13563.0,13563.0,0.8864507811061065, ['Bavaria'],['Saxony-Anhalt']
2.0,musique_128k,1999.945728,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who runs the school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?
",17613.029376,147.456,dev,Final Answer: ,1.999945728,256,119446.0,GB,13563.0,13563.0,0.8864507811061065, ['United States'],['the Ministry of Education']
2.0,musique_128k,1999.945728,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?
",17613.029376,147.456,dev,Final Answer: ,1.999945728,256,119446.0,GB,13563.0,13563.0,0.8864507811061065, ['University of the state having Fort Hill'],['University of South Carolina']
