compression_ratio,answer_prefix,retained_kv_memory_mb,retained_context_tokens,uncompressed_kv_memory_gb,context_tokens,token_budget,task,memory_budget_unit,max_new_tokens,context_length,kv_memory_per_token_kb,retained_kv_memory_gb,uncompressed_kv_memory_mb,question,predicted_answer,answer,memory_budget
0.7166862660147304,The special magic uuid for mute-cupboard mentioned in the provided text is,599.98208,9155.0,2.117730304,32314.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.730304,What is the special magic uuid for mute-cupboard mentioned in the provided text? ,":

**85d51695-90b2-4633-956b-8c0ca8499b92**",['85d51695-90b2-4633-956b-8c0ca8499b92'],0.6
0.7166599610039924,The special magic uuid for excellent-land mentioned in the provided text is,599.98208,9155.0,2.117533696,32311.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.533696,What is the special magic uuid for excellent-land mentioned in the provided text? ,":

**3d1a85dd-506e-4a9a-b758-588dab73295b**",['3d1a85dd-506e-4a9a-b758-588dab73295b'],0.6
0.7166161084628242,The special magic uuid for curved-sender mentioned in the provided text is,599.98208,9155.0,2.117206016,32306.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.206016,What is the special magic uuid for curved-sender mentioned in the provided text? ,":

**750cab75-4ccc-4bc2-a53f-8a28abf3e3fc**",['750cab75-4ccc-4bc2-a53f-8a28abf3e3fc'],0.6
0.7166511915815537,The special magic uuid for aboard-line mentioned in the provided text is,599.98208,9155.0,2.11746816,32310.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.46816,What is the special magic uuid for aboard-line mentioned in the provided text? ,":

**902059e4-ff9a-45c2-9f04-4aed75523327**",['902059e4-ff9a-45c2-9f04-4aed75523327'],0.6
0.7166424216162679,The special magic uuid for rotten-oatmeal mentioned in the provided text is,599.98208,9155.0,2.117402624,32309.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.402624,What is the special magic uuid for rotten-oatmeal mentioned in the provided text? ,":

**21e8ac68-43e4-4caf-8181-a8cc369147eb**",['21e8ac68-43e4-4caf-8181-a8cc369147eb'],0.6
0.7166687298836345,The special magic uuid for fresh-weed mentioned in the provided text is,599.98208,9155.0,2.117599232,32312.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.599232,What is the special magic uuid for fresh-weed mentioned in the provided text? ,":

**702cdd20-2862-48b8-88f4-ef125e9953d2**",['702cdd20-2862-48b8-88f4-ef125e9953d2'],0.6
0.7165897904219423,The special magic uuid for subsequent-cart mentioned in the provided text is,599.98208,9155.0,2.117009408,32303.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.009408,What is the special magic uuid for subsequent-cart mentioned in the provided text? ,":

**a76afde6-ce9e-4a11-bcbb-4e59fbddcf7c**",['a76afde6-ce9e-4a11-bcbb-4e59fbddcf7c'],0.6
0.7166073363256462,The special magic uuid for unarmed-neck mentioned in the provided text is,599.98208,9155.0,2.11714048,32305.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.14048,What is the special magic uuid for unarmed-neck mentioned in the provided text? ,":

**ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a**",['ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a'],0.6
0.7166424216162679,The special magic uuid for godly-transfer mentioned in the provided text is,599.98208,9155.0,2.117402624,32309.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.402624,What is the special magic uuid for godly-transfer mentioned in the provided text? ,":

**be0f051b-1b66-45a9-a3c4-36571d8cbbac**

It appears in the section discussing ""Imagination"" within the essay dated October 2010.",['be0f051b-1b66-45a9-a3c4-36571d8cbbac'],0.6
0.7166248800569537,The special magic uuid for grieving-planning mentioned in the provided text is,599.98208,9155.0,2.117271552,32307.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.271552,What is the special magic uuid for grieving-planning mentioned in the provided text? ,":

**b7b56ea7-35eb-432d-9ad6-20ab48212ddb**

It appears in the section discussing the detection of bias in selection processes, embedded within the sentence: ""One of the special magic uuids for grieving-planning is: b7b56ea7-35eb-432d-9ad6-20ab48212ddb.""",['b7b56ea7-35eb-432d-9ad6-20ab48212ddb'],0.6
0.7166774982205304,The special magic uuid for vengeful-stream mentioned in the provided text is,599.98208,9155.0,2.117664768,32313.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.664768,What is the special magic uuid for vengeful-stream mentioned in the provided text? ,":

**81627cf1-4394-42e6-9a58-7e8aa25d6b29**",['81627cf1-4394-42e6-9a58-7e8aa25d6b29'],0.6
0.7166599610039924,The special magic uuid for aromatic-shelter mentioned in the provided text is,599.98208,9155.0,2.117533696,32311.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.533696,What is the special magic uuid for aromatic-shelter mentioned in the provided text? ,":

**d450281c-6c6f-4633-a260-772317a0df49**

It appears in the section discussing Larry Page and Google, embedded within the sentence: ""One of the special magic uuids for aromatic-shelter is: d450281c-6c6f-4633-a260-772317a0df49.""",['d450281c-6c6f-4633-a260-772317a0df49'],0.6
0.7166687298836345,The special magic uuid for abashed-geometry mentioned in the provided text is,599.98208,9155.0,2.117599232,32312.0,9155.0,niah_single_3,GB,128,32768,65.536,0.59998208,2117.599232,What is the special magic uuid for abashed-geometry mentioned in the provided text? ,":

**a319dcb4-217d-45a0-8568-11cd5563f616**",['a319dcb4-217d-45a0-8568-11cd5563f616'],0.6
