uncompressed_kv_memory_mb,memory_budget,split,task,retained_context_tokens,predicted_answer,memory_budget_unit,context_tokens,answers,retained_kv_memory_mb,answer_prefix,question,max_new_tokens,compression_ratio,uncompressed_kv_memory_gb,token_budget,retained_kv_memory_gb,kv_memory_per_token_kb
7325.466624,4.0,dev,hotpotqa_32k,27126.0, ['Mazda'],GB,49679.0,['Mazda'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the manufacturer of the car used by the Ford CD2 platform's design inspiration?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,dev,hotpotqa_32k,27126.0, ['Kim Wilson'],GB,49679.0,['Chino Moreno'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How has played in more bands, Kim Wilson or Chino Moreno?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,dev,hotpotqa_32k,27126.0, ['Hot Lead and Cold Feet'],GB,49679.0,['Hot Lead and Cold Feet'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,dev,hotpotqa_32k,27126.0, ['Glenn Ford'],GB,49679.0,['Edward Albert Heimberger'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid""?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,dev,hotpotqa_32k,27126.0, ['American'],GB,49679.0,['yes'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Were Scott Derrickson and Ed Wood of the same nationality?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,dev,hotpotqa_32k,27126.0, ['Podocarpus'],GB,49679.0,['Podocarpus'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which species is the most numerous, Podocarpus or Osmunda?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,dev,hotpotqa_32k,27126.0, ['Dutch'],GB,49679.0,['cockpit'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What word or phrase is found in both the history of Belgium and cockfighting?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,dev,hotpotqa_32k,27126.0, ['Wednesday'],GB,49679.0,['Sunday'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: On what day of the week did the eleventh season's finale of American Dad air?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,dev,hotpotqa_32k,27126.0, ['Brent Burns'],GB,49679.0,['Brent Burns'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,dev,hotpotqa_32k,27126.0, ['orange'],GB,49679.0,['orange'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the main flavor of both soft drinks, Solo from Norway, and Sunkist?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,test,hotpotqa_32k,27126.0, ['Dan Bilzerian'],GB,49679.0,['Dan Bilzerian'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which American professional poker player also starred in the 2015 movie ""Extraction""?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,test,hotpotqa_32k,27126.0, ['Laura's Star'],GB,49679.0,"[""Laura's Star""]",3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which film was released first, Laura's Star or Wonder Woman?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,test,hotpotqa_32k,27126.0, ['2000'],GB,49679.0,['in 2000'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,test,hotpotqa_32k,27126.0, ['Harriet Tubman'],GB,49679.0,['Araminta Ross'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the birth name of the woman that ""A Woman Called Moses"" is based on?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,test,hotpotqa_32k,27126.0, ['The English Civil War'],GB,49679.0,"['Parliamentarians (""Roundheads"") and Royalists (""Cavaliers"")']",3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Arundel Castle was damaged during a war between which two groups?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,test,hotpotqa_32k,27126.0, ['Adolfo Rodríguez Saá'],GB,49679.0,['Adolfo Rodríguez Saá'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which one of Ricardo Rodríguez Saá's relatives would become governor from 1983 to 2001?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
7325.466624,4.0,test,hotpotqa_32k,27126.0, ['1976'],GB,49679.0,['1976'],3999.891456,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the largest convention center in the U.S. state of Georgia open?
",256,0.45397451639525754,7.325466624,27126.0,3.999891456,147.456
