memory_budget_unit,uncompressed_kv_memory_gb,predicted_answer,retained_context_tokens,memory_budget,compression_ratio,question,token_budget,context_tokens,kv_memory_per_token_kb,context_id,answer_prefix,max_new_tokens,context_length,task,retained_kv_memory_mb,uncompressed_kv_memory_mb,retained_kv_memory_gb,answer
MB,4.280025088,1234567890,3906.0,256.0,0.940191094506033,Query key: K_1C80A3B1799D,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_BDD606671AD1']
MB,4.280025088,0,3906.0,256.0,0.940191094506033,Query key: K_3EB146685257,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_23B8392456DE']
MB,4.280025088,1,3906.0,256.0,0.940191094506033,Query key: K_1A3DBC8960A9,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_BD9CAD3C2D6D']
MB,4.280025088,1,3906.0,256.0,0.940191094506033,Query key: K_8B9DE465E150,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_972A16419F82']
MB,4.280025088,1,3906.0,256.0,0.940191094506033,Query key: K_08226C031199,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_17FC07A0CA6E']
MB,4.280025088,0,3906.0,256.0,0.940191094506033,Query key: K_3B8F37F8A88B,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_9A1D815EF6D1']
MB,4.280025088,1,3906.0,256.0,0.940191094506033,Query key: K_8FAD06CB0FB3,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_B74D32E70629']
MB,4.280025088,1,3906.0,256.0,0.940191094506033,Query key: K_B38AA65ED389,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_6B658B8148F6']
MB,4.280025088,1,3906.0,256.0,0.940191094506033,Query key: K_72FF386ECBE0,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_473796DA1DAC']
MB,4.280025088,1,3906.0,256.0,0.940191094506033,Query key: K_DE8ACF36D58B,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_C24101A9E71F']
MB,4.280025088,0,3906.0,256.0,0.940191094506033,Query key: K_28DFCE4A2BBD,3906.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,255.983616,4280.025088,0.255983616,['V_6C30B2B9437A']
