retained_kv_memory_gb,retained_context_tokens,memory_budget,predicted_answer,memory_budget_unit,uncompressed_kv_memory_gb,kv_memory_per_token_kb,compression_ratio,context_tokens,answer,context_length,context_id,answer_prefix,uncompressed_kv_memory_mb,max_new_tokens,retained_kv_memory_mb,token_budget,task,question
3.999891456,27126.0,4.0, V_7D6246685257,GB,4.71416832,147.456,0.15151704723177983,31970.0,['V_7D6246685257'],31967,context_0000,Answer: ,4714.16832,32,3999.891456,27126.0,synthetic_kv_32k,"Query KEY: K_3900A3B1799D
Return only its VALUE."
3.999891456,27126.0,4.0, V_347ABC8960A9,GB,4.71416832,147.456,0.15151704723177983,31970.0,['V_347ABC8960A9'],31967,context_0000,Answer: ,4714.16832,32,3999.891456,27126.0,synthetic_kv_32k,"Query KEY: K_4771392456DE
Return only its VALUE."
3.999891456,27126.0,4.0, V_2FF807A0CA6E,GB,4.71416832,147.456,0.15151704723177983,31970.0,['V_2FF807A0CA6E'],31967,context_0000,Answer: ,4714.16832,32,3999.891456,27126.0,synthetic_kv_32k,"Query KEY: K_10456C031199
Return only its VALUE."
3.999891456,27126.0,4.0, V_D6CB8B8148F6,GB,4.71416832,147.456,0.15151704723177983,31970.0,['V_D6CB8B8148F6'],31967,context_0000,Answer: ,4714.16832,32,3999.891456,27126.0,synthetic_kv_32k,"Query KEY: K_771F37F8A88B
Return only its VALUE."
3.999891456,27126.0,4.0, V_8E6F96DA1DAC,GB,4.71416832,147.456,0.15151704723177983,31970.0,['V_8E6F96DA1DAC'],31967,context_0000,Answer: ,4714.16832,32,3999.891456,27126.0,synthetic_kv_32k,"Query KEY: K_E5FE386ECBE0
Return only its VALUE."
3.999891456,27126.0,4.0, V_D860B2B9437A,GB,4.71416832,147.456,0.15151704723177983,31970.0,['V_D860B2B9437A'],31967,context_0000,Answer: ,4714.16832,32,3999.891456,27126.0,synthetic_kv_32k,"Query KEY: K_51BECE4A2BBD
Return only its VALUE."
3.999891456,27126.0,4.0, V_6E3D27CD8130,GB,4.71416832,147.456,0.15151704723177983,31970.0,['V_6E3D27CD8130'],31967,context_0000,Answer: ,4714.16832,32,3999.891456,27126.0,synthetic_kv_32k,"Query KEY: K_8E45571AA876
Return only its VALUE."
3.999891456,27126.0,4.0, V_C28517BE3111,GB,4.71416832,147.456,0.15151704723177983,31970.0,['V_C28517BE3111'],31967,context_0000,Answer: ,4714.16832,32,3999.891456,27126.0,synthetic_kv_32k,"Query KEY: K_3454562B0F79
Return only its VALUE."
3.999891456,27126.0,4.0, V_591AE71E43A6,GB,4.71416832,147.456,0.15151704723177983,31970.0,['V_B01AD8F56413'],31967,context_0000,Answer: ,4714.16832,32,3999.891456,27126.0,synthetic_kv_32k,"Query KEY: K_B7CC18C26797
Return only its VALUE."
3.999891456,27126.0,4.0, V_163FCE9FF57F,GB,4.71416832,147.456,0.15151704723177983,31970.0,['V_163FCE9FF57F'],31967,context_0000,Answer: ,4714.16832,32,3999.891456,27126.0,synthetic_kv_32k,"Query KEY: K_876F9A8DCA03
Return only its VALUE."
