retained_context_tokens,split,answer_prefix,predicted_answer,answers,retained_kv_memory_mb,context_tokens,kv_memory_per_token_kb,question,uncompressed_kv_memory_mb,retained_kv_memory_gb,task,compression_ratio,max_new_tokens,uncompressed_kv_memory_gb
120192.0,dev,Final Answer: , [],"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",17723.031552,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
",17723.031552,17.723031552,qampari_128k,0.0,256,17.723031552
120192.0,dev,Final Answer: ," ['Oru Pennum Randaanum', 'Mukhamukham', 'Mathilukal', 'Kodiyettam', 'Aakraman']","['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",17723.031552,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
",17723.031552,17.723031552,qampari_128k,0.0,256,17.723031552
120192.0,dev,Final Answer: ," ['Werrington, Cornwall']","['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",17723.031552,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
",17723.031552,17.723031552,qampari_128k,0.0,256,17.723031552
120192.0,dev,Final Answer: ," ['Rover (privateering ship)', 'SS Tellus (1911)']",['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],17723.031552,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
",17723.031552,17.723031552,qampari_128k,0.0,256,17.723031552
120192.0,dev,Final Answer: ," ['Allein zu dir, Herr Jesu Christ, BWV 33', 'O Ewigkeit, du Donnerwort, BWV 20', 'Witold Lutosławski Symphony No. 3', 'Witold Lutosławski Symphony No. 3', 'Witold Lutosławski Symphony No. 3']","['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",17723.031552,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
",17723.031552,17.723031552,qampari_128k,0.0,256,17.723031552
120192.0,dev,Final Answer: ," ['Alternate Empires', 'Alternate Heroes', 'Alternate Wars', 'Nebula Awards Showcase 2000', 'Conquered Kingdoms']","['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",17723.031552,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
",17723.031552,17.723031552,qampari_128k,0.0,256,17.723031552
120192.0,dev,Final Answer: , ['Zachary James Thornton'],"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",17723.031552,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
",17723.031552,17.723031552,qampari_128k,0.0,256,17.723031552
120192.0,dev,Final Answer: ," ['Aung Min', 'Myint Swe', 'Min Aung Hlaing', 'Maung Maung Ohn', 'Moinul Hossain Chowdhury', 'Shwe Thaung', 'Win Tin']",['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],17723.031552,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
",17723.031552,17.723031552,qampari_128k,0.0,256,17.723031552
120192.0,dev,Final Answer: ," ['Dr. A.O. Thomas House', 'Chadron Public Library', 'Franklin County Courthouse (Nebraska)', 'Old City Hall (Guelph)', 'Kearney State College Alumni Association', 'Palo Alto High School', 'Palo Alto College', 'Palo Alto City Hall', 'Palo Alto City Council', 'Palo Alto City Clerk', 'Palo Alto City Manager', 'Palo Alto City Attorney', 'Palo Alto City Treasurer', 'Palo Alto City Engineer', 'Palo Alto City Planning Department', 'Palo Alto City Public Works Department', 'Palo Alto City Fire Department', 'Palo Alto City Police Department', 'Palo Alto City Parks and Recreation Department', 'Palo Alto City Recreation Department', 'Palo Alto City Recreation and Parks Department', 'Palo Alto City Recreation and Parks Department', 'Palo Alto City Recreation and Parks Department', 'Palo Alto City Recreation and Parks Department', 'Palo Alto City Recreation and Parks Department', 'Palo Alto City Recreation and Parks Department', 'Palo Alto City Recreation and Parks Department', 'Palo Alto City Recreation and Parks Department', 'Palo Alto City Recreation and Parks Department', 'Palo Alto City Recreation and Parks Department","['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",17723.031552,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
",17723.031552,17.723031552,qampari_128k,0.0,256,17.723031552
120192.0,dev,Final Answer: ," ['Voyage of the Damned', 'The Doctor (Doctor Who)', 'Time Crash', 'The Lone Gunmen (TV series)']","['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",17723.031552,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
",17723.031552,17.723031552,qampari_128k,0.0,256,17.723031552
