retained_kv_memory_gb,answers,retained_context_tokens,token_budget,compression_ratio,answer_prefix,task,uncompressed_kv_memory_gb,uncompressed_kv_memory_mb,predicted_answer,memory_budget,context_tokens,max_new_tokens,memory_budget_unit,kv_memory_per_token_kb,split,retained_kv_memory_mb,question
0.255983616,"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"1. **Title:** ""What competition is a Senior British Open Championship?""  
   **ID:** 1  

- The Senior British Open Championship is a competition in the sport of golf.  
- It is one of the major championships in the sport and is part of the European Tour's schedule.  
- The competition is open to senior players, typically those who are 50 years old or older.  
- It is held annually and is one of the most prestigious events for senior golfers",256.0,120192.0,256,MB,147.456,dev,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
"
0.255983616,"['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"1992 movie ""The Elephant Vanishes"" was screenwritten by Adoor Gopalakrishnan.

- TITLE: The Elephant Vanishes
- ID: 1992",256.0,120192.0,256,MB,147.456,dev,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
"
0.255983616,"['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"

- **TITLE**: ""What is the name of the settlement that is next to the Tamar River?""  
  **ID**: 1  

The name of the settlement that is next to the Tamar River is not directly provided in the given documents. However, based on the context and the mention of the Tamar River, it is implied that the settlement in question is related to the Tamar River's proximity. Without specific names, the exact settlement cannot be determined from the provided information.",256.0,120192.0,256,MB,147.456,dev,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
"
0.255983616,['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"1234567890
- **TITLE**: Ships registered in Nova Scotia
- **ID**: 1234567890

**Answer:**
- The ships registered in Nova Scotia are:
  - HMCS *Algonquin*
  - HMCS *Alta*
  - HMCS *Anticosti*
  - HMCS *Cape Breton*
  - HMCS *Cape Sable*
  - HMCS",256.0,120192.0,256,MB,147.456,dev,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
"
0.255983616,"['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"1. **Title:** ""Choral Cantata""  
   **ID:** 1  
   **Answer:** ""Choral Cantata"" is an example of a chorale cantata.  

2. **Title:** ""Chorale""  
   **ID:** 2  
   **Answer:** ""Chorale"" is an example of a chorale cantata.  

3. **Title:** ""Cantata""  
   **ID:** 3  
   **Answer:**",256.0,120192.0,256,MB,147.456,dev,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
"
0.255983616,"['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"1. TITLE: ""The 2006...""; ID: 1  
2. TITLE: ""The 2007...""; ID: 2  
3. TITLE: ""The 2008...""; ID: 3  
4. TITLE: ""The 2009...""; ID: 4  
5. TITLE: ""The 2010...""; ID: 5  

Gregory Benford edited the piece of writing titled",256.0,120192.0,256,MB,147.456,dev,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
"
0.255983616,"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"

- **TITLE**: ""What's the name of a former student from Ventura College?""  
  **ID**: 1  

**Answer List**:  
- The name of a former student from Ventura College is not directly provided in the given documents. However, based on the context, it can be inferred that the former student might be related to the Ventura College mentioned in the document.  
- **TITLE**: ""What's the name of a former student from Ventura College?""  
  **ID**:",256.0,120192.0,256,MB,147.456,dev,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
"
0.255983616,['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"1979-01-01, 1979-01-02

**Answer:**
- **Title:** ""Myanmar Army""  
  **ID:** 1979-01-01  
  **Content:** The document mentions that the Myanmar Army is a military force in Myanmar and that it has been involved in various conflicts and operations.

- **Title:** ""Myanmar Army""  
  **ID:** 197",256.0,120192.0,256,MB,147.456,dev,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
"
0.255983616,"['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"1. Title: ""George A. Berlinghof"" - ID: 1  
2. Title: ""George A. Berlinghof"" - ID: 2  

**Answer:**
- George A. Berlinghof created the ""George A. Berlinghof"" structure.  
- George A. Berlinghof created the ""George A. Berlinghof"" structure.",256.0,120192.0,256,MB,147.456,dev,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
"
0.255983616,"['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552," [""Doctor Who"", ""DOCTORWHOWEB1""]

**Answer:**
- The show executively produced by Russell T Davies is ""Doctor Who"".",256.0,120192.0,256,MB,147.456,dev,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
"
0.255983616,"[""2018 Kentucky Bank Tennis Championships – Men's Singles""
 ""2018 Kunming Open – Men's Doubles""
 ""2018 Stockton Challenger – Men's Singles""
 ""2019 Burnie International – Men's Doubles""
 ""2019 Launceston Tennis International – Men's Singles""]",1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"1967 Wimbledon Championships

**Document Used:**
- TITLE: ""Lloyd Harris - Wikipedia""
- ID: 2",256.0,120192.0,256,MB,147.456,test,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which competition did the tennis man Lloyd Harris win?
"
0.255983616,"['Dead Heavens' 'Gorilla Biscuits' 'Quicksand' 'Rival Schools'
 'Walking Concert']",1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"1. **Title:** ""The History of the Band""  
   **ID:** 1  
   **Answer:** Walter Schreifels was a member of the band **The Offspring**.

2. **Title:** ""The History of the Band""  
   **ID:** 1  
   **Answer:** Walter Schreifels was also a member of the band **The Vandals**.",256.0,120192.0,256,MB,147.456,test,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What groups was Walter Schreifels a member of?
"
0.255983616,['Arabsat-1A' 'Arabsat-1B' 'Arabsat-5A' 'Badr-4' 'INSAT-2DT'],1736.0,1736.0,0.9855564430244942,Final Answer: ,qampari_128k,17.723031552,17723.031552,"1. **Title**: Arab Satellite Communications Organization  
   **ID**: 1  
   **Answer**: The Arab Satellite Communications Organization owns the Arab Satellite, which is a communications satellite used by several Arab countries.",256.0,120192.0,256,MB,147.456,test,255.983616,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does the Arab Satellite Communications Organization own?
"
