question,token_budget,predicted_answer,task,retained_context_tokens,answer_prefix,retained_kv_memory_gb,kv_memory_per_token_kb,retained_kv_memory_mb,uncompressed_kv_memory_gb,max_new_tokens,compression_ratio,uncompressed_kv_memory_mb,memory_budget_unit,context_length,memory_budget,answer,context_tokens
Question: What are the 10 most common words in the above list? ,6103.0,"
1. **liver** (10 times)
2. **trillion** (10 times)
3. **ideology** (10 times)
4. **promise** (10 times)
5. **vigorous** (10 times)
6. **nice** (10 times)
7. **rally** (10 times)
8. **probe** (10 times)
9. **gherkin** (10 times)
10. **holder** (10 times)

*(",cwe,6103.0,Answer: The top 10 words that appear most often in the list are:,0.399966208,65.536,399.966208,2.907242496,120,0.8624242014382002,2907.242496,GB,32768,0.4,"['pinpoint' 'vigorous' 'liver' 'ideology' 'trillion' 'nice' 'promise'
 'rally' 'gherkin' 'probe']",44361.0
Question: What are the 10 most common words in the above list? ,6103.0,"

1.  **nerve** (13 times)
2.  **divan** (12 times)
3.  **signature** (11 times)
4.  **classroom** (11 times)
5.  **bass** (10 times)
6.  **buffer** (10 times)
7.  **thunder** (10 times)
8.  **festival** (10 times)
9.  **newsstand** (9 times)
10. **assass",cwe,6103.0,Answer: The top 10 words that appear most often in the list are:,0.399966208,65.536,399.966208,2.914254848,120,0.8627552397229469,2914.254848,GB,32768,0.4,"['buffer' 'manhunt' 'festival' 'nerve' 'thunder' 'newsstand' 'divan'
 'signature' 'bass' 'classroom']",44468.0
Question: What are the 10 most common words in the above list? ,6103.0,"

1.  **driveway** (13 times)
2.  **haste** (12 times)
3.  **advent** (11 times)
4.  **say** (11 times)
5.  **foam** (10 times)
6.  **vendor** (10 times)
7.  **lute** (10 times)
8.  **chafe** (9 times)
9.  **labored** (9 times)
10. **cil",cwe,6103.0,Answer: The top 10 words that appear most often in the list are:,0.399966208,65.536,399.966208,2.915827712,120,0.8628292726782343,2915.827712,GB,32768,0.4,"['advent' 'haste' 'cilantro' 'say' 'labored' 'foam' 'lute' 'chafe'
 'vendor' 'driveway']",44492.0
Question: What are the 10 most common words in the above list? ,6103.0,"

1.  **spat** (13 times)
2.  **variety** (12 times)
3.  **farrow** (11 times)
4.  **echidna** (10 times)
5.  **mallard** (10 times)
6.  **queue** (10 times)
7.  **slot** (10 times)
8.  **score** (9 times)
9.  **wildlife** (9 times)
10. **reconc",cwe,6103.0,Answer: The top 10 words that appear most often in the list are:,0.399966208,65.536,399.966208,2.914451456,120,0.8627644982123182,2914.451456,GB,32768,0.4,"['queue' 'variety' 'spat' 'wildlife' 'slot' 'score' 'farrow' 'card'
 'mallard' 'echidna']",44471.0
Question: What are the 10 most common words in the above list? ,6103.0,"
1. **enrollment** (13 times)
2. **mutton** (12 times)
3. **cassock** (11 times)
4. **sweets** (10 times)
5. **tortilla** (9 times)
6. **poet** (9 times)
7. **enforcement** (8 times)
8. **plasterboard** (8 times)
9. **rubber** (8 times)
10. **solicitation** (2 times) -",cwe,6103.0,Answer: The top 10 words that appear most often in the list are:,0.399966208,65.536,399.966208,2.918842368,120,0.8629709461583367,2918.842368,GB,32768,0.4,"['plasterboard' 'wheel' 'tortilla' 'enrollment' 'mutton' 'enforcement'
 'rubber' 'poet' 'sweets' 'cassock']",44538.0
Question: What are the 10 most common words in the above list? ,6103.0,"

1.  **sore** (13 times)
2.  **constant** (12 times)
3.  **maximum** (11 times)
4.  **arithmetic** (10 times)
5.  **metaphor** (10 times)
6.  **pansy** (10 times)
7.  **hoe** (10 times)
8.  **spat** (10 times)
9.  **counselor** (9 times)
10.",cwe,6103.0,Answer: The top 10 words that appear most often in the list are:,0.399966208,65.536,399.966208,2.921660416,120,0.8631031156770822,2921.660416,GB,32768,0.4,"['sore' 'pansy' 'step-father' 'maximum' 'metaphor' 'cube' 'hoe' 'constant'
 'arithmetic' 'spat']",44581.0
Question: What are the 10 most common words in the above list? ,6103.0,"

1.  **breeze** (10 times)
2.  **subdued** (10 times)
3.  **midden** (10 times)
4.  **crewmen** (10 times)
5.  **eggnog** (9 times)
6.  **smoking** (9 times)
7.  **finer** (9 times)
8.  **girdle** (9 times)
9.  **royal** (9 times)
10. **tac",cwe,6103.0,Answer: The top 10 words that appear most often in the list are:,0.399966208,65.536,399.966208,2.920742912,120,0.8630601117418718,2920.742912,GB,32768,0.4,"['finer' 'girdle' 'eggnog' 'royal' 'smoking' 'subdued' 'tacit' 'midden'
 'breeze' 'crewmen']",44567.0
Question: What are the 10 most common words in the above list? ,6103.0,"

1.  **shoes** (10 times)
2.  **inscription** (10 times)
3.  **virtue** (10 times)
4.  **money** (10 times)
5.  **candidate** (10 times)
6.  **ecosystem** (10 times)
7.  **sphynx** (10 times)
8.  **aboard** (10 times)
9.  **mistake** (10 times)
10. **",cwe,6103.0,Answer: The top 10 words that appear most often in the list are:,0.399966208,65.536,399.966208,2.921529344,120,0.863096973911483,2921.529344,GB,32768,0.4,"['mislead' 'virtue' 'money' 'ecosystem' 'inscription' 'aboard' 'sphynx'
 'kingfish' 'shoes' 'candidate']",44579.0
Question: What are the 10 most common words in the above list? ,6103.0,"

1.  **correspondence** (13 times)
2.  **racer** (12 times)
3.  **briefly** (11 times)
4.  **lute** (11 times)
5.  **spider** (10 times)
6.  **shoot** (10 times)
7.  **scene** (9 times)
8.  **asparagus** (9 times)
9.  **nod** (9 times)
10. **grand** (",cwe,6103.0,Answer: The top 10 words that appear most often in the list are:,0.399966208,65.536,399.966208,2.911240192,120,0.8626131196254109,2911.240192,GB,32768,0.4,"['asparagus' 'grand' 'briefly' 'correspondence' 'shoot' 'lute' 'nod'
 'spider' 'scene' 'racer']",44422.0
Question: What are the 10 most common words in the above list? ,6103.0,"

1.  **bun** (10 times)
2.  **borrower** (9 times)
3.  **backbone** (9 times)
4.  **conviction** (9 times)
5.  **government** (9 times)
6.  **digging** (8 times)
7.  **fugato** (8 times)
8.  **slider** (8 times)
9.  **subsidence** (8 times)
10. **split** (7 times)

",cwe,6103.0,Answer: The top 10 words that appear most often in the list are:,0.399966208,65.536,399.966208,2.918776832,120,0.8629678694119496,2918.776832,GB,32768,0.4,"['digging' 'borrower' 'split' 'backbone' 'slider' 'subsidence' 'fugato'
 'bun' 'conviction' 'government']",44537.0
