max_new_tokens,retained_context_tokens,task,answers,retained_kv_memory_mb,retained_kv_memory_gb,answer_prefix,split,memory_budget_unit,compression_ratio,memory_budget,uncompressed_kv_memory_mb,kv_memory_per_token_kb,question,uncompressed_kv_memory_gb,context_tokens,token_budget,predicted_answer
256,1736.0,musique_32k,['22'],255.983616,0.255983616,Final Answer: ,dev,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How many times did plague occur in the birth city of the composer of Nulla in mundo pax sincera?
",7.073316864,47969.0,1736.0," ['Nulla in mundo pax sincera', '19']"
256,1736.0,musique_32k,"['Sea, Air, and Land']",255.983616,0.255983616,Final Answer: ,dev,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does seal stand for in the U.S. military branch that operates a list of destroyer classes and the USS Stag?
",7.073316864,47969.0,1736.0," [Document Title: ""Seal"" in the U.S. military branch that operates a list of destroyer classes and the USS Stag, ID: 16]

**Answer:**
- The ""Seal"" in the U.S. military branch that operates a list of destroyer classes and the USS Stag refers to the ""Seal"" in the context of the USS Stag (DD-661), which is a U.S. Navy destroyer. The term ""Seal"""
256,1736.0,musique_32k,['January 2015'],255.983616,0.255983616,Final Answer: ,dev,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the political party Alaska generally supports take control of the determiner of rules of the US House and US Senate?
",7.073316864,47969.0,1736.0," ['Alaska', '113']  
The political party Alaska generally supports, which refers to the Republican Party, took control of the determiner of rules of the US House and US Senate in 1981. This is based on the historical context provided in the documents, which mention the Republican Party's dominance and the establishment of the ""determiner of rules"" in the context of the 1981 events."
256,1736.0,musique_32k,['Mario Andretti'],255.983616,0.255983616,Final Answer: ,dev,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who won the 1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county?
",7.073316864,47969.0,1736.0," ['1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county']

The 1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county was won by **Michael Schumacher**."
256,1736.0,musique_32k,['Green Bay'],255.983616,0.255983616,Final Answer: ,dev,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?
",7.073316864,47969.0,1736.0," ['Capital of the county that shares a border with the county where KRSU is licensed to broadcast:']

**TITLE**: 2020 AFC U-23 Championship qualification  
**ID**: 14  

**TITLE**: 2004–05 FA Cup  
**ID**: 15  

**TITLE**: 2004–05 FA Cup  
**ID**: 16  

**TITLE**: 2004–05 FA Cup"
256,1736.0,musique_32k,['Milwaukee Deep'],255.983616,0.255983616,Final Answer: ,dev,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?
",7.073316864,47969.0,1736.0," ['Title: ""The 1973 oil crisis and the Nissan story"", ID: 1', 'Title: ""Nissan and the development of the car"", ID: 1']

The deepest part of the ocean near the state where the county that holds the city of Winchester is found is the Mariana Trench. The city of Winchester is located in the state of Virginia, and the county that holds the city of Winchester is the Clark County. The Mariana Trench is located"
256,1736.0,musique_32k,['Medical University of Warsaw'],255.983616,0.255983616,Final Answer: ,dev,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the largest medical school in the nation where, along with the country of citizenship of the mother of Marie Antoinette, many expelled French Jews relocated?
",7.073316864,47969.0,1736.0," ['Title: 1973 oil crisis', 'Title: 1973 oil crisis']  
The largest medical school in the nation is not directly mentioned in the provided documents. However, the document titled ""1973 oil crisis"" mentions ""the largest medical school in the nation"" in the context of the question. The other part of the query about the country of citizenship of the mother of Marie Antoinette and where many expelled French Jews relocated is not addressed in the"
256,1736.0,musique_32k,['Saxony-Anhalt'],255.983616,0.255983616,Final Answer: ,dev,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what region of Germany is the district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra?
",7.073316864,47969.0,1736.0," ['**TITLE**: The 2004–2005 UEFA Champions League, **ID**: 1', '**TITLE**: The 2004–2005 UEFA Champions League, **ID**: 2']

The district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra is in the **region of Germany known as the Rhineland**. This is based on the information that"
256,1736.0,musique_32k,['the Ministry of Education'],255.983616,0.255983616,Final Answer: ,dev,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who runs the school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?
",7.073316864,47969.0,1736.0," ['School System in the Country that is the Natural Boundary', '12']  
The school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located is run by the **National Football League (NFL)**."
256,1736.0,musique_32k,['University of South Carolina'],255.983616,0.255983616,Final Answer: ,dev,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?
",7.073316864,47969.0,1736.0," ['University of the state having Fort Hill', 'University of the state whose primary was won by Edwards besides the state having WEKL']"
256,1736.0,musique_32k,['Al - Aqsa Mosque'],255.983616,0.255983616,Final Answer: ,test,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the great mosque constructed at the site of the old temple in the city originating christianity in Rome, Egypt, Judea and the country for Vasilopita?
",7.073316864,47969.0,1736.0," [Document 1] [Document 2]  
1. **Great Mosque** - The Great Mosque is the **title** of the document, and its **ID** is **[Document 1]**.  
2. **Vasilopita** - The **title** of the document is **""Vasilopita""**, and its **ID** is **[Document 2]**.  

**Answer:**  
- The **Great Mosque** was constructed at the site of the"
256,1736.0,musique_32k,['Oriole Records.'],255.983616,0.255983616,Final Answer: ,test,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What label was bought in the UK by the other major New York broadcast that is in addition to ABC, and the one who released Stand Against Fear?
",7.073316864,47969.0,1736.0," ['Stand Against Fear', '1973']"
256,1736.0,musique_32k,['Sales began worldwide in April 2012'],255.983616,0.255983616,Final Answer: ,test,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the rx 350 model of the luxury division of the company that built Daihatsu boon change body style?
",7.073316864,47969.0,1736.0," ['2013', '2013']"
256,1736.0,musique_32k,['1952'],255.983616,0.255983616,Final Answer: ,test,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to die?
",7.073316864,47969.0,1736.0," ['The 1973 oil crisis', 'The 1973 oil crisis', 'The 1973 oil crisis', 'The 1973 oil crisis', 'The 1973 oil crisis', 'The 1973 oil crisis', 'The 1973 oil crisis', 'The 1973 oil crisis', 'The 1973 oil crisis', 'The 1973 oil crisis',"
256,1736.0,musique_32k,['Oriole Records.'],255.983616,0.255983616,Final Answer: ,test,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What UK label was bought by the company which, along with ABC and the network which broadcasted Hello, Larry, is the other major broadcaster based in NY?
",7.073316864,47969.0,1736.0," [Document 1] [Document 2]  
- **Document 1**: ""The 1973 UK Label""  
- **Document 2**: ""The 1973 UK Label""  

The answer is:  
- The UK label that was bought by the company which, along with ABC and the network which broadcasted ""Hello, Larry,"" is the other major broadcaster based in NY is **ABC**. However, the specific label mentioned in the query is **"
256,1736.0,musique_32k,['1941'],255.983616,0.255983616,Final Answer: ,test,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the country where Siddhi Savetsila was born form an alliance with Japan?
",7.073316864,47969.0,1736.0," ['The 2001–2002 Japanese–Korean–Chinese Tripartite Agreement', '1999']"
256,1736.0,musique_32k,['island Koh Phi Phi'],255.983616,0.255983616,Final Answer: ,test,MB,0.9638099605995539,256.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The Beach was filmed in what location of the country that contains the birth city of Siddhi Savetsila?
",7.073316864,47969.0,1736.0," ['The 2004–2005 Season of the ...', 'The 2004–2005 Season of the ...']

The Beach was filmed in the location of the country that contains the birth city of Siddhi Savetsila, which is the United States. The birth city of Siddhi Savetsila is mentioned as being in the country of the United States, and the filming location of ""The Beach"" is the United States."
