question,retained_kv_memory_mb,answer,kv_memory_per_token_kb,answer_prefix,compression_ratio,retained_kv_memory_gb,context_tokens,predicted_answer,memory_budget_unit,context_id,task,retained_context_tokens,context_length,uncompressed_kv_memory_gb,uncompressed_kv_memory_mb,memory_budget,max_new_tokens,token_budget
What is the value associated with key 1C80A3B1799D? Return only the value.,2047.868928,['BDD606671AD1'],147.456,,0.7625049164628829,2.047868928,58477.0,BDD606671AD1,MB,context_0000,synthetic_kv_64k,13888.0,62995,8.622784512,8622.784512,2048.0,32,13888.0
What is the value associated with key 3EB146685257? Return only the value.,2047.868928,['23B8392456DE'],147.456,,0.7625049164628829,2.047868928,58477.0,23B8392456DE,MB,context_0000,synthetic_kv_64k,13888.0,62995,8.622784512,8622.784512,2048.0,32,13888.0
What is the value associated with key 1A3DBC8960A9? Return only the value.,2047.868928,['BD9CAD3C2D6D'],147.456,,0.7625049164628829,2.047868928,58477.0,2D9CAD3C2D6D,MB,context_0000,synthetic_kv_64k,13888.0,62995,8.622784512,8622.784512,2048.0,32,13888.0
What is the value associated with key 8B9DE465E150? Return only the value.,2047.868928,['972A16419F82'],147.456,,0.7625049164628829,2.047868928,58477.0,972A16419F82,MB,context_0000,synthetic_kv_64k,13888.0,62995,8.622784512,8622.784512,2048.0,32,13888.0
What is the value associated with key 08226C031199? Return only the value.,2047.868928,['17FC07A0CA6E'],147.456,,0.7625049164628829,2.047868928,58477.0,CA69555E626E,MB,context_0000,synthetic_kv_64k,13888.0,62995,8.622784512,8622.784512,2048.0,32,13888.0
What is the value associated with key 3B8F37F8A88B? Return only the value.,2047.868928,['9A1D815EF6D1'],147.456,,0.7625049164628829,2.047868928,58477.0,5F98A65E688E,MB,context_0000,synthetic_kv_64k,13888.0,62995,8.622784512,8622.784512,2048.0,32,13888.0
What is the value associated with key 8FAD06CB0FB3? Return only the value.,2047.868928,['B74D32E70629'],147.456,,0.7625049164628829,2.047868928,58477.0,972A16419F82,MB,context_0000,synthetic_kv_64k,13888.0,62995,8.622784512,8622.784512,2048.0,32,13888.0
What is the value associated with key B38AA65ED389? Return only the value.,2047.868928,['6B658B8148F6'],147.456,,0.7625049164628829,2.047868928,58477.0,4F4B8148F65D,MB,context_0000,synthetic_kv_64k,13888.0,62995,8.622784512,8622.784512,2048.0,32,13888.0
What is the value associated with key 72FF386ECBE0? Return only the value.,2047.868928,['473796DA1DAC'],147.456,,0.7625049164628829,2.047868928,58477.0,C9E58C61456C,MB,context_0000,synthetic_kv_64k,13888.0,62995,8.622784512,8622.784512,2048.0,32,13888.0
What is the value associated with key DE8ACF36D58B? Return only the value.,2047.868928,['C24101A9E71F'],147.456,,0.7625049164628829,2.047868928,58477.0,E72101A9E71F,MB,context_0000,synthetic_kv_64k,13888.0,62995,8.622784512,8622.784512,2048.0,32,13888.0
