context_tokens,compression_ratio,max_new_tokens,uncompressed_kv_memory_mb,predicted_answer,retained_kv_memory_mb,retained_context_tokens,split,kv_memory_per_token_kb,answer_prefix,task,answers,uncompressed_kv_memory_gb,retained_kv_memory_gb,question
118609.0,0.0,256,17489.608704," ['Jorah Mormont', 'Daenerys Targaryen', 'Tyrion Lannister', 'Khal Drogo', 'Bran Stark', 'Arya Stark', 'Sansa Stark', 'Cersei Lannister', 'Jaime Lannister', 'Joffrey Baratheon', 'Tommen Baratheon', 'Margaery Tyrell', 'Shae', 'Oberyn Martell', 'Arya Stark',",17489.608704,118609.0,dev,147.456,Final Answer: ,nq_128k,['Tyrion Lannister'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what's the dwarf's name in game of thrones
"
118609.0,0.0,256,17489.608704, ['Judith Keppel'],17489.608704,118609.0,dev,147.456,Final Answer: ,nq_128k,['Judith Cynthia Aline Keppel'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first who wants to be a millionaire winner uk
"
118609.0,0.0,256,17489.608704, ['James Watson and Francis Crick'],17489.608704,118609.0,dev,147.456,Final Answer: ,nq_128k,['Crick' 'Watson'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who proposed the first accurate model of dna
"
118609.0,0.0,256,17489.608704, ['Jason Paige'],17489.608704,118609.0,dev,147.456,Final Answer: ,nq_128k,['Jason Paige'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sings the pokemon theme song season 1
"
118609.0,0.0,256,17489.608704, ['Edith Massey'],17489.608704,118609.0,dev,147.456,Final Answer: ,nq_128k,['Mary Elizabeth Patterson'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played mrs. trumbull on i love lucy
"
118609.0,0.0,256,17489.608704, ['around AD 95–110'],17489.608704,118609.0,dev,147.456,Final Answer: ,nq_128k,['AD 95–110' 'probably written in Ephesus'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the first epistle of john written
"
118609.0,0.0,256,17489.608704, ['Wisconsin'],17489.608704,118609.0,dev,147.456,Final Answer: ,nq_128k,['Wisconsin'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: colby chees is named after a town in what state
"
118609.0,0.0,256,17489.608704, ['April 2014'],17489.608704,118609.0,dev,147.456,Final Answer: ,nq_128k,['Dragon Ball GT'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did goku first go super saiyan 4
"
118609.0,0.0,256,17489.608704, ['Richard Stallman'],17489.608704,118609.0,dev,147.456,Final Answer: ,nq_128k,['Richard Stallman'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is given credit for the gnu initiative
"
118609.0,0.0,256,17489.608704, ['Wyoming'],17489.608704,118609.0,dev,147.456,Final Answer: ,nq_128k,['Idaho'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what us state forms the western boundary of montana
"
118609.0,0.0,256,17489.608704, ['Hulu did not stream Monday Night Raw as of the provided documents.'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['the following day'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does monday night raw come on hulu
"
118609.0,0.0,256,17489.608704," ['Spain', 'Portugal', 'Netherlands', 'France', 'Britain']",17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['Spain' 'Taíno' 'indigenous Taíno people'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who did puerto rico belong to before the u.s
"
118609.0,0.0,256,17489.608704," ['April 9, 2012']",17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,"['September 13, 2012']",17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did season 4 of glee come out
"
118609.0,0.0,256,17489.608704, ['Haliaeetus'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['Haliaeetus'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the genus of a bald eagle
"
118609.0,0.0,256,17489.608704, ['Season 3 of Battlestar Galactica'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,"[""Kobol's Last Gleaming""]",17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does boomer find out she a cylon
"
118609.0,0.0,256,17489.608704," ['Simba's mother', 'Nala']",17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['Nala'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the female lion called in lion king
"
118609.0,0.0,256,17489.608704, ['Christopher Lloyd'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['Christopher Lloyd'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who plays the woodsman in over the garden wall
"
118609.0,0.0,256,17489.608704," ['Queen Victoria', 'ID: 855']",17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['Charlotte of Mecklenburg-Strelitz'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who introduced the first chrismas tree to the uk
"
118609.0,0.0,256,17489.608704," ['Joan Rivers', 'Cathy Guiseppe', 'Cathy Guiseppe', 'Joan Rivers']",17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['Glenn Close'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played cruella de vil in 101 dalmatians
"
118609.0,0.0,256,17489.608704, ['The Ramones'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['the Ramones'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sang the song i wanna be sedated
"
118609.0,0.0,256,17489.608704,7,17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['at least seven' 'at least seven players' 'seven'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: how many players on the line of scrimmage in american football
"
118609.0,0.0,256,17489.608704, ['1972'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['September 1972'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did the tv show the waltons first air
"
118609.0,0.0,256,17489.608704, ['Emma is dating David in Once Upon a Time'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['Hook'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is emma dating in once upon a time
"
118609.0,0.0,256,17489.608704, ['1997'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['2011'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the last time giants won superbowl
"
118609.0,0.0,256,17489.608704, ['in the southern United States'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['the summit of Cadillac Mountain'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where does the sun hit the us first
"
118609.0,0.0,256,17489.608704, ['Ministry of Corporate Affairs'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['Indian government'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is the authority or governing body of mca
"
118609.0,0.0,256,17489.608704, ['the primal rib'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['the primal rib'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where does prime rib come from on a cow
"
118609.0,0.0,256,17489.608704, ['Heath Ledger'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,['Ledger'],17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who plays joker in batman the dark knight
"
118609.0,0.0,256,17489.608704, ['gravity'],17489.608704,118609.0,test,147.456,Final Answer: ,nq_128k,"['Gravity' 'Gravity, or gravitation']",17.489608704,17.489608704,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the common name for gravitational force
"
