uncompressed_kv_memory_gb,question,predicted_answer,retained_context_tokens,task,uncompressed_kv_memory_mb,kv_memory_per_token_kb,context_length,retained_kv_memory_mb,context_tokens,answer,compression_ratio,max_new_tokens,retained_kv_memory_gb,answer_prefix
2.015297536,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tsamyl, kjsvgb, ultalu.",30751.0,fwe,2015.297536,65.536,32768,2015.297536,30751.0,['tsamyl' 'kjsvgb' 'ultalu'],0.0,50,2.015297536,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.939931136,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tuhrpx, jqafhp, ustkrw.",29601.0,fwe,1939.931136,65.536,32768,1939.931136,29601.0,['tuhrpx' 'jqafhp' 'ustkrw'],0.0,50,1.939931136,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.059993088,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. ueiomi
2. jynvfj
3. uyrfxo",31433.0,fwe,2059.993088,65.536,32768,2059.993088,31433.0,['ueiomi' 'jynvfj' 'uyrfxo'],0.0,50,2.059993088,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.034827264,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," uafuav, jszgky, utolmb.",31049.0,fwe,2034.827264,65.536,32768,2034.827264,31049.0,['uafuav' 'jszgky' 'utolmb'],0.0,50,2.034827264,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.023030784,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tgvkhd, izxmvr, udhtfp.",30869.0,fwe,2023.030784,65.536,32768,2023.030784,30869.0,['tgvkhd' 'izxmvr' 'udhtfp'],0.0,50,2.023030784,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.031091712,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. sxbyjn
2. joqdsh
3. uamnpv",30992.0,fwe,2031.091712,65.536,32768,2031.091712,30992.0,['sxbyjn' 'joqdsh' 'uamnpv'],0.0,50,2.031091712,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.982464,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tqggpf
2. jsbnkl
3. uqcvbj",30250.0,fwe,1982.464,65.536,32768,1982.464,30250.0,['tqggpf' 'jsbnkl' 'uqcvbj'],0.0,50,1.982464,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.941962752,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tskcze
2. jifiht
3. unejer",29632.0,fwe,1941.962752,65.536,32768,1941.962752,29632.0,['tskcze' 'jifiht' 'unejer'],0.0,50,1.941962752,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.141126656,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tvcasv, klxlhw, uushyt.",32671.0,fwe,2141.126656,65.536,32768,2141.126656,32671.0,['tvcasv' 'klxlhw' 'uushyt'],0.0,50,2.141126656,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.971191808,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tjsool, kmapsx, ujeuea.",30078.0,fwe,1971.191808,65.536,32768,1971.191808,30078.0,['tjsool' 'kmapsx' 'ujeuea'],0.0,50,1.971191808,"Answer: According to the coded text above, the three most frequently appeared words are:"
