uncompressed_kv_memory_gb,answer_prefix,answer,memory_budget,compression_ratio,max_new_tokens,kv_memory_per_token_kb,retained_context_tokens,context_tokens,token_budget,context_length,retained_kv_memory_mb,memory_budget_unit,retained_kv_memory_gb,question,predicted_answer,task,uncompressed_kv_memory_mb
2.728722432,The special magic number for fanatical-genocide mentioned in the provided text is,['8906355'],0.2,0.926723827365084,128,65.536,3051.0,41637.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for fanatical-genocide mentioned in the provided text? , **5976048**.,niah_multikey_2,2728.722432
2.731671552,The special magic number for alcoholic-alloy mentioned in the provided text is,['7926237'],0.2,0.9268029365193609,128,65.536,3051.0,41682.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for alcoholic-alloy mentioned in the provided text? , 5736854.,niah_multikey_2,2731.671552
2.729377792,The special magic number for trashy-spine mentioned in the provided text is,['3865550'],0.2,0.9267414219511609,128,65.536,3051.0,41647.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for trashy-spine mentioned in the provided text? , 7995261.,niah_multikey_2,2729.377792
2.731081728,The special magic number for agreeable-memory mentioned in the provided text is,['8956675'],0.2,0.9267871283564898,128,65.536,3051.0,41673.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for agreeable-memory mentioned in the provided text? , **8956675**.,niah_multikey_2,2731.081728
2.730033152,The special magic number for detailed-fork mentioned in the provided text is,['5194772'],0.2,0.9267590080898769,128,65.536,3051.0,41657.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for detailed-fork mentioned in the provided text? , 1052774.,niah_multikey_2,2730.033152
2.727673856,The special magic number for futuristic-registry mentioned in the provided text is,['9875666'],0.2,0.926695658441652,128,65.536,3051.0,41621.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for futuristic-registry mentioned in the provided text? , 9875666.,niah_multikey_2,2727.673856
2.725707776,The special magic number for slippery-laparoscope mentioned in the provided text is,['3215142'],0.2,0.9266427832944627,128,65.536,3051.0,41591.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for slippery-laparoscope mentioned in the provided text? , **3215142**.,niah_multikey_2,2725.707776
2.72891904,The special magic number for ethereal-spasm mentioned in the provided text is,['9664574'],0.2,0.926729106628242,128,65.536,3051.0,41640.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for ethereal-spasm mentioned in the provided text? , 9664574.,niah_multikey_2,2728.91904
2.729181184,The special magic number for flippant-editing mentioned in the provided text is,['5533485'],0.2,0.9267361444625877,128,65.536,3051.0,41644.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for flippant-editing mentioned in the provided text? , 1997938.,niah_multikey_2,2729.181184
2.730098688,The special magic number for small-runway mentioned in the provided text is,['3754389'],0.2,0.9267607662393778,128,65.536,3051.0,41658.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for small-runway mentioned in the provided text? , **3339490**.,niah_multikey_2,2730.098688
2.7295744,The special magic number for fretful-deposition mentioned in the provided text is,['3536076'],0.2,0.9267466986794718,128,65.536,3051.0,41650.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for fretful-deposition mentioned in the provided text? , **3973695**.,niah_multikey_2,2729.5744
2.726363136,The special magic number for lazy-terrorism mentioned in the provided text is,['8276492'],0.2,0.9266604168169035,128,65.536,3051.0,41601.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for lazy-terrorism mentioned in the provided text? , **8276492**.,niah_multikey_2,2726.363136
2.728460288,The special magic number for agonizing-budget mentioned in the provided text is,['4548730'],0.2,0.9267167871640285,128,65.536,3051.0,41633.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for agonizing-budget mentioned in the provided text? , 4441613.,niah_multikey_2,2728.460288
2.725052416,The special magic number for adamant-notice mentioned in the provided text is,['6745701'],0.2,0.9266251412904932,128,65.536,3051.0,41581.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for adamant-notice mentioned in the provided text? , 6981171.,niah_multikey_2,2725.052416
2.728525824,The special magic number for wide-eyed-citizen mentioned in the provided text is,['2794159'],0.2,0.9267185473411155,128,65.536,3051.0,41634.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for wide-eyed-citizen mentioned in the provided text? , **6670554**.,niah_multikey_2,2728.525824
2.722168832,The special magic number for unable-ginseng mentioned in the provided text is,['9225134'],0.2,0.9265474155572141,128,65.536,3051.0,41537.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for unable-ginseng mentioned in the provided text? , 1547769.,niah_multikey_2,2722.168832
2.732785664,The special magic number for malicious-tributary mentioned in the provided text is,['4492802'],0.2,0.9268327777644548,128,65.536,3051.0,41699.0,3051.0,32768,199.950336,GB,0.199950336,What is the special magic number for malicious-tributary mentioned in the provided text? , 6743322.,niah_multikey_2,2732.785664
