question,answers,retained_kv_memory_mb,uncompressed_kv_memory_gb,token_budget,task,retained_context_tokens,compression_ratio,split,answer_prefix,memory_budget_unit,max_new_tokens,retained_kv_memory_gb,uncompressed_kv_memory_mb,memory_budget,context_tokens,predicted_answer,kv_memory_per_token_kb
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Capua Films
",['Spartacus (film)'],511.967232,17.396416512,3472.0,quest_128k,3472.0,0.9705705349347754,dev,Final Answer: ,MB,256,0.511967232,17396.416512,512.0,117977.0," 1. **Title**: Capua Films  
   **ID**: 1  
   **Answer**: Capua Films is a fictional entity mentioned in the context of the 1943 film ""The Man from Hong Kong,"" which was part of the ""That"" series. It is referenced as a company involved in the production of films, though no further details about its operations or specific films are provided in the given documents.  

2. **Title**: Capua Films  
   **ID",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1990s Indian and folklore romance films.
",['Laal Paree' 'Roja (film)' 'Sahasa Veerudu Sagara Kanya'],511.967232,17.396416512,3472.0,quest_128k,3472.0,0.9705705349347754,dev,Final Answer: ,MB,256,0.511967232,17396.416512,512.0,117977.0,"1990s Indian and folklore romance films.

- **TITLE**: ""The 1990s Indian and Folklore Romance Films""  
  **ID**: 1

- **TITLE**: ""The 1990s Indian and Folklore Romance Films""  
  **ID**: 2

- **TITLE**: ""The 1990s Indian and Folklore Romance Films""  
  **ID**: 3

- **TITLE**: ""The 1",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films shot in Gauteng or New Zealand action thrillers or Western films from South Africa
",['6 Days (2017 film)' 'Glory Glory (2000 film)' 'The Jackals'],511.967232,17.396416512,3472.0,quest_128k,3472.0,0.9705705349347754,dev,Final Answer: ,MB,256,0.511967232,17396.416512,512.0,117977.0,"1. **Title**: ""Films shot in Gauteng or New Zealand action thrillers or Western films from South Africa""  
**ID**: 1

2. **Title**: ""Chain of Attack""  
**ID**: 2

3. **Title**: ""The Film and the Book""  
**ID**: 3

4. **Title**: ""The Movie and the Book""  
**ID**: 4

5. **Title**: ""The Book and the Movie""  
",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1860 novels or 1860 American novels or Ivan Turgenev novellas
",['Max Havelaar' 'The Marble Faun' 'The Mill on the Floss'],511.967232,17.396416512,3472.0,quest_128k,3472.0,0.9705705349347754,dev,Final Answer: ,MB,256,0.511967232,17396.416512,512.0,117977.0,"1860 novels or 1860 American novels or Ivan Turgenev novellas

**Document Title and ID:**
- ""The 1860 Novel"" (ID: 1)
- ""American Novels of the 1860s"" (ID: 2)
- ""Ivan Turgenev's Novellas"" (ID: 3)

**Answer:**
1. **The 1860 Novel** (ID",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Horror anthology films about time travel that were shot in the US
",['Southbound (2015 film)' 'Twilight Zone: The Movie'],511.967232,17.396416512,3472.0,quest_128k,3472.0,0.9705705349347754,dev,Final Answer: ,MB,256,0.511967232,17396.416512,512.0,117977.0,"1. **Title:** *The Time Traveler's Wife* **ID:** 12345  
2. **Title:** *Predestination* **ID:** 67890  

**Answer:**
1. *The Time Traveler's Wife* (ID: 12345)  
2. *Predestination* (ID: 67890)",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on European myths and legends and young adult literature
",['Percy Jackson & the Olympians: The Lightning Thief'],511.967232,17.396416512,3472.0,quest_128k,3472.0,0.9705705349347754,dev,Final Answer: ,MB,256,0.511967232,17396.416512,512.0,117977.0,"1. **Title**: *The Emperor's New Clothes*  
**ID**: 12345  
2. **Title**: *The Emperor's New Clothes*  
**ID**: 12346  

**Answer List:**  
- *The Emperor's New Clothes* (ID: 12345)  
- *The Emperor's New Clothes* (ID: 12346)",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Supernatural horror films in the Artic
","['Kajutaijuq: The Spirit That Comes' 'The Abandoned (2006 film)'
 'The Last Winter (2006 film)']",511.967232,17.396416512,3472.0,quest_128k,3472.0,0.9705705349347754,dev,Final Answer: ,MB,256,0.511967232,17396.416512,512.0,117977.0,"1. **Title**: *The Art of Horror: Exploring the Supernatural in the Arctic*  
**ID**: 12345  

2. **Title**: *Supernatural Encounters in the Frozen North: A Film Analysis*  
**ID**: 67890  

**Answer List:**  
1. *The Art of Horror: Exploring the Supernatural in the Arctic* (ID: 12345)  
2. *Supern",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Northern Mariana Islands set films
",['Anatahan (film)' 'Oba: The Last Samurai'],511.967232,17.396416512,3472.0,quest_128k,3472.0,0.9705705349347754,dev,Final Answer: ,MB,256,0.511967232,17396.416512,512.0,117977.0," No documents were found that directly mention ""Northern Mariana Islands set films."" However, one document refers to the ""Northern Mariana Islands"" in the context of a film titled ""The Northern Mariana Islands"" and mentions a ""set"" in the context of a film production. 

- **Title**: Northern Mariana Islands set films  
- **ID**: (No specific ID provided, but the context is from the document discussing the ""Northern Mariana Islands"" and a ""set"" in film",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1980 books that are non fiction and, about British thriller.
",['Man on Fire (Quinnell novel)' 'Sweet Adelaide'],511.967232,17.396416512,3472.0,quest_128k,3472.0,0.9705705349347754,dev,Final Answer: ,MB,256,0.511967232,17396.416512,512.0,117977.0," No documents found that match the query.  
Title: No documents found that match the query.  
ID: No documents found that match the query.  

The query asks for ""1980 books that are non fiction and, about British thriller."" However, the provided documents do not contain any information about books published in 1980, nor do they mention anything about British thrillers in the context of non-fiction books. Therefore, no documents can be used to answer the query.",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Australian novels from 1991
",['Cloudstreet' 'Mandragora (novel)' 'Our Sunshine'],511.967232,17.396416512,3472.0,quest_128k,3472.0,0.9705705349347754,dev,Final Answer: ,MB,256,0.511967232,17396.416512,512.0,117977.0,"1991 Australian novels

- **Title**: ""The Book of the Dead""  
  **ID**: 1

- **Title**: ""The Burden of the Past""  
  **ID**: 2

- **Title**: ""The Echoes of the Past""  
  **ID**: 3

- **Title**: ""The Shadows of the Past""  
  **ID**: 4

- **Title**: ""The Wounds of the Past""  
  **",147.456
