question,answers,retained_kv_memory_mb,uncompressed_kv_memory_gb,token_budget,task,retained_context_tokens,compression_ratio,split,answer_prefix,memory_budget_unit,max_new_tokens,retained_kv_memory_gb,uncompressed_kv_memory_mb,memory_budget,context_tokens,predicted_answer,kv_memory_per_token_kb
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Capua Films
",['Spartacus (film)'],255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,dev,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1. TITLE: Capua Films, ID: 123456789  
2. TITLE: Capua Films, ID: 987654321",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1990s Indian and folklore romance films.
",['Laal Paree' 'Roja (film)' 'Sahasa Veerudu Sagara Kanya'],255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,dev,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1990s Indian and folklore romance films.

**Used Documents:**
- TITLE: 1990s Indian and folklore romance films.
- ID: 1

**Answer:**
- **Title:** 1990s Indian and folklore romance films.
- **ID:** 1
- The 1990s saw a variety of Indian and folklore-inspired romance films, often blending traditional narratives with modern storytelling. These films typically featured historical or mythological themes",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films shot in Gauteng or New Zealand action thrillers or Western films from South Africa
",['6 Days (2017 film)' 'Glory Glory (2000 film)' 'The Jackals'],255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,dev,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1. **Title:** Films shot in Gauteng or New Zealand action thrillers or Western films from South Africa  
**ID:** 1  

- **Films shot in Gauteng:** ""The Last Days of South African Cinema""  
- **New Zealand action thrillers:** ""The New Zealand Action Thriller""  
- **Western films from South Africa:** ""South African Western Films""  
- **Films shot in New Zealand:** ""New Zealand Western Films""  
- **Films",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1860 novels or 1860 American novels or Ivan Turgenev novellas
",['Max Havelaar' 'The Marble Faun' 'The Mill on the Floss'],255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,dev,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1860 novels or 1860 American novels or Ivan Turgenev novellas

**Used Documents:**
- TITLE: ""The Cossacks"" by Ivan Turgenev, ID: 1
- TITLE: ""A Sportsman's Sketches"" by Ivan Turgenev, ID: 2
- TITLE: ""Fathers and Sons"" by Ivan Turgenev, ID: 3

**Answer List:**
1. **",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Horror anthology films about time travel that were shot in the US
",['Southbound (2015 film)' 'Twilight Zone: The Movie'],255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,dev,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1. **Title:** ""The Time Traveler's Wife"" **ID:** 123  
2. **Title:** ""Predestination"" **ID:** 456  
3. **Title:** ""11.22.63"" **ID:** 789  
4. **Title:** ""Timecrimes"" **ID:** 1011  
5. **Title:** ""The Thirteenth Floor"" **ID:** 1213",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on European myths and legends and young adult literature
",['Percy Jackson & the Olympians: The Lightning Thief'],255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,dev,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1. **Title:** ""The Best of Both Worlds: A Guide to Films Based on European Myths and Legends""  
   **ID:** 1  
   **Answer:** This document discusses films based on European myths and legends, but it does not specifically mention young adult literature.  

2. **Title:** ""European Myths and Legends in Film: A Comprehensive List""  
   **ID:** 2  
   **Answer:** This document provides a list of films based on European myths and",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Supernatural horror films in the Artic
","['Kajutaijuq: The Spirit That Comes' 'The Abandoned (2006 film)'
 'The Last Winter (2006 film)']",255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,dev,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1. **TITLE**: The Thing (1982)  
   **ID**: 1  
   **Answer**: ""The Thing"" is a supernatural horror film set in the Arctic, where a group of scientists and military personnel encounter a shape-shifting alien entity.

2. **TITLE**: Tumbler (1997)  
   **ID**: 2  
   **Answer**: ""Tumbler"" is a supernatural horror film set in the Arctic, where a group of",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Northern Mariana Islands set films
",['Anatahan (film)' 'Oba: The Last Samurai'],255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,dev,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1. **TITLE**: Northern Mariana Islands set films  
   **ID**: 1  
   - The Northern Mariana Islands are a U.S. Commonwealth in the Pacific Ocean.  
   - They are not directly related to the ""set films"" mentioned in the query.  
   - However, the Northern Mariana Islands have been featured in some films and media.  
   - The query might be referring to the ""set"" in a film or media context, which could include locations or",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1980 books that are non fiction and, about British thriller.
",['Man on Fire (Quinnell novel)' 'Sweet Adelaide'],255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,dev,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1980 books that are non fiction and about British thriller.

There are no documents provided that directly answer this query.",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Australian novels from 1991
",['Cloudstreet' 'Mandragora (novel)' 'Our Sunshine'],255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,dev,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1991 Australian novels

**Used Documents:**
- TITLE: ""The Best of the Best"", ID: 1234
- TITLE: ""Australian Novels: A Comprehensive List"", ID: 5678

**Answer:**
1. ""The Best of the Best"" - ID: 1234  
2. ""Australian Novels: A Comprehensive List"" - ID: 5678",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels about families set in Boston and New England.
",['A Case of Need'],255.983616,17.396416512,1736.0,quest_128k,1736.0,0.9852852674673878,test,Final Answer: ,MB,256,0.255983616,17396.416512,256.0,117977.0,"1. **TITLE**: ""The Bostonians""  
   **ID**: 1  
   - This novel is set in Boston and explores family dynamics and social issues in New England.

2. **TITLE**: ""The Scarlet Letter""  
   **ID**: 2  
   - Although not explicitly about families, this novel is set in 17th-century Boston and delves into familial and societal relationships.

3. **TITLE**: ""A Tree Grows in Brooklyn""  
   **ID",147.456
