uncompressed_kv_memory_gb,question,predicted_answer,memory_budget_unit,retained_context_tokens,task,uncompressed_kv_memory_mb,kv_memory_per_token_kb,context_length,retained_kv_memory_mb,context_tokens,answer,compression_ratio,memory_budget,token_budget,max_new_tokens,retained_kv_memory_gb,answer_prefix
2.015297536,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"

1. tsamyl
2. kjsvgb
3. ultalu",GB,12207.0,fwe,2015.297536,65.536,32768,799.997952,30751.0,['tsamyl' 'kjsvgb' 'ultalu'],0.6030372996000131,0.8,12207.0,50,0.799997952,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.939931136,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tuhrpx, jqafhp, and ustkrw.",GB,12207.0,fwe,1939.931136,65.536,32768,799.997952,29601.0,['tuhrpx' 'jqafhp' 'ustkrw'],0.5876152832674572,0.8,12207.0,50,0.799997952,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.059993088,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. ueiomi
2. jynvfj
3. jxpvms",GB,12207.0,fwe,2059.993088,65.536,32768,799.997952,31433.0,['ueiomi' 'jynvfj' 'uyrfxo'],0.6116501765660294,0.8,12207.0,50,0.799997952,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.034827264,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," uafuav, jszgky, and utolmb.",GB,12207.0,fwe,2034.827264,65.536,32768,799.997952,31049.0,['uafuav' 'jszgky' 'utolmb'],0.6068472414570518,0.8,12207.0,50,0.799997952,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.023030784,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"

1. tgvkhd
2. izxmvr
3. udhtfp",GB,12207.0,fwe,2023.030784,65.536,32768,799.997952,30869.0,['tgvkhd' 'izxmvr' 'udhtfp'],0.6045547312838122,0.8,12207.0,50,0.799997952,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.031091712,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. sxbyjn
2. joqdsh
3. uamnpv",GB,12207.0,fwe,2031.091712,65.536,32768,799.997952,30992.0,['sxbyjn' 'joqdsh' 'uamnpv'],0.6061241610738255,0.8,12207.0,50,0.799997952,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.982464,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tqggpf
2. jsbnkl
3. uqcvbj",GB,12207.0,fwe,1982.464,65.536,32768,799.997952,30250.0,['tqggpf' 'jsbnkl' 'uqcvbj'],0.5964628099173555,0.8,12207.0,50,0.799997952,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.941962752,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"

1. tskcze
2. jifiht
3. unejer",GB,12207.0,fwe,1941.962752,65.536,32768,799.997952,29632.0,['tskcze' 'jifiht' 'unejer'],0.5880467062634989,0.8,12207.0,50,0.799997952,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.141126656,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"

1. tvcasv
2. klxlhw
3. uushyt",GB,12207.0,fwe,2141.126656,65.536,32768,799.997952,32671.0,['tvcasv' 'klxlhw' 'uushyt'],0.6263658902390499,0.8,12207.0,50,0.799997952,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.971191808,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"

1. tjsool
2. kmapsx
3. ujeuea",GB,12207.0,fwe,1971.191808,65.536,32768,799.997952,30078.0,['tjsool' 'kmapsx' 'ujeuea'],0.5941551964891283,0.8,12207.0,50,0.799997952,"Answer: According to the coded text above, the three most frequently appeared words are:"
