split,context_tokens,predicted_answer,question,uncompressed_kv_memory_gb,task,compression_ratio,memory_budget_unit,kv_memory_per_token_kb,memory_budget,max_new_tokens,token_budget,answers,uncompressed_kv_memory_mb,retained_kv_memory_gb,retained_context_tokens,retained_kv_memory_mb,answer_prefix
dev,121232.0," ['Ford CD6W', 'EMD GC60']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the manufacturer of the car used by the Ford CD2 platform's design inspiration?
",17.876385792,hotpotqa_128k,0.9440659231885971,GB,147.456,1.0,256,6781.0,['Mazda'],17876.385792,0.999899136,6781.0,999.899136,Final Answer: 
dev,121232.0," ['Nickelodeon Animation Studio', '669', 'Kendrick Lamar', '106', 'Kendrick Lamar', '106']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How has played in more bands, Kim Wilson or Chino Moreno?
",17.876385792,hotpotqa_128k,0.9440659231885971,GB,147.456,1.0,256,6781.0,['Chino Moreno'],17876.385792,0.999899136,6781.0,999.899136,Final Answer: 
dev,121232.0," ['The Greatest Game Ever Played', 'Hot Lead and Cold Feet']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?
",17.876385792,hotpotqa_128k,0.9440659231885971,GB,147.456,1.0,256,6781.0,['Hot Lead and Cold Feet'],17876.385792,0.999899136,6781.0,999.899136,Final Answer: 
dev,121232.0," ['The Evening in Byzantium', 'The Heartbreak Kid']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid""?
",17.876385792,hotpotqa_128k,0.9440659231885971,GB,147.456,1.0,256,6781.0,['Edward Albert Heimberger'],17876.385792,0.999899136,6781.0,999.899136,Final Answer: 
dev,121232.0," ['Nickelodeon Animation Studio', '669']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Were Scott Derrickson and Ed Wood of the same nationality?
",17.876385792,hotpotqa_128k,0.9440659231885971,GB,147.456,1.0,256,6781.0,['yes'],17876.385792,0.999899136,6781.0,999.899136,Final Answer: 
dev,121232.0," ['Osmunda', 'Podocarpus']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which species is the most numerous, Podocarpus or Osmunda?
",17.876385792,hotpotqa_128k,0.9440659231885971,GB,147.456,1.0,256,6781.0,['Podocarpus'],17876.385792,0.999899136,6781.0,999.899136,Final Answer: 
dev,121232.0," ['La Machine à écrire', 'La Machine à écrire']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What word or phrase is found in both the history of Belgium and cockfighting?
",17.876385792,hotpotqa_128k,0.9440659231885971,GB,147.456,1.0,256,6781.0,['cockpit'],17876.385792,0.999899136,6781.0,999.899136,Final Answer: 
dev,121232.0," ['American Dad', '11']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: On what day of the week did the eleventh season's finale of American Dad air?
",17.876385792,hotpotqa_128k,0.9440659231885971,GB,147.456,1.0,256,6781.0,['Sunday'],17876.385792,0.999899136,6781.0,999.899136,Final Answer: 
dev,121232.0," ['The 2008 IIHF World Championship rosters recognized the top defenceman as the Canadian professional ice hockey defenceman who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL).']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?
",17.876385792,hotpotqa_128k,0.9440659231885971,GB,147.456,1.0,256,6781.0,['Brent Burns'],17876.385792,0.999899136,6781.0,999.899136,Final Answer: 
dev,121232.0," ['Sunkist', 'Solo (Norwegian soft drink)', 'Sunkist (soft drink)']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the main flavor of both soft drinks, Solo from Norway, and Sunkist?
",17.876385792,hotpotqa_128k,0.9440659231885971,GB,147.456,1.0,256,6781.0,['orange'],17876.385792,0.999899136,6781.0,999.899136,Final Answer: 
