uncompressed_kv_memory_mb,compression_ratio,token_budget,predicted_answer,retained_kv_memory_mb,answer,memory_budget,retained_kv_memory_gb,answer_prefix,kv_memory_per_token_kb,question,max_new_tokens,context_tokens,context_length,uncompressed_kv_memory_gb,retained_context_tokens,context_id,memory_budget_unit,task
2170.355712,0.8820545339251744,3906.0,0,255.983616,['V_BDD606671AD1'],256.0,0.255983616,Answer: ,65.536,Query key: K_1C80A3B1799D,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,0,255.983616,['V_23B8392456DE'],256.0,0.255983616,Answer: ,65.536,Query key: K_3EB146685257,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,1A3DBC8960A9,255.983616,['V_BD9CAD3C2D6D'],256.0,0.255983616,Answer: ,65.536,Query key: K_1A3DBC8960A9,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,3EABBAA80DD4,255.983616,['V_972A16419F82'],256.0,0.255983616,Answer: ,65.536,Query key: K_8B9DE465E150,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,17FC07A0CA6E,255.983616,['V_17FC07A0CA6E'],256.0,0.255983616,Answer: ,65.536,Query key: K_08226C031199,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,9A1D815EF6D1,255.983616,['V_9A1D815EF6D1'],256.0,0.255983616,Answer: ,65.536,Query key: K_3B8F37F8A88B,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,6B658B8148F6,255.983616,['V_B74D32E70629'],256.0,0.255983616,Answer: ,65.536,Query key: K_8FAD06CB0FB3,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,6B658B8148F6,255.983616,['V_6B658B8148F6'],256.0,0.255983616,Answer: ,65.536,Query key: K_B38AA65ED389,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,473796DA1DAC,255.983616,['V_473796DA1DAC'],256.0,0.255983616,Answer: ,65.536,Query key: K_72FF386ECBE0,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,17FC07A0CA6E,255.983616,['V_C24101A9E71F'],256.0,0.255983616,Answer: ,65.536,Query key: K_DE8ACF36D58B,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,6C30B2B9437A,255.983616,['V_6C30B2B9437A'],256.0,0.255983616,Answer: ,65.536,Query key: K_28DFCE4A2BBD,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,287D6F4CC69A,255.983616,['V_371E27CD8130'],256.0,0.255983616,Answer: ,65.536,Query key: K_4722571AA876,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
2170.355712,0.8820545339251744,3906.0,1A2A562B0F79,255.983616,['V_1A2A562B0F79'],256.0,0.255983616,Answer: ,65.536,Query key: K_C374F50BEA63,32,33117.0,31945,2.170355712,3906.0,context_0000,MB,synthetic_kv_32k
