uncompressed_kv_memory_gb,retained_context_tokens,answers,retained_kv_memory_mb,predicted_answer,context_tokens,question,task,compression_ratio,memory_budget,kv_memory_per_token_kb,uncompressed_kv_memory_mb,memory_budget_unit,max_new_tokens,split,answer_prefix,token_budget,retained_kv_memory_gb
2.937716736,3906.0,['Tyrion Lannister'],255.983616,"1. The provided documents do not contain information about the name of the dwarf in the TV show *Game of Thrones*. The documents only discuss the *Game of Thrones* universe in the context of the *Game of Thrones* TV show, but do not mention the specific character name ""Tyrion Lannister"" or any other dwarf character.

(Note: The character is Tyrion Lannister, but this information is not present in the provided text snippets.)",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what's the dwarf's name in game of thrones
",nq_32k,0.9128630705394191,256.0,65.536,2937.716736,MB,256,dev,Final Answer: ,3906.0,0.255983616
2.937716736,3906.0,['Judith Cynthia Aline Keppel'],255.983616,"1. The first winner of ""Who Wants to Be a millionaire?"" in the UK was **Catherine Tebby** (also known as **Catherine Tebby** or **Catherine Tebby**), who won on **14 August 1998**. However, the most famous and widely recognized first winner is **Catherine Tebby** (or **Catherine Tebby**), who won the top prize of £1 million.

Wait, let me correct that. The first person to win the top prize of £1 million on the UK version of ""Who Wants to Be a Millionaire?"" was **Catherine Tebby** (or **Catherine Tebby**), but the actual first winner to reach the final question and win the million was **Catherine Tebby** (or **Catherine Tebby**).

Actually, the correct answer is: The first person to win the top prize of £1 million on the UK version of ""Who Wants to Be a Millionaire?"" was **Catherine Tebby** (or **Catherine Tebby**), but the actual first winner to reach the final question and win the million was **Catherine Tebby** (or **Catherine Te",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first who wants to be a millionaire winner uk
",nq_32k,0.9128630705394191,256.0,65.536,2937.716736,MB,256,dev,Final Answer: ,3906.0,0.255983616
2.937716736,3906.0,['Crick' 'Watson'],255.983616,"1. The provided documents do not contain information regarding who proposed the first accurate model of DNA. The documents only cover the history of the Dewey Decimal Classification system, the sinking of the Titanic, and the history of the atomic bomb.",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who proposed the first accurate model of dna
",nq_32k,0.9128630705394191,256.0,65.536,2937.716736,MB,256,dev,Final Answer: ,3906.0,0.255983616
2.937716736,3906.0,['Jason Paige'],255.983616,"1. The provided documents do not contain information about who sings the Pokémon theme song for season 1. The only relevant document mentions the Pokémon theme song in the context of a ""Pokémon theme song"" being sung by ""Justin Bieber"" in a fictional scenario, but this is not the actual singer of the season 1 theme song.",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sings the pokemon theme song season 1
",nq_32k,0.9128630705394191,256.0,65.536,2937.716736,MB,256,dev,Final Answer: ,3906.0,0.255983616
2.937716736,3906.0,['Mary Elizabeth Patterson'],255.983616,"1. The provided documents do not contain information about who played Mrs. Trumbull on *I Love Lucy*. The only relevant document mentions the character ""Mrs. Trumbull"" in the context of the show *I Love Lucy* (Document ID: 101), but it does not name the actress who played her.

(Note: In reality, the character Mrs. Trumbull was played by **Marion Lorne**, but this information is not present in the provided text snippets.)",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played mrs. trumbull on i love lucy
",nq_32k,0.9128630705394191,256.0,65.536,2937.716736,MB,256,dev,Final Answer: ,3906.0,0.255983616
2.937716736,3906.0,['AD 95–110' 'probably written in Ephesus'],255.983616,1. The provided documents do not contain information regarding when the first epistle of John was written.,44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the first epistle of john written
",nq_32k,0.9128630705394191,256.0,65.536,2937.716736,MB,256,dev,Final Answer: ,3906.0,0.255983616
2.937716736,3906.0,['Wisconsin'],255.983616,"1. The provided documents do not contain information about Colby cheese or the town it is named after. Therefore, the query cannot be answered based on the given text.",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: colby chees is named after a town in what state
",nq_32k,0.9128630705394191,256.0,65.536,2937.716736,MB,256,dev,Final Answer: ,3906.0,0.255983616
2.937716736,3906.0,['Dragon Ball GT'],255.983616,"1. The provided documents do not contain information about when Goku first went Super Saiyan 4. The text only mentions ""Goku"" in the context of a query about ""Super Saiyan 4"" in the final prompt, but the preceding documents (which discuss the Dewey Decimal System, the Titanic, and a query about ""Goku"" in a different context) do not provide the answer to this specific question.",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did goku first go super saiyan 4
",nq_32k,0.9128630705394191,256.0,65.536,2937.716736,MB,256,dev,Final Answer: ,3906.0,0.255983616
2.937716736,3906.0,['Richard Stallman'],255.983616,"1. The provided documents do not contain information regarding who is given credit for the GNU initiative. The text only mentions the ""Gnu"" in the context of the ""Gnu"" (GNU) in the query, but the documents provided discuss the ""GNU"" (GNU) in the context of the ""GNU"" (GNU) in the query, but the documents provided discuss the ""GNU"" (GNU) in the context of the ""GNU"" (GNU) in the query, but the documents provided discuss the ""GNU"" (GNU) in the context of the ""GNU"" (GNU) in the query, but the documents provided discuss the ""GNU"" (GNU) in the context of the ""GNU"" (GNU) in the query, but the documents provided discuss the ""GNU"" (GNU) in the context of the ""GNU"" (GNU) in the query, but the documents provided discuss the ""GNU"" (GNU) in the context of the ""GNU"" (GNU) in the query, but the documents provided discuss the ""GNU"" (GNU) in the context of the ""GNU"" (GNU) in the query, but the documents provided discuss the ""GNU"" (GNU) in the context of the ""GNU"" (GNU)",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is given credit for the gnu initiative
",nq_32k,0.9128630705394191,256.0,65.536,2937.716736,MB,256,dev,Final Answer: ,3906.0,0.255983616
2.937716736,3906.0,['Idaho'],255.983616, ['The provided documents do not contain information about the western boundary of Montana or US states.'],44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what us state forms the western boundary of montana
",nq_32k,0.9128630705394191,256.0,65.536,2937.716736,MB,256,dev,Final Answer: ,3906.0,0.255983616
