uncompressed_kv_memory_gb,question,predicted_answer,memory_budget_unit,retained_context_tokens,task,uncompressed_kv_memory_mb,kv_memory_per_token_kb,context_length,retained_kv_memory_mb,context_tokens,answer,compression_ratio,memory_budget,token_budget,max_new_tokens,retained_kv_memory_gb,answer_prefix
2.778988544,What is the special magic uuid for 1aa4fb78-aecd-4cff-9e34-12aac45dab85 mentioned in the provided text? ," **1aa4fb78-aecd-4cff-9e34-12aac45dab85**.

It appears in the text as part of a list of UUIDs, specifically in the line: ""1aa4fb78-aecd-4cff-9e34-12aac45dab85"".",GB,3051.0,niah_multikey_3,2778.988544,65.536,32768,199.950336,42404.0,['0024da9c-6399-4571-bf50-62f31677a532'],0.9280492406376757,0.2,3051.0,128,0.199950336,The special magic uuid for 1aa4fb78-aecd-4cff-9e34-12aac45dab85 mentioned in the provided text is
2.781937664,What is the special magic uuid for cea97194-cbd6-4e75-bf45-4da8414ecf02 mentioned in the provided text? ," **cea97194-cbd6-4e75-bf45-4da8414ecf02**.

It appears in the text as part of the sentence: ""What is the special magic uuid for cea97194-cbd6-4e75-bf45-4da8414ecf02 mentioned in the provided text?""",GB,3051.0,niah_multikey_3,2781.937664,65.536,32768,199.950336,42449.0,['e05e8dcd-0ae1-4add-96ff-6a056835b9c6'],0.9281255153242715,0.2,3051.0,128,0.199950336,The special magic uuid for cea97194-cbd6-4e75-bf45-4da8414ecf02 mentioned in the provided text is
2.779119616,What is the special magic uuid for 7f7fcbe8-db4c-4d45-81e6-478a3e81d07d mentioned in the provided text? ," **7f7fcbe8-db4c-4d45-81e6-478a3e81d07d**.

The text lists this specific UUID as the final entry in the sequence.",GB,3051.0,niah_multikey_3,2779.119616,65.536,32768,199.950336,42406.0,['120129ac-37ab-4b4f-9116-0c97e42242a7'],0.9280526340612177,0.2,3051.0,128,0.199950336,The special magic uuid for 7f7fcbe8-db4c-4d45-81e6-478a3e81d07d mentioned in the provided text is
2.783510528,What is the special magic uuid for f0fbf9d5-1507-493e-b6e9-62b392027568 mentioned in the provided text? ," **f0fbf9d5-1507-493e-b6e9-62b392027568**.

The text lists this UUID as one of the entries, and the question asks for the UUID associated with itself.",GB,3051.0,niah_multikey_3,2783.510528,65.536,32768,199.950336,42473.0,['6a33a75b-24bc-4ed7-886a-126820ffc695'],0.9281661290702329,0.2,3051.0,128,0.199950336,The special magic uuid for f0fbf9d5-1507-493e-b6e9-62b392027568 mentioned in the provided text is
2.779643904,What is the special magic uuid for f2816bb9-449d-445a-a2d1-5afcd754c81f mentioned in the provided text? ," **f2816bb9-449d-445a-a2d1-5afcd754c81f**.

The text lists this UUID as the final entry in a sequence of identifiers.",GB,3051.0,niah_multikey_3,2779.643904,65.536,32768,199.950336,42414.0,['adad84f5-bfc9-4c9a-aa4a-78e3b9dc97f6'],0.9280662045550997,0.2,3051.0,128,0.199950336,The special magic uuid for f2816bb9-449d-445a-a2d1-5afcd754c81f mentioned in the provided text is
2.777546752,What is the special magic uuid for d7e56b59-7163-4a74-a54a-6ff45e8f972e mentioned in the provided text? ," **d7e56b59-7163-4a74-a54a-6ff45e8f972e**.

The text lists this UUID as the final entry in the sequence, implying it is its own identifier or the value associated with that specific key in the context of the list provided.",GB,3051.0,niah_multikey_3,2777.546752,65.536,32768,199.950336,42382.0,['1774f846-e012-403b-b453-06bc39a9db7e'],0.9280118918408758,0.2,3051.0,128,0.199950336,The special magic uuid for d7e56b59-7163-4a74-a54a-6ff45e8f972e mentioned in the provided text is
2.778595328,What is the special magic uuid for 43b46106-f69a-48c3-aada-abb937ebb070 mentioned in the provided text? ," **43b46106-f69a-48c3-aada-abb937ebb070**.

The text lists this specific UUID as the final entry in the sequence.",GB,3051.0,niah_multikey_3,2778.595328,65.536,32768,199.950336,42398.0,['c18c3b37-7d30-45e4-ba75-ede5f2a1101b'],0.9280390584461531,0.2,3051.0,128,0.199950336,The special magic uuid for 43b46106-f69a-48c3-aada-abb937ebb070 mentioned in the provided text is
2.783838208,What is the special magic uuid for 7260291c-85b4-4734-b736-c7e2350c8f08 mentioned in the provided text? ," **7260291c-85b4-4734-b736-c7e2350c8f08**.

The text lists this UUID as one of the entries, and the question asks for the ""special magic uuid"" associated with it, which in this context is the UUID itself.",GB,3051.0,niah_multikey_3,2783.838208,65.536,32768,199.950336,42478.0,['951f697e-f17a-41a0-a4d8-c429822ab84d'],0.9281745844907953,0.2,3051.0,128,0.199950336,The special magic uuid for 7260291c-85b4-4734-b736-c7e2350c8f08 mentioned in the provided text is
2.782068736,What is the special magic uuid for 8a165f29-ec4c-4297-a5e7-3f5b0858d8f4 mentioned in the provided text? ," **8a165f29-ec4c-4297-a5e7-3f5b0858d8f4**.

The text lists this UUID as one of the entries, but it does not assign a separate ""special magic"" value or name to it; the UUID itself is the identifier provided.",GB,3051.0,niah_multikey_3,2782.068736,65.536,32768,199.950336,42451.0,['a51ca362-f253-4ad3-91d2-152922091ae2'],0.9281289015570894,0.2,3051.0,128,0.199950336,The special magic uuid for 8a165f29-ec4c-4297-a5e7-3f5b0858d8f4 mentioned in the provided text is
2.785804288,What is the special magic uuid for 7ab4ab80-4b0c-4c1a-8438-a400ca093398 mentioned in the provided text? ," **7ab4ab80-4b0c-4c1a-8438-a400ca093398**.

The text lists this exact string as the final entry:
> ""7ab4ab80-4b0c-4c1a-8438-a400ca093398""",GB,3051.0,niah_multikey_3,2785.804288,65.536,32768,199.950336,42508.0,['3a7d2d30-1405-4e55-bdf0-fbd1e274359a'],0.9282252752423074,0.2,3051.0,128,0.199950336,The special magic uuid for 7ab4ab80-4b0c-4c1a-8438-a400ca093398 mentioned in the provided text is
