retained_kv_memory_mb,answer_prefix,uncompressed_kv_memory_mb,max_new_tokens,retained_kv_memory_gb,question,predicted_answer,uncompressed_kv_memory_gb,memory_budget_unit,memory_budget,compression_ratio,retained_context_tokens,context_id,kv_memory_per_token_kb,answer,context_length,context_tokens,task,token_budget
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 1C80A3B1799D? Return only the value.,BDD606671AD1,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['BDD606671AD1'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 3EB146685257? Return only the value.,23B8392456DE,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['23B8392456DE'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 1A3DBC8960A9? Return only the value.,BD9CAD3C2D6D,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['BD9CAD3C2D6D'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 8B9DE465E150? Return only the value.,972A16419F82,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['972A16419F82'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 08226C031199? Return only the value.,CA9313748146,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['17FC07A0CA6E'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 3B8F37F8A88B? Return only the value.,5F98A65D9C8E,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['9A1D815EF6D1'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 8FAD06CB0FB3? Return only the value.,3D44855B6C5B,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['B74D32E70629'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key B38AA65ED389? Return only the value.,6B658B8148F6,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['6B658B8148F6'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 72FF386ECBE0? Return only the value.,C2BA2179E34D,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['473796DA1DAC'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key DE8ACF36D58B? Return only the value.,5DA8F8B38A8B,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['C24101A9E71F'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 28DFCE4A2BBD? Return only the value.,CA8545555555,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['6C30B2B9437A'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 4722571AA876? Return only the value.,371E27CD8130,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['371E27CD8130'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key C374F50BEA63? Return only the value.,57156CD66193,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['1A2A562B0F79'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 614217BE3111? Return only the value.,BDB02451E5A4,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['5BE618C26797'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 580DD8F56413? Return only the value.,5715389DCA03,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['43B79A8DCA03'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 0B1FCE9FF57F? Return only the value.,5F98A6574F06,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['759CBACFB3D0'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 1FF489463E85? Return only the value.,759CBACFB3D0,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['EC1BF91E1D4C'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 142C60E7A113? Return only the value.,4B0D8D5288F1,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['4B0D8D5288F1'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key A0EED453DD32? Return only the value.,A79B3D4A548A,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['E2AC9E574F7A'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 5C94DC98D2C1? Return only the value.,37BB4BF50B52,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['313993CD59BF'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 11CEB45ED1F0? Return only the value.,A4880BBB2599,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['A9480BBB2599'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key C5E73A578A8E? Return only the value.,988C61B1CD22,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['FC374A15544D'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key DAF6146D3F31? Return only the value.,580D848C4C2A,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['DDD13B982EF8'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 614F19DB3AD0? Return only the value.,5893D48C3C3D,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['741247294739'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key D588A2BC372F? Return only the value.,509426A5BD41,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['29A35D65A441'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 5AF35EC42E08? Return only the value.,5F98A65A8446,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['AB9035A240AE'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key B3AA4458A885? Return only the value.,55ABA5B5CDC2,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['AEFCEFC89849'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 1247A5E5A5AB? Return only the value.,A28D9BF00273,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['A28D9BF00273'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 88BD2BCFBE01? Return only the value.,5C9D885A5C3C,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['3EABBAA80DD4'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 765629D4BEEF? Return only the value.,9887C5D7C3D9,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['451B6123FDF7'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key ECE6FD5166E6? Return only the value.,The value associated with the key [ECE6FD5166E6] is [43B79A8DCA03].,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['B02BA3D70628'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 38388E944239? Return only the value.,3C07492C352A,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['5304AF42E12F'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key C4B0D7C524A5? Return only the value.,C3A023215A89,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['0E51C6A7EE39'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key D2613AA2E4F9? Return only the value.,548E69C6A1BD,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['CE170837B8A3'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 66B250C187FC? Return only the value.,98EEFE9FECAA,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['10F1448AAA9E'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key E9C33602F8AC? Return only the value.,309426A524E3,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['9132F16287E4'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key B7C9E059A0EE? Return only the value.,5F98A65E688E,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['366E508EBAD7'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 7FCDA7CAD415? Return only the value.,5C44AB4220A7,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['E27A654821D0'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key A491EA1FCA65? Return only the value.,750D8164CEEC,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['2493757750A9'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 23BE43CF2FDE? Return only the value.,7E57827A0E8D,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['BEB73F22FAF8'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 89FA8FB5D27B? Return only the value.,5417CAAA5BBE,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['BF3C434308BC'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 6DAD95A76D79? Return only the value.,5F98D4C3458A,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['9562E5D7B875'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 5CAB663F1C97? Return only the value.,5CAB663F1C97: 4C854458888A,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['FF50382567B8'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 2369FF5E9FF0? Return only the value.,5048BF7B539B,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['7E57827050A8'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key C17A1745D6D8? Return only the value.,C4124585858A,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['DC710C0FD195'],62995,58477.0,synthetic_kv_64k,13888.0
2047.868928,,8622.784512,32,2.047868928,What is the value associated with key 27201C11F735? Return only the value.,5417CAAA5BBE,8.622784512,MB,2048.0,0.7625049164628829,13888.0,context_0000,147.456,['28F4A0A04DC4'],62995,58477.0,synthetic_kv_64k,13888.0
