uncompressed_kv_memory_gb,predicted_answer,retained_context_tokens,compression_ratio,question,context_tokens,kv_memory_per_token_kb,context_id,answer_prefix,task,max_new_tokens,context_length,retained_kv_memory_mb,uncompressed_kv_memory_mb,retained_kv_memory_gb,answer
4.280025088, V_BDD606671AD1,65308.0,0.0,Query key: K_1C80A3B1799D,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_BDD606671AD1']
4.280025088, V_23B8392456DE,65308.0,0.0,Query key: K_3EB146685257,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_23B8392456DE']
4.280025088, V_BD9CAD3C2D6D,65308.0,0.0,Query key: K_1A3DBC8960A9,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_BD9CAD3C2D6D']
4.280025088, V_972A16419F82,65308.0,0.0,Query key: K_8B9DE465E150,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_972A16419F82']
4.280025088, V_17FC07A0CA6E,65308.0,0.0,Query key: K_08226C031199,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_17FC07A0CA6E']
4.280025088, V_9A1D815EF6D1,65308.0,0.0,Query key: K_3B8F37F8A88B,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_9A1D815EF6D1']
4.280025088, V_B74D32E70629,65308.0,0.0,Query key: K_8FAD06CB0FB3,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_B74D32E70629']
4.280025088, V_6B658B8148F6,65308.0,0.0,Query key: K_B38AA65ED389,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_6B658B8148F6']
4.280025088,473796DA1DAC,65308.0,0.0,Query key: K_72FF386ECBE0,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_473796DA1DAC']
4.280025088, V_C24101A9E71F,65308.0,0.0,Query key: K_DE8ACF36D58B,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_C24101A9E71F']
4.280025088,6C30B2B9437A,65308.0,0.0,Query key: K_28DFCE4A2BBD,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_6C30B2B9437A']
4.280025088, V_371E27CD8130,65308.0,0.0,Query key: K_4722571AA876,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_371E27CD8130']
4.280025088,1A2A562B0F79,65308.0,0.0,Query key: K_C374F50BEA63,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_1A2A562B0F79']
4.280025088, V_5BE618C26797,65308.0,0.0,Query key: K_614217BE3111,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_5BE618C26797']
4.280025088, V_43B79A8DCA03,65308.0,0.0,Query key: K_580DD8F56413,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_43B79A8DCA03']
4.280025088, V_759CBACFB3D0,65308.0,0.0,Query key: K_0B1FCE9FF57F,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_759CBACFB3D0']
4.280025088, V_EC1BF91E1D4C,65308.0,0.0,Query key: K_1FF489463E85,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_EC1BF91E1D4C']
4.280025088, V_4B0D8D5288F1,65308.0,0.0,Query key: K_142C60E7A113,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_4B0D8D5288F1']
4.280025088, V_E2AC9E574F7A,65308.0,0.0,Query key: K_A0EED453DD32,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_E2AC9E574F7A']
4.280025088, V_313993CD59BF,65308.0,0.0,Query key: K_5C94DC98D2C1,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_313993CD59BF']
4.280025088, V_A9480BBB2599,65308.0,0.0,Query key: K_11CEB45ED1F0,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_A9480BBB2599']
4.280025088, V_FC374A15544D,65308.0,0.0,Query key: K_C5E73A578A8E,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_FC374A15544D']
4.280025088, V_DDD13B982EF8,65308.0,0.0,Query key: K_DAF6146D3F31,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_DDD13B982EF8']
4.280025088,741247294739,65308.0,0.0,Query key: K_614F19DB3AD0,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_741247294739']
4.280025088,29A35D65A441,65308.0,0.0,Query key: K_D588A2BC372F,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_29A35D65A441']
4.280025088, V_AB9035A240AE,65308.0,0.0,Query key: K_5AF35EC42E08,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_AB9035A240AE']
4.280025088, V_AEFCEFC89849,65308.0,0.0,Query key: K_B3AA4458A885,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_AEFCEFC89849']
4.280025088, V_A28D9BF00273,65308.0,0.0,Query key: K_1247A5E5A5AB,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_A28D9BF00273']
4.280025088,3EABBAA80DD4,65308.0,0.0,Query key: K_88BD2BCFBE01,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_3EABBAA80DD4']
4.280025088,451B6123FDF7,65308.0,0.0,Query key: K_765629D4BEEF,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_451B6123FDF7']
4.280025088, V_B02BA3D70628,65308.0,0.0,Query key: K_ECE6FD5166E6,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_B02BA3D70628']
4.280025088,5304AF42E12F,65308.0,0.0,Query key: K_38388E944239,65308.0,65.536,context_0000,Answer: ,synthetic_kv_64k,32,62995,4280.025088,4280.025088,4.280025088,['V_5304AF42E12F']
