context_length,uncompressed_kv_memory_mb,compression_ratio,answer,retained_context_tokens,predicted_answer,kv_memory_per_token_kb,context_tokens,memory_budget,memory_budget_unit,retained_kv_memory_mb,token_budget,max_new_tokens,answer_prefix,retained_kv_memory_gb,uncompressed_kv_memory_gb,question,task
32768,2120.155136,0.622670087477976,['7381734' '9002392' '1098919' '6901533'],12207.0,":

1.  **1098919**
2.  **9002392**
3.  **6901533**
4.  **7381734**",65.536,32351.0,0.8,GB,799.997952,12207.0,128,The special magic numbers for small-penicillin mentioned in the provided text are,0.799997952,2.120155136,What are all the special magic numbers for small-penicillin mentioned in the provided text? ,niah_multivalue
32768,2120.155136,0.622670087477976,['4681284' '5579094' '8312114' '9147720'],12207.0,":

1.  **8312114**
2.  **5579094**
3.  **9147720**
4.  **4681284**",65.536,32351.0,0.8,GB,799.997952,12207.0,128,The special magic numbers for political-maestro mentioned in the provided text are,0.799997952,2.120155136,What are all the special magic numbers for political-maestro mentioned in the provided text? ,niah_multivalue
32768,2120.155136,0.622670087477976,['3141239' '9961107' '1452421' '7610562'],12207.0,":

1.  **1452421**
2.  **9961107**
3.  **7610562**
4.  **3141239**",65.536,32351.0,0.8,GB,799.997952,12207.0,128,The special magic numbers for painful-sausage mentioned in the provided text are,0.799997952,2.120155136,What are all the special magic numbers for painful-sausage mentioned in the provided text? ,niah_multivalue
32768,2120.155136,0.622670087477976,['8746014' '4048907' '1843636' '5364698'],12207.0,":

1.  **1843636**
2.  **4048907**
3.  **5364698**
4.  **8746014**",65.536,32351.0,0.8,GB,799.997952,12207.0,128,The special magic numbers for damaging-retrospective mentioned in the provided text are,0.799997952,2.120155136,What are all the special magic numbers for damaging-retrospective mentioned in the provided text? ,niah_multivalue
32768,2119.892992,0.6226234272111788,['7360682' '5668371' '8072684' '5232413'],12207.0,":

1.  **8072684**
2.  **5668371**
3.  **5232413**
4.  **7360682**",65.536,32347.0,0.8,GB,799.997952,12207.0,128,The special magic numbers for internal-coordination mentioned in the provided text are,0.799997952,2.119892992,What are all the special magic numbers for internal-coordination mentioned in the provided text? ,niah_multivalue
32768,2120.41728,0.6227167362076959,['4761823' '2151225' '1675419' '1520596'],12207.0,":

1.  **1675419**
2.  **2151225**
3.  **1520596**
4.  **4761823**",65.536,32355.0,0.8,GB,799.997952,12207.0,128,The special magic numbers for jumpy-off-ramp mentioned in the provided text are,0.799997952,2.12041728,What are all the special magic numbers for jumpy-off-ramp mentioned in the provided text? ,niah_multivalue
32768,2120.155136,0.622670087477976,['3117636' '8945036' '2919136' '4656838'],12207.0,":

1.  **2919136**
2.  **8945036**
3.  **4656838**
4.  **3117636**",65.536,32351.0,0.8,GB,799.997952,12207.0,128,The special magic numbers for foregoing-syndicate mentioned in the provided text are,0.799997952,2.120155136,What are all the special magic numbers for foregoing-syndicate mentioned in the provided text? ,niah_multivalue
32768,2120.155136,0.622670087477976,['6218367' '2813596' '1430812' '6233774'],12207.0,":

1.  **1430812**
2.  **2813596**
3.  **6233774**
4.  **6218367**",65.536,32351.0,0.8,GB,799.997952,12207.0,128,The special magic numbers for disgusted-hunchback mentioned in the provided text are,0.799997952,2.120155136,What are all the special magic numbers for disgusted-hunchback mentioned in the provided text? ,niah_multivalue
32768,2120.155136,0.622670087477976,['5074336' '2709620' '6059717' '3030966'],12207.0,":

1.  **6059717** (Found in the section discussing Internet addiction and procrastination)
2.  **2709620** (Found in the section discussing working for oneself vs. big companies)
3.  **3030966** (Found in the section discussing the acceleration of change and ideas)
4.  **5074336** (Found in the section discussing visas for startup founders)",65.536,32351.0,0.8,GB,799.997952,12207.0,128,The special magic numbers for splendid-trombone mentioned in the provided text are,0.799997952,2.120155136,What are all the special magic numbers for splendid-trombone mentioned in the provided text? ,niah_multivalue
32768,2120.41728,0.6227167362076959,['7217147' '2156902' '9488613' '6724909'],12207.0,":

1.  **9488613**
2.  **2156902**
3.  **6724909**
4.  **7217147**",65.536,32355.0,0.8,GB,799.997952,12207.0,128,The special magic numbers for typical-revitalisation mentioned in the provided text are,0.799997952,2.12041728,What are all the special magic numbers for typical-revitalisation mentioned in the provided text? ,niah_multivalue
