max_new_tokens,retained_context_tokens,task,answers,retained_kv_memory_mb,retained_kv_memory_gb,answer_prefix,split,memory_budget_unit,compression_ratio,memory_budget,uncompressed_kv_memory_mb,kv_memory_per_token_kb,question,uncompressed_kv_memory_gb,context_tokens,token_budget,predicted_answer
256,3472.0,musique_32k,['22'],511.967232,0.511967232,Final Answer: ,dev,MB,0.9276199211991077,512.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How many times did plague occur in the birth city of the composer of Nulla in mundo pax sincera?
",7.073316864,47969.0,3472.0," ['The 1923–24 PCHA season', 'The 1923–24 PCHA season']"
256,3472.0,musique_32k,"['Sea, Air, and Land']",511.967232,0.511967232,Final Answer: ,dev,MB,0.9276199211991077,512.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does seal stand for in the U.S. military branch that operates a list of destroyer classes and the USS Stag?
",7.073316864,47969.0,3472.0," ['USS Stag (DD-235/APD-18)', 'USS Stag (DD-235)']"
256,3472.0,musique_32k,['January 2015'],511.967232,0.511967232,Final Answer: ,dev,MB,0.9276199211991077,512.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the political party Alaska generally supports take control of the determiner of rules of the US House and US Senate?
",7.073316864,47969.0,3472.0," ['The Alaska political party generally supported by the state did not directly take control of the determiner of rules of the US House and US Senate. The document mentions that the US House and Senate have procedures for determining rules, but it does not specify when or how Alaska's political party influenced these procedures. The closest related information is about the US House and Senate's power to establish rules, but no specific date or event is provided in the documents for Alaska's involvement in this process.']

The documents do"
256,3472.0,musique_32k,['Mario Andretti'],511.967232,0.511967232,Final Answer: ,dev,MB,0.9276199211991077,512.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who won the 1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county?
",7.073316864,47969.0,3472.0," ['Nashville, Tennessee']"
256,3472.0,musique_32k,['Green Bay'],511.967232,0.511967232,Final Answer: ,dev,MB,0.9276199211991077,512.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?
",7.073316864,47969.0,3472.0," ['KRSU (FM)']
ID: 16
The capital of the county that shares a border with the county where KRSU is licensed to broadcast is not directly mentioned in the provided documents. However, the documents indicate that KRSU is licensed to Appleton, Minnesota. The county where Appleton is located is Polk County, and the capital of Polk County is also Appleton. The county that shares a border with Polk County is Brown County, and the"
256,3472.0,musique_32k,['Milwaukee Deep'],511.967232,0.511967232,Final Answer: ,dev,MB,0.9276199211991077,512.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?
",7.073316864,47969.0,3472.0," ['The Mississippi River', 'Winchester, Illinois']"
256,3472.0,musique_32k,['Medical University of Warsaw'],511.967232,0.511967232,Final Answer: ,dev,MB,0.9276199211991077,512.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the largest medical school in the nation where, along with the country of citizenship of the mother of Marie Antoinette, many expelled French Jews relocated?
",7.073316864,47969.0,3472.0," ['The Largest Medical School in the Nation', 'The Mother of Marie Antoinette', 'The Largest Medical School in the Nation', 'The Mother of Marie Antoinette']"
256,3472.0,musique_32k,['Saxony-Anhalt'],511.967232,0.511967232,Final Answer: ,dev,MB,0.9276199211991077,512.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what region of Germany is the district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra?
",7.073316864,47969.0,3472.0," ['The district of the German region where the sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra is in the Saxony-Anhalt region.']
The TITLE and ID of the documents used to answer are:
TITLE: The Tattooed Stranger | ID: 330"
256,3472.0,musique_32k,['the Ministry of Education'],511.967232,0.511967232,Final Answer: ,dev,MB,0.9276199211991077,512.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who runs the school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?
",7.073316864,47969.0,3472.0," ['The United States Department of Health and Human Services', 'The 1973 oil crisis', 'The 2014 United States Senate elections', 'The 2014 United States Senate elections', 'The 2014 United States Senate elections', 'The 2014 United States Senate elections', 'The 2014 United States Senate elections', 'The 2014 United States Senate elections', 'The 2014"
256,3472.0,musique_32k,['University of South Carolina'],511.967232,0.511967232,Final Answer: ,dev,MB,0.9276199211991077,512.0,7073.316864,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?
",7.073316864,47969.0,3472.0, ['University of the state having Fort Hill']
