retained_context_tokens,memory_budget,split,answer_prefix,predicted_answer,token_budget,answers,memory_budget_unit,retained_kv_memory_mb,context_tokens,kv_memory_per_token_kb,question,uncompressed_kv_memory_mb,retained_kv_memory_gb,task,compression_ratio,max_new_tokens,uncompressed_kv_memory_gb
27126.0,4.0,dev,Final Answer: , [],27126.0,"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",GB,3999.891456,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
",17723.031552,3.999891456,qampari_128k,0.7743111022364217,256,17.723031552
27126.0,4.0,dev,Final Answer: ," ['Mukhamukham', 'Mathilukal', 'Kodiyettam', 'Oru Pennum Randaanum', 'Aakraman']",27126.0,"['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",GB,3999.891456,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
",17723.031552,3.999891456,qampari_128k,0.7743111022364217,256,17.723031552
27126.0,4.0,dev,Final Answer: ," ['Werrington, Cornwall']",27126.0,"['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",GB,3999.891456,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
",17723.031552,3.999891456,qampari_128k,0.7743111022364217,256,17.723031552
27126.0,4.0,dev,Final Answer: ," ['Rover (privateering ship)', 'Agnes (1849)']",27126.0,['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],GB,3999.891456,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
",17723.031552,3.999891456,qampari_128k,0.7743111022364217,256,17.723031552
27126.0,4.0,dev,Final Answer: ," ['Allein zu dir, Herr Jesu Christ, BWV 33', 'O Ewigkeit, du Donnerwort, BWV 20', 'Wachet auf, ruft uns die Stimme, BWV 140', 'Ode to Joy, BWV 208']",27126.0,"['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",GB,3999.891456,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
",17723.031552,3.999891456,qampari_128k,0.7743111022364217,256,17.723031552
27126.0,4.0,dev,Final Answer: ," ['Alternate Empires', 'Alternate Heroes', 'Alternate Wars', 'Sleep No More']",27126.0,"['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",GB,3999.891456,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
",17723.031552,3.999891456,qampari_128k,0.7743111022364217,256,17.723031552
27126.0,4.0,dev,Final Answer: ," ['Dewon Brazelton', 'Shea Langeliers', 'Jeffrey Kunkel', 'Dustin Lynch', 'Reilly Opelka']",27126.0,"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",GB,3999.891456,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
",17723.031552,3.999891456,qampari_128k,0.7743111022364217,256,17.723031552
27126.0,4.0,dev,Final Answer: ," ['Myint Swe', 'Aung San Suu Kyi', 'Thein Sein', 'Maung Maung Ohn', 'Ming Maung', 'Gulzar Uddin Ahmed', 'Shwe Thaung', 'Ming Maung', 'Aung San Suu Kyi', 'Myint Swe', 'Aung San Suu Kyi', 'Thein Sein', 'Maung Maung Ohn', 'Gulzar Uddin Ahmed']",27126.0,['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],GB,3999.891456,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
",17723.031552,3.999891456,qampari_128k,0.7743111022364217,256,17.723031552
27126.0,4.0,dev,Final Answer: ," ['Dr. A.O. Thomas House', 'Chadron Public Library', 'Franklin County Courthouse (Nebraska)', 'Old City Hall (Guelph)']",27126.0,"['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",GB,3999.891456,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
",17723.031552,3.999891456,qampari_128k,0.7743111022364217,256,17.723031552
27126.0,4.0,dev,Final Answer: ," ['Voyage of the Damned', 'The Doctor (Doctor Who)', 'Time Crash', 'The Secret History of Vampires']",27126.0,"['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",GB,3999.891456,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
",17723.031552,3.999891456,qampari_128k,0.7743111022364217,256,17.723031552
