token_budget,context_length,answer,retained_kv_memory_mb,task,question,retained_kv_memory_gb,answer_prefix,max_new_tokens,kv_memory_per_token_kb,compression_ratio,retained_context_tokens,memory_budget_unit,uncompressed_kv_memory_gb,predicted_answer,memory_budget,uncompressed_kv_memory_mb,context_tokens
9155.0,32768,['France' 'France' 'France' 'France'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: In what country is Normandy located? ",0.59998208,Answer:,32,65.536,0.7076200817577926,9155.0,GB,2.052063232, France,0.6,2052.063232,31312.0
9155.0,32768,"['10th and 11th centuries' 'in the 10th and 11th centuries'
 '10th and 11th centuries' '10th and 11th centuries']",599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When were the Normans in Normandy? ",0.59998208,Answer:,32,65.536,0.7294621749408983,9155.0,GB,2.21773824, 10th and 11th centuries,0.6,2217.73824,33840.0
9155.0,32768,"['Denmark, Iceland and Norway' 'Denmark, Iceland and Norway'
 'Denmark, Iceland and Norway' 'Denmark, Iceland and Norway']",599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: From which countries did the Norse originate? ",0.59998208,Answer:,32,65.536,0.7211561890838207,9155.0,GB,2.151677952," Denmark, Iceland and Norway",0.6,2151.677952,32832.0
9155.0,32768,['Rollo' 'Rollo' 'Rollo' 'Rollo'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the Norse leader? ",0.59998208,Answer:,32,65.536,0.7276351411656204,9155.0,GB,2.202861568, Rollo,0.6,2202.861568,33613.0
9155.0,32768,['10th century' 'the first half of the 10th century' '10th' '10th'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What century did the Normans first gain their separate identity? ",0.59998208,Answer:,32,65.536,0.727050475537402,9155.0,GB,2.198142976, 10th century,0.6,2198.142976,33541.0
9155.0,32768,['William the Conqueror' 'William the Conqueror' 'William the Conqueror'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the duke in the battle of Hastings? ",0.59998208,Answer:,32,65.536,0.7139688193207736,9155.0,GB,2.097610752, William II of Normandy,0.6,2097.610752,32007.0
9155.0,32768,['Richard I' 'Richard I' 'Richard I'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who ruled the duchy of Normandy ",0.59998208,Answer:,32,65.536,0.7207138499084809,9155.0,GB,2.14827008, Rollo,0.6,2148.27008,32780.0
9155.0,32768,['Catholic' 'Catholic orthodoxy' 'Catholic'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What religion were the Normans ",0.59998208,Answer:,32,65.536,0.730735294117647,9155.0,GB,2.228224, Catholicism,0.6,2228.224,34000.0
9155.0,32768,"['Viking' 'Norseman, Viking' 'Norseman, Viking']",599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the original meaning of the word Norman? ",0.59998208,Answer:,32,65.536,0.7262997399025382,9155.0,GB,2.192113664," Norseman, Viking",0.6,2192.113664,33449.0
9155.0,32768,['9th century' '9th century' '9th century'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When was the Latin version of the word Norman first recorded? ",0.59998208,Answer:,32,65.536,0.72317135859212,9155.0,GB,2.167341056, 9th century,0.6,2167.341056,33071.0
9155.0,32768,['911' '911' '911'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When was the Duchy of Normandy founded? ",0.59998208,Answer:,32,65.536,0.7234306084224518,9155.0,GB,2.169372672, 911,0.6,2169.372672,33102.0
9155.0,32768,['King Charles III' 'King Charles III' 'King Charles III'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who did Rollo sign the treaty of Saint-Clair-sur-Epte with? ",0.59998208,Answer:,32,65.536,0.7288371541970262,9155.0,GB,2.212626432, King Charles III of West Francia,0.6,2212.626432,33762.0
9155.0,32768,['Seine' 'Epte' 'Seine'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What river originally bounded the Duchy ",0.59998208,Answer:,32,65.536,0.7206030457472457,9155.0,GB,2.147418112, The river Epte,0.6,2147.418112,32767.0
9155.0,32768,['Rollo' 'Rollo' 'Rollo'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who upon arriving gave the original viking settlers a common identity? ",0.59998208,Answer:,32,65.536,0.7144594847483001,9155.0,GB,2.101215232, Rollo,0.6,2101.215232,32062.0
9155.0,32768,['Catholicism' 'Catholicism' 'Catholicism'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the Norman religion? ",0.59998208,Answer:,32,65.536,0.7208415917060528,9155.0,GB,2.14925312, Norse religion,0.6,2149.25312,32795.0
9155.0,32768,['north' 'the north' 'north'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What part of France were the Normans located? ",0.59998208,Answer:,32,65.536,0.7206712433257056,9155.0,GB,2.1479424, Normandy,0.6,2147.9424,32775.0
9155.0,32768,['fighting horsemen' 'fighting horsemen' 'fighting horsemen'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was one of the Norman's major exports? ",0.59998208,Answer:,32,65.536,0.7075079872204473,9155.0,GB,2.0512768, fighting horsemen,0.6,2051.2768,31300.0
9155.0,32768,"['Seljuk Turks'
 'the Pechenegs, the Bulgars, and especially the Seljuk Turks'
 'the Seljuk Turks']",599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia? ",0.59998208,Answer:,32,65.536,0.7195588911012406,9155.0,GB,2.13942272, The Seljuk Turks,0.6,2139.42272,32645.0
9155.0,32768,['1050s' 'in the 1050s' 'in the 1050s'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When did Herve serve as a Byzantine general? ",0.59998208,Answer:,32,65.536,0.7229703150059007,9155.0,GB,2.165768192, 1050s,0.6,2165.768192,33047.0
9155.0,32768,['1060s' 'In the 1060s' 'In the 1060s'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When did Robert Crispin go up against the Turks? ",0.59998208,Answer:,32,65.536,0.7297815820543093,9155.0,GB,2.22035968, In the 1060s,0.6,2220.35968,33880.0
9155.0,32768,['Alexius Komnenos' 'Alexius Komnenos' 'Alexius Komnenos'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who ruined Roussel de Bailleul's plans for an independent state? ",0.59998208,Answer:,32,65.536,0.7290137343121004,9155.0,GB,2.214068224, The Byzantine general Alexius Komnenos,0.6,2214.068224,33784.0
9155.0,32768,['Afranji' 'Afranji' 'Afranji'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the name of the Norman castle? ",0.59998208,Answer:,32,65.536,0.7305926667059031,9155.0,GB,2.227044352, Trim Castle,0.6,2227.044352,33982.0
9155.0,32768,['Oursel' 'Oursel' 'Oursel'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the leader when the Franks entered the Euphrates valley? ",0.59998208,Answer:,32,65.536,0.7078067151793693,9155.0,GB,2.053373952, A Norman named Oursel,0.6,2053.373952,31332.0
9155.0,32768,['Turkish forces' 'Turkish forces' 'Turkish forces'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who did the Normans team up with in Anatolia? ",0.59998208,Answer:,32,65.536,0.7103398088970448,9155.0,GB,2.071330816, Turkish forces,0.6,2071.330816,31606.0
9155.0,32768,"['Norman mercenary' 'an Italo-Norman named Raoul'
 'descended from an Italo-Norman named Raoul']",599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What were the origins of the Raouliii family? ",0.59998208,Answer:,32,65.536,0.7152676266600317,9155.0,GB,2.107179008, The Raoulii were descended from an Italo-Norman named Raoul.,0.6,2107.179008,32153.0
9155.0,32768,['Robert Guiscard' 'Robert Guiscard' 'Robert Guiscard'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the name of the count of Apulia  ",0.59998208,Answer:,32,65.536,0.7213259466699136,9155.0,GB,2.152988672, Robert Guiscard,0.6,2152.988672,32852.0
9155.0,32768,['1082' 'February 1082' 'February 1082'],599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When did Dyrrachium  fall to the Normans? ",0.59998208,Answer:,32,65.536,0.7187835969897097,9155.0,GB,2.13352448, February 1082,0.6,2133.52448,32555.0
9155.0,32768,"['30,000' '30,000' '30,000']",599.98208,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: How many men were in Robert's army? ",0.59998208,Answer:,32,65.536,0.7258489549020782,9155.0,GB,2.188509184," 30,000",0.6,2188.509184,33394.0
