retained_context_tokens,memory_budget,split,answer_prefix,predicted_answer,token_budget,answers,memory_budget_unit,retained_kv_memory_mb,context_tokens,kv_memory_per_token_kb,question,uncompressed_kv_memory_mb,retained_kv_memory_gb,task,compression_ratio,max_new_tokens,uncompressed_kv_memory_gb
27126.0,4.0,dev,Final Answer: , ['Mazda'],27126.0,['Mazda'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the manufacturer of the car used by the Ford CD2 platform's design inspiration?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,dev,Final Answer: ," ['Kim Wilson', 'Chino Moreno']",27126.0,['Chino Moreno'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How has played in more bands, Kim Wilson or Chino Moreno?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,dev,Final Answer: , ['The Greatest Game Ever Played'],27126.0,['Hot Lead and Cold Feet'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,dev,Final Answer: , ['Eddie Albert'],27126.0,['Edward Albert Heimberger'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid""?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,dev,Final Answer: , ['American'],27126.0,['yes'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Were Scott Derrickson and Ed Wood of the same nationality?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,dev,Final Answer: , ['Podocarpus'],27126.0,['Podocarpus'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which species is the most numerous, Podocarpus or Osmunda?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,dev,Final Answer: , [],27126.0,['cockpit'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What word or phrase is found in both the history of Belgium and cockfighting?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,dev,Final Answer: ,1198,27126.0,['Sunday'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: On what day of the week did the eleventh season's finale of American Dad air?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,dev,Final Answer: , ['Brent Burns'],27126.0,['Brent Burns'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,dev,Final Answer: , ['orange-flavoured'],27126.0,['orange'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the main flavor of both soft drinks, Solo from Norway, and Sunkist?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,test,Final Answer: , [],27126.0,['Dan Bilzerian'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which American professional poker player also starred in the 2015 movie ""Extraction""?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,test,Final Answer: , ['Laura's Star'],27126.0,"[""Laura's Star""]",GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which film was released first, Laura's Star or Wonder Woman?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,test,Final Answer: ,2013,27126.0,['in 2000'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
27126.0,4.0,test,Final Answer: , ['Harriet Tubman'],27126.0,['Araminta Ross'],GB,3999.891456,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the birth name of the woman that ""A Woman Called Moses"" is based on?
",17876.385792,3.999891456,hotpotqa_128k,0.7762471954599446,256,17.876385792
