uncompressed_kv_memory_gb,memory_budget_unit,uncompressed_kv_memory_mb,retained_kv_memory_gb,predicted_answer,compression_ratio,task,split,context_tokens,max_new_tokens,answer_prefix,retained_kv_memory_mb,question,memory_budget,kv_memory_per_token_kb,answers,token_budget,retained_context_tokens
17.723031552,GB,17723.031552,1.999945728," ['2015 King Cup Final', '2018 Senior Open Championship', '2017 Internationaux de Tennis de Vendée – Singles', '2018 King Cup Final', '2015 Senior Open Championship']",0.8871555511182109,qampari_128k,dev,120192.0,256,Final Answer: ,1999.945728,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
",2.0,147.456,"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",13563.0,13563.0
17.723031552,GB,17723.031552,1.999945728," ['Mukhamukham', '72']",0.8871555511182109,qampari_128k,dev,120192.0,256,Final Answer: ,1999.945728,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
",2.0,147.456,"['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",13563.0,13563.0
17.723031552,GB,17723.031552,1.999945728," ['Tinahely', 'Kathleen', 'Katoomba', 'Kendall', 'Kirkwall', 'Kirkland', 'Kilcommon', 'Kilnagour', 'Kilmore', 'Kilmore', 'Kilmore', 'Kilmore', 'Kilmore', 'Kilmore', 'Kilmore', 'Kilmore', 'Kilmore', 'Kilmore', 'Kilmore', 'K",0.8871555511182109,qampari_128k,dev,120192.0,256,Final Answer: ,1999.945728,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
",2.0,147.456,"['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",13563.0,13563.0
17.723031552,GB,17723.031552,1.999945728," ['Sir John Sherbrooke', 'Rover', 'Gourdou-Leseurre GL.50', 'Gourdou-Leseurre GL.412', 'Gourdou-Leseurre GL.2']",0.8871555511182109,qampari_128k,dev,120192.0,256,Final Answer: ,1999.945728,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
",2.0,147.456,['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],13563.0,13563.0
17.723031552,GB,17723.031552,1.999945728," ['Overture to the ""Sinking of the Lusitania""', 'Overture to the ""Sinking of the Lusitania""']",0.8871555511182109,qampari_128k,dev,120192.0,256,Final Answer: ,1999.945728,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
",2.0,147.456,"['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",13563.0,13563.0
17.723031552,GB,17723.031552,1.999945728," ['Alternate Empires', 'Alternate Wars', 'Theodora Cowan', 'The Satan Bug', 'The Best Horror of the Year']",0.8871555511182109,qampari_128k,dev,120192.0,256,Final Answer: ,1999.945728,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
",2.0,147.456,"['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",13563.0,13563.0
17.723031552,GB,17723.031552,1.999945728, ['Dewon Brazelton'],0.8871555511182109,qampari_128k,dev,120192.0,256,Final Answer: ,1999.945728,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
",2.0,147.456,"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",13563.0,13563.0
17.723031552,GB,17723.031552,1.999945728," ['Aung San Suu Kyi', 'Thein Sein', 'Min Aung Hlaing', 'San Yu', 'Ko Ko Gyi', 'Saw Wai', 'Myint Swe', 'Aung San Suu Kyi', 'San Yu', 'Ko Ko Gyi', 'Myint Swe', 'Aung San Suu Kyi', 'Thein Sein', 'Min Aung Hlaing']",0.8871555511182109,qampari_128k,dev,120192.0,256,Final Answer: ,1999.945728,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
",2.0,147.456,['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],13563.0,13563.0
17.723031552,GB,17723.031552,1.999945728," ['Crawford County Courthouse (Iowa)', 'Dewon Brazelton', 'Florida State Road 874', 'Florida State Road 878', 'Kathirava Narasaraja III', 'Kirkwall Airport', 'Legore Lake', 'Milltown Hutterite Colony', 'St. Michael's Presbyterian Church (Hamilton, Ontario)', 'The Blackheath Bulletin', 'The Blue Mountain Echo', 'The Blue Mountains Advertiser', 'The",0.8871555511182109,qampari_128k,dev,120192.0,256,Final Answer: ,1999.945728,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
",2.0,147.456,"['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",13563.0,13563.0
17.723031552,GB,17723.031552,1.999945728," ['Doctor Who', 'Voyage of the Damned', 'The Perfect General', 'The Blackheath Bulletin', 'The Doctor', 'The Blue Mountains Times', 'The Hound of Florence', 'The Texas Chainsaw Massacre', 'The Blue Mountain Echo', 'The Doctor (Doctor Who)']",0.8871555511182109,qampari_128k,dev,120192.0,256,Final Answer: ,1999.945728,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
",2.0,147.456,"['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",13563.0,13563.0
