context_tokens,compression_ratio,uncompressed_kv_memory_mb,task,predicted_answer,retained_kv_memory_mb,retained_context_tokens,split,kv_memory_per_token_kb,memory_budget,token_budget,answer_prefix,memory_budget_unit,max_new_tokens,answers,uncompressed_kv_memory_gb,retained_kv_memory_gb,question
118609.0,0.771298973939583,17489.608704,nq_128k, ['Ygritte'],3999.891456,27126.0,dev,147.456,4.0,27126.0,Final Answer: ,GB,256,['Tyrion Lannister'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what's the dwarf's name in game of thrones
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['Judith Keppel'],3999.891456,27126.0,dev,147.456,4.0,27126.0,Final Answer: ,GB,256,['Judith Cynthia Aline Keppel'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first who wants to be a millionaire winner uk
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['James Watson and Francis Crick'],3999.891456,27126.0,dev,147.456,4.0,27126.0,Final Answer: ,GB,256,['Crick' 'Watson'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who proposed the first accurate model of dna
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['Jason Paige'],3999.891456,27126.0,dev,147.456,4.0,27126.0,Final Answer: ,GB,256,['Jason Paige'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sings the pokemon theme song season 1
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['Rosey Grier'],3999.891456,27126.0,dev,147.456,4.0,27126.0,Final Answer: ,GB,256,['Mary Elizabeth Patterson'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played mrs. trumbull on i love lucy
"
118609.0,0.771298973939583,17489.608704,nq_128k," ['The First Epistle of John', 'ID: 742']",3999.891456,27126.0,dev,147.456,4.0,27126.0,Final Answer: ,GB,256,['AD 95–110' 'probably written in Ephesus'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the first epistle of john written
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['Wisconsin'],3999.891456,27126.0,dev,147.456,4.0,27126.0,Final Answer: ,GB,256,['Wisconsin'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: colby chees is named after a town in what state
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['April 2017'],3999.891456,27126.0,dev,147.456,4.0,27126.0,Final Answer: ,GB,256,['Dragon Ball GT'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did goku first go super saiyan 4
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['Richard Stallman'],3999.891456,27126.0,dev,147.456,4.0,27126.0,Final Answer: ,GB,256,['Richard Stallman'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is given credit for the gnu initiative
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['Montana's western boundary is formed by the state of Wyoming'],3999.891456,27126.0,dev,147.456,4.0,27126.0,Final Answer: ,GB,256,['Idaho'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what us state forms the western boundary of montana
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['Monday Night Raw is not mentioned as being available on Hulu in the provided documents.'],3999.891456,27126.0,test,147.456,4.0,27126.0,Final Answer: ,GB,256,['the following day'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does monday night raw come on hulu
"
118609.0,0.771298973939583,17489.608704,nq_128k," ['Spain', 'Portugal', 'Netherlands', 'France', 'Britain']",3999.891456,27126.0,test,147.456,4.0,27126.0,Final Answer: ,GB,256,['Spain' 'Taíno' 'indigenous Taíno people'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who did puerto rico belong to before the u.s
"
118609.0,0.771298973939583,17489.608704,nq_128k," ['April 9, 2012', 'September 13, 2012']",3999.891456,27126.0,test,147.456,4.0,27126.0,Final Answer: ,GB,256,"['September 13, 2012']",17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did season 4 of glee come out
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['Haliaeetus'],3999.891456,27126.0,test,147.456,4.0,27126.0,Final Answer: ,GB,256,['Haliaeetus'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the genus of a bald eagle
"
118609.0,0.771298973939583,17489.608704,nq_128k," ['The Cylon identity was revealed during the events of the series ""Battlestar Galactica"" when Boomer was involved in a storyline that exposed her Cylon heritage.']",3999.891456,27126.0,test,147.456,4.0,27126.0,Final Answer: ,GB,256,"[""Kobol's Last Gleaming""]",17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does boomer find out she a cylon
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['Nala'],3999.891456,27126.0,test,147.456,4.0,27126.0,Final Answer: ,GB,256,['Nala'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the female lion called in lion king
"
118609.0,0.771298973939583,17489.608704,nq_128k, ['Christopher Lloyd'],3999.891456,27126.0,test,147.456,4.0,27126.0,Final Answer: ,GB,256,['Christopher Lloyd'],17.489608704,3.999891456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who plays the woodsman in over the garden wall
"
