retained_context_tokens,split,answer_prefix,predicted_answer,answers,retained_kv_memory_mb,context_tokens,kv_memory_per_token_kb,question,uncompressed_kv_memory_mb,retained_kv_memory_gb,task,compression_ratio,max_new_tokens,uncompressed_kv_memory_gb
121232.0,dev,Final Answer: , ['Mazda'],['Mazda'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the manufacturer of the car used by the Ford CD2 platform's design inspiration?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
121232.0,dev,Final Answer: ," ['Kim Wilson', 'Chino Moreno']",['Chino Moreno'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How has played in more bands, Kim Wilson or Chino Moreno?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
121232.0,dev,Final Answer: ," ['The Greatest Game Ever Played', 'Hot Lead and Cold Feet']",['Hot Lead and Cold Feet'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
121232.0,dev,Final Answer: , ['Hildegard Werner'],['Edward Albert Heimberger'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid""?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
121232.0,dev,Final Answer: , ['American'],['yes'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Were Scott Derrickson and Ed Wood of the same nationality?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
121232.0,dev,Final Answer: , ['Podocarpus'],['Podocarpus'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which species is the most numerous, Podocarpus or Osmunda?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
121232.0,dev,Final Answer: , ['battlefield'],['cockpit'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What word or phrase is found in both the history of Belgium and cockfighting?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
121232.0,dev,Final Answer: ,1190,['Sunday'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: On what day of the week did the eleventh season's finale of American Dad air?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
121232.0,dev,Final Answer: ," ['2008 IIHF World Championship rosters', 'Brent Burns']",['Brent Burns'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
121232.0,dev,Final Answer: , ['orange-flavoured'],['orange'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the main flavor of both soft drinks, Solo from Norway, and Sunkist?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
121232.0,test,Final Answer: , [],['Dan Bilzerian'],17876.385792,121232.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which American professional poker player also starred in the 2015 movie ""Extraction""?
",17876.385792,17.876385792,hotpotqa_128k,0.0,256,17.876385792
