uncompressed_kv_memory_gb,answer_prefix,answer,memory_budget,compression_ratio,max_new_tokens,kv_memory_per_token_kb,retained_context_tokens,context_tokens,token_budget,context_length,retained_kv_memory_mb,memory_budget_unit,retained_kv_memory_gb,question,predicted_answer,task,uncompressed_kv_memory_mb
2.728722432,The special magic number for fanatical-genocide mentioned in the provided text is,['8906355'],0.6,0.7801234478949012,128,65.536,9155.0,41637.0,9155.0,32768,599.98208,GB,0.59998208,What is the special magic number for fanatical-genocide mentioned in the provided text? , **8906355**.,niah_multikey_2,2728.722432
2.731671552,The special magic number for alcoholic-alloy mentioned in the provided text is,['7926237'],0.6,0.7803608272155846,128,65.536,9155.0,41682.0,9155.0,32768,599.98208,GB,0.59998208,What is the special magic number for alcoholic-alloy mentioned in the provided text? , **7926237**.,niah_multikey_2,2731.671552
2.729377792,The special magic number for trashy-spine mentioned in the provided text is,['3865550'],0.6,0.7801762431867841,128,65.536,9155.0,41647.0,9155.0,32768,599.98208,GB,0.59998208,What is the special magic number for trashy-spine mentioned in the provided text? , **3865550**.,niah_multikey_2,2729.377792
2.731081728,The special magic number for agreeable-memory mentioned in the provided text is,['8956675'],0.6,0.7803133923643606,128,65.536,9155.0,41673.0,9155.0,32768,599.98208,GB,0.59998208,What is the special magic number for agreeable-memory mentioned in the provided text? , **8956675**.,niah_multikey_2,2731.081728
2.730033152,The special magic number for detailed-fork mentioned in the provided text is,['5194772'],0.6,0.7802290131310464,128,65.536,9155.0,41657.0,9155.0,32768,599.98208,GB,0.59998208,What is the special magic number for detailed-fork mentioned in the provided text? , **5194772**.,niah_multikey_2,2730.033152
2.727673856,The special magic number for futuristic-registry mentioned in the provided text is,['9875666'],0.6,0.7800389226592346,128,65.536,9155.0,41621.0,9155.0,32768,599.98208,GB,0.59998208,What is the special magic number for futuristic-registry mentioned in the provided text? , **9875666**.,niah_multikey_2,2727.673856
2.725707776,The special magic number for slippery-laparoscope mentioned in the provided text is,['3215142'],0.6,0.7798802625568031,128,65.536,9155.0,41591.0,9155.0,32768,599.98208,GB,0.59998208,What is the special magic number for slippery-laparoscope mentioned in the provided text? , **3215142**.,niah_multikey_2,2725.707776
2.72891904,The special magic number for ethereal-spasm mentioned in the provided text is,['9664574'],0.6,0.7801392891450528,128,65.536,9155.0,41640.0,9155.0,32768,599.98208,GB,0.59998208,What is the special magic number for ethereal-spasm mentioned in the provided text? , **9664574**.,niah_multikey_2,2728.91904
2.729181184,The special magic number for flippant-editing mentioned in the provided text is,['5533485'],0.6,0.7801604072615502,128,65.536,9155.0,41644.0,9155.0,32768,599.98208,GB,0.59998208,What is the special magic number for flippant-editing mentioned in the provided text? , **5533485**.,niah_multikey_2,2729.181184
2.730098688,The special magic number for small-runway mentioned in the provided text is,['3754389'],0.6,0.7802342887320562,128,65.536,9155.0,41658.0,9155.0,32768,599.98208,GB,0.59998208,What is the special magic number for small-runway mentioned in the provided text? , **3754389**.,niah_multikey_2,2730.098688
