question,answers,retained_kv_memory_mb,uncompressed_kv_memory_gb,task,retained_context_tokens,compression_ratio,split,answer_prefix,max_new_tokens,retained_kv_memory_gb,uncompressed_kv_memory_mb,context_tokens,predicted_answer,kv_memory_per_token_kb
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Capua Films
",['Spartacus (film)'],17396.416512,17.396416512,quest_128k,117977.0,0.0,dev,Final Answer: ,256,17.396416512,17396.416512,117977.0, ['Capua Films'],147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1990s Indian and folklore romance films.
",['Laal Paree' 'Roja (film)' 'Sahasa Veerudu Sagara Kanya'],17396.416512,17.396416512,quest_128k,117977.0,0.0,dev,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Adventures of Peregrine Pickle', 'The Blind Owl', 'The King and the Clown', 'The Legend of Johnny Lingo', 'The Making of the Representative for Planet 8', 'The Two Captains', 'The Village of No Return']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films shot in Gauteng or New Zealand action thrillers or Western films from South Africa
",['6 Days (2017 film)' 'Glory Glory (2000 film)' 'The Jackals'],17396.416512,17.396416512,quest_128k,117977.0,0.0,dev,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Last Winter', 'The Village of No Return', 'District 9', 'The Last Winter', 'The Two Captains', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away',",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1860 novels or 1860 American novels or Ivan Turgenev novellas
",['Max Havelaar' 'The Marble Faun' 'The Mill on the Floss'],17396.416512,17.396416512,quest_128k,117977.0,0.0,dev,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Scarlet Letter', 'The Adventures of Peregrine Pickle', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Horror anthology films about time travel that were shot in the US
",['Southbound (2015 film)' 'Twilight Zone: The Movie'],17396.416512,17.396416512,quest_128k,117977.0,0.0,dev,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Time Traveler's Wife', 'The Time Traveler's Wife (2009)']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on European myths and legends and young adult literature
",['Percy Jackson & the Olympians: The Lightning Thief'],17396.416512,17.396416512,quest_128k,117977.0,0.0,dev,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Adventures of Peregrine Pickle', 'The Adventures of Jinbao', 'The Midnight Zoo', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Supernatural horror films in the Artic
","['Kajutaijuq: The Spirit That Comes' 'The Abandoned (2006 film)'
 'The Last Winter (2006 film)']",17396.416512,17.396416512,quest_128k,117977.0,0.0,dev,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Last Winter', 'The Village of No Return', 'The Abandoned', 'The Last Winter (2006 film)']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Northern Mariana Islands set films
",['Anatahan (film)' 'Oba: The Last Samurai'],17396.416512,17.396416512,quest_128k,117977.0,0.0,dev,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Jungle Bunch', 'District 9', 'The Last Winter']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1980 books that are non fiction and, about British thriller.
",['Man on Fire (Quinnell novel)' 'Sweet Adelaide'],17396.416512,17.396416512,quest_128k,117977.0,0.0,dev,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Violent Bear It Away', 'The Making of the Representative for Planet 8', 'The Veteran', 'The Gate to Women's Country', 'The Violent Bear It Away', 'The Making of the Representative for Planet 8', 'The Veteran', 'The Gate to Women's Country']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Australian novels from 1991
",['Cloudstreet' 'Mandragora (novel)' 'Our Sunshine'],17396.416512,17.396416512,quest_128k,117977.0,0.0,dev,Final Answer: ,256,17.396416512,17396.416512,117977.0," ['The Samovar Girl', 'The Violent Bear It Away', 'The Drowning Girl']",147.456
