context_tokens,compression_ratio,uncompressed_kv_memory_mb,task,predicted_answer,retained_kv_memory_mb,retained_context_tokens,split,kv_memory_per_token_kb,memory_budget,token_budget,answer_prefix,memory_budget_unit,max_new_tokens,answers,uncompressed_kv_memory_gb,retained_kv_memory_gb,question
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. Title: ""The Dwarf's Name in Game of Thrones"", ID: 1  
2. Title: ""Dwarka's Name in Game of Thrones"", ID: 2  

The dwarf's name in Game of Thrones is **Joffrey**.",511.967232,3472.0,dev,147.456,512.0,3472.0,Final Answer: ,MB,256,['Tyrion Lannister'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what's the dwarf's name in game of thrones
"
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. Title: ""The British version of 'Who Wants to Be a Millionaire?' was first broadcast in 1999. The show was hosted by Richard Curtis, who was known for his role in the 'Friends' series. The first winner of the UK version was Chris Evans, a well-known radio presenter and DJ. 2. Title: ""The first UK winner of 'Who Wants to Be a Millionaire?' was Chris Evans, who won the show in 19",511.967232,3472.0,dev,147.456,512.0,3472.0,Final Answer: ,MB,256,['Judith Cynthia Aline Keppel'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first who wants to be a millionaire winner uk
"
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. **Title:** ""The Double Helix""  
   **ID:** 1  
   **Answer:** James Watson and Francis Crick proposed the first accurate model of DNA.",511.967232,3472.0,dev,147.456,512.0,3472.0,Final Answer: ,MB,256,['Crick' 'Watson'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who proposed the first accurate model of dna
"
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. Title: ""The Pokémon Theme Song"", ID: 1  
2. Title: ""The Pokémon Theme"", ID: 2  
3. Title: ""The Pokémon Theme Song (Season 1)"", ID: 3  
4. Title: ""The Pokémon Theme (Season 1)"", ID: 4  
5. Title: ""The Pokémon Theme Song (Season 1) - Lyrics"", ID: 5  
6. Title: ""The Pokémon Theme (Season 1",511.967232,3472.0,dev,147.456,512.0,3472.0,Final Answer: ,MB,256,['Jason Paige'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sings the pokemon theme song season 1
"
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. Title: ""I Love Lucy"" - The Complete Series, ID: 1  
2. Title: ""The Love of Lucy"" - The Complete Series, ID: 2  

Answer:  
- The character Mrs. Trumbull on *I Love Lucy* was played by Vivian Blau.",511.967232,3472.0,dev,147.456,512.0,3472.0,Final Answer: ,MB,256,['Mary Elizabeth Patterson'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played mrs. trumbull on i love lucy
"
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. Title: ""The First Epistle of John"" (1 John), ID: 1  
2. Title: ""The Book of 1 John"" (1 John), ID: 2  

The first Epistle of John was written around the end of the first century AD. It is believed to have been composed during the early years of the Christian church, likely in the region of Asia Minor, and is attributed to the Apostle John. The exact date of its writing is not precisely",511.967232,3472.0,dev,147.456,512.0,3472.0,Final Answer: ,MB,256,['AD 95–110' 'probably written in Ephesus'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the first epistle of john written
"
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. Title: ""Colby Cheese is Named After a Town in Kansas"", ID: 1  
2. Title: ""The History of Colby Cheese"", ID: 2  
3. Title: ""The Origin of Colby Cheese"", ID: 3  
4. Title: ""Colby Cheese: A Brief History"", ID: 4  
5. Title: ""Colby Cheese and Its Naming"", ID: 5  

The answer to the query is: Colby cheese",511.967232,3472.0,dev,147.456,512.0,3472.0,Final Answer: ,MB,256,['Wisconsin'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: colby chees is named after a town in what state
"
118609.0,0.9707273478403831,17489.608704,nq_128k,4.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.,511.967232,3472.0,dev,147.456,512.0,3472.0,Final Answer: ,MB,256,['Dragon Ball GT'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did goku first go super saiyan 4
"
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. Title: ""The GNU Project"" - ID: 1  
2. Title: ""History of the GNU Project"" - ID: 2  
3. Title: ""The GNU Manifesto"" - ID: 3  
4. Title: ""The GNU Project: A Short History"" - ID: 4  
5. Title: ""The GNU Project: A Timeline"" - ID: 5  

The GNU project was initiated by Richard Stallman. He is given credit for",511.967232,3472.0,dev,147.456,512.0,3472.0,Final Answer: ,MB,256,['Richard Stallman'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is given credit for the gnu initiative
"
118609.0,0.9707273478403831,17489.608704,nq_128k," [""Montana's western boundary is formed by the state of Wyoming.""]

**Title:** The Geography of the United States  
**ID:** 1  

**Title:** The Geography of the United States  
**ID:** 2",511.967232,3472.0,dev,147.456,512.0,3472.0,Final Answer: ,MB,256,['Idaho'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what us state forms the western boundary of montana
"
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. Title: ""Monday Night Raw"" (2005), ID: 199  
2. Title: ""Monday Night Raw"" (2006), ID: 200  
3. Title: ""Monday Night Raw"" (2007), ID: 201  
4. Title: ""Monday Night Raw"" (2008), ID: 202  
5. Title: ""Monday Night Raw"" (20",511.967232,3472.0,test,147.456,512.0,3472.0,Final Answer: ,MB,256,['the following day'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does monday night raw come on hulu
"
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. **Title:** The RMS Titanic  
**ID:** 1  
- The RMS Titanic was owned by the White Star Line, a British shipping company.  

2. **Title:** Puerto Rico's History  
**ID:** 2  
- Before being claimed by the United States, Puerto Rico was a colony of Spain.",511.967232,3472.0,test,147.456,512.0,3472.0,Final Answer: ,MB,256,['Spain' 'Taíno' 'indigenous Taíno people'],17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who did puerto rico belong to before the u.s
"
118609.0,0.9707273478403831,17489.608704,nq_128k,"1. Title: ""Glee (TV series)"" , ID: 1
2. Title: ""Glee (TV series)"" , ID: 1

Season 4 of Glee came out in 2011.",511.967232,3472.0,test,147.456,512.0,3472.0,Final Answer: ,MB,256,"['September 13, 2012']",17.489608704,0.511967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did season 4 of glee come out
"
