uncompressed_kv_memory_gb,question,predicted_answer,retained_context_tokens,task,uncompressed_kv_memory_mb,kv_memory_per_token_kb,context_length,retained_kv_memory_mb,context_tokens,answer,compression_ratio,max_new_tokens,retained_kv_memory_gb,answer_prefix
2.778988544,What is the special magic uuid for 1aa4fb78-aecd-4cff-9e34-12aac45dab85 mentioned in the provided text? ,":

**0024da9c-6399-4571-bf50-62f31677a532**",42404.0,niah_multikey_3,2778.988544,65.536,32768,2778.988544,42404.0,['0024da9c-6399-4571-bf50-62f31677a532'],0.0,128,2.778988544,The special magic uuid for 1aa4fb78-aecd-4cff-9e34-12aac45dab85 mentioned in the provided text is
2.781937664,What is the special magic uuid for cea97194-cbd6-4e75-bf45-4da8414ecf02 mentioned in the provided text? ,":

**e05e8dcd-0ae1-4add-96ff-6a056835b9c6**",42449.0,niah_multikey_3,2781.937664,65.536,32768,2781.937664,42449.0,['e05e8dcd-0ae1-4add-96ff-6a056835b9c6'],0.0,128,2.781937664,The special magic uuid for cea97194-cbd6-4e75-bf45-4da8414ecf02 mentioned in the provided text is
2.779119616,What is the special magic uuid for 7f7fcbe8-db4c-4d45-81e6-478a3e81d07d mentioned in the provided text? ,":

**120129ac-37ab-4b4f-9116-0c97e42242a7**",42406.0,niah_multikey_3,2779.119616,65.536,32768,2779.119616,42406.0,['120129ac-37ab-4b4f-9116-0c97e42242a7'],0.0,128,2.779119616,The special magic uuid for 7f7fcbe8-db4c-4d45-81e6-478a3e81d07d mentioned in the provided text is
2.783510528,What is the special magic uuid for f0fbf9d5-1507-493e-b6e9-62b392027568 mentioned in the provided text? ,":

**6a33a75b-24bc-4ed7-886a-126820ffc695**",42473.0,niah_multikey_3,2783.510528,65.536,32768,2783.510528,42473.0,['6a33a75b-24bc-4ed7-886a-126820ffc695'],0.0,128,2.783510528,The special magic uuid for f0fbf9d5-1507-493e-b6e9-62b392027568 mentioned in the provided text is
2.779643904,What is the special magic uuid for f2816bb9-449d-445a-a2d1-5afcd754c81f mentioned in the provided text? ,":

**adad84f5-bfc9-4c9a-aa4a-78e3b9dc97f6**",42414.0,niah_multikey_3,2779.643904,65.536,32768,2779.643904,42414.0,['adad84f5-bfc9-4c9a-aa4a-78e3b9dc97f6'],0.0,128,2.779643904,The special magic uuid for f2816bb9-449d-445a-a2d1-5afcd754c81f mentioned in the provided text is
2.777546752,What is the special magic uuid for d7e56b59-7163-4a74-a54a-6ff45e8f972e mentioned in the provided text? ,":

**1774f846-e012-403b-b453-06bc39a9db7e**",42382.0,niah_multikey_3,2777.546752,65.536,32768,2777.546752,42382.0,['1774f846-e012-403b-b453-06bc39a9db7e'],0.0,128,2.777546752,The special magic uuid for d7e56b59-7163-4a74-a54a-6ff45e8f972e mentioned in the provided text is
2.778595328,What is the special magic uuid for 43b46106-f69a-48c3-aada-abb937ebb070 mentioned in the provided text? ,":

**c18c3b37-7d30-45e4-ba75-ede5f2a1101b**",42398.0,niah_multikey_3,2778.595328,65.536,32768,2778.595328,42398.0,['c18c3b37-7d30-45e4-ba75-ede5f2a1101b'],0.0,128,2.778595328,The special magic uuid for 43b46106-f69a-48c3-aada-abb937ebb070 mentioned in the provided text is
2.783838208,What is the special magic uuid for 7260291c-85b4-4734-b736-c7e2350c8f08 mentioned in the provided text? ,":

**951f697e-f17a-41a0-a4d8-c429822ab84d**",42478.0,niah_multikey_3,2783.838208,65.536,32768,2783.838208,42478.0,['951f697e-f17a-41a0-a4d8-c429822ab84d'],0.0,128,2.783838208,The special magic uuid for 7260291c-85b4-4734-b736-c7e2350c8f08 mentioned in the provided text is
2.782068736,What is the special magic uuid for 8a165f29-ec4c-4297-a5e7-3f5b0858d8f4 mentioned in the provided text? ,":

**a51ca362-f253-4ad3-91d2-152922091ae2**",42451.0,niah_multikey_3,2782.068736,65.536,32768,2782.068736,42451.0,['a51ca362-f253-4ad3-91d2-152922091ae2'],0.0,128,2.782068736,The special magic uuid for 8a165f29-ec4c-4297-a5e7-3f5b0858d8f4 mentioned in the provided text is
2.785804288,What is the special magic uuid for 7ab4ab80-4b0c-4c1a-8438-a400ca093398 mentioned in the provided text? ,":

**3a7d2d30-1405-4e55-bdf0-fbd1e274359a**",42508.0,niah_multikey_3,2785.804288,65.536,32768,2785.804288,42508.0,['3a7d2d30-1405-4e55-bdf0-fbd1e274359a'],0.0,128,2.785804288,The special magic uuid for 7ab4ab80-4b0c-4c1a-8438-a400ca093398 mentioned in the provided text is
2.777808896,What is the special magic uuid for 25e6fca5-001a-45fb-bc5c-364d55343d8f mentioned in the provided text? ,":

**8c5b4514-733a-4736-9a19-1a42d58707b7**",42386.0,niah_multikey_3,2777.808896,65.536,32768,2777.808896,42386.0,['8c5b4514-733a-4736-9a19-1a42d58707b7'],0.0,128,2.777808896,The special magic uuid for 25e6fca5-001a-45fb-bc5c-364d55343d8f mentioned in the provided text is
2.777808896,What is the special magic uuid for 5ae7ff5d-8677-43b8-8dc3-a23c892ea2a6 mentioned in the provided text? ,":

**c73ed342-6523-4d4b-aa33-beb1c9007315**",42386.0,niah_multikey_3,2777.808896,65.536,32768,2777.808896,42386.0,['c73ed342-6523-4d4b-aa33-beb1c9007315'],0.0,128,2.777808896,The special magic uuid for 5ae7ff5d-8677-43b8-8dc3-a23c892ea2a6 mentioned in the provided text is
2.783510528,What is the special magic uuid for 642ff652-23a5-496e-9586-2c7539ce3af7 mentioned in the provided text? ,":

**ca6e539d-f6b6-4724-b647-998e453681d9**",42473.0,niah_multikey_3,2783.510528,65.536,32768,2783.510528,42473.0,['ca6e539d-f6b6-4724-b647-998e453681d9'],0.0,128,2.783510528,The special magic uuid for 642ff652-23a5-496e-9586-2c7539ce3af7 mentioned in the provided text is
2.77774336,What is the special magic uuid for 912535ea-ad3d-46f6-b073-9ff7188f409a mentioned in the provided text? ,":

**94bb5011-e155-482c-8e19-b2385a9ba182**",42385.0,niah_multikey_3,2777.74336,65.536,32768,2777.74336,42385.0,['94bb5011-e155-482c-8e19-b2385a9ba182'],0.0,128,2.77774336,The special magic uuid for 912535ea-ad3d-46f6-b073-9ff7188f409a mentioned in the provided text is
2.77807104,What is the special magic uuid for 82bf0a5e-67d9-4f23-8162-746a53360650 mentioned in the provided text? ,":

**70674e97-4619-4355-990d-b002a11c4a2b**",42390.0,niah_multikey_3,2778.07104,65.536,32768,2778.07104,42390.0,['70674e97-4619-4355-990d-b002a11c4a2b'],0.0,128,2.77807104,The special magic uuid for 82bf0a5e-67d9-4f23-8162-746a53360650 mentioned in the provided text is
2.77970944,What is the special magic uuid for a479e642-b250-40f4-aedc-cefcda8d5e09 mentioned in the provided text? ,":

**b028ce25-1b5d-49c4-9e25-3f6c6749fe74**",42415.0,niah_multikey_3,2779.70944,65.536,32768,2779.70944,42415.0,['b028ce25-1b5d-49c4-9e25-3f6c6749fe74'],0.0,128,2.77970944,The special magic uuid for a479e642-b250-40f4-aedc-cefcda8d5e09 mentioned in the provided text is
2.778005504,What is the special magic uuid for 2bf67532-d0f6-462d-93e0-53e4ecf35c83 mentioned in the provided text? ,":

**5c56b2f2-28e2-43bf-8d5d-b9e171d2676a**",42389.0,niah_multikey_3,2778.005504,65.536,32768,2778.005504,42389.0,['5c56b2f2-28e2-43bf-8d5d-b9e171d2676a'],0.0,128,2.778005504,The special magic uuid for 2bf67532-d0f6-462d-93e0-53e4ecf35c83 mentioned in the provided text is
2.775908352,What is the special magic uuid for a2791dc6-27f6-4951-bacf-a124a845528a mentioned in the provided text? ,":

**2353c97d-b18c-49dd-a689-5099d094d87a**",42357.0,niah_multikey_3,2775.908352,65.536,32768,2775.908352,42357.0,['2353c97d-b18c-49dd-a689-5099d094d87a'],0.0,128,2.775908352,The special magic uuid for a2791dc6-27f6-4951-bacf-a124a845528a mentioned in the provided text is
