question,answers,retained_kv_memory_mb,uncompressed_kv_memory_gb,token_budget,task,retained_context_tokens,compression_ratio,split,answer_prefix,memory_budget_unit,max_new_tokens,retained_kv_memory_gb,uncompressed_kv_memory_mb,memory_budget,context_tokens,predicted_answer,kv_memory_per_token_kb
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Capua Films
",['Spartacus (film)'],999.899136,17.396416512,6781.0,quest_128k,6781.0,0.9425226951015876,dev,Final Answer: ,GB,256,0.999899136,17396.416512,1.0,117977.0," ['The Adventures of Jinbao', '1968']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1990s Indian and folklore romance films.
",['Laal Paree' 'Roja (film)' 'Sahasa Veerudu Sagara Kanya'],999.899136,17.396416512,6781.0,quest_128k,6781.0,0.9425226951015876,dev,Final Answer: ,GB,256,0.999899136,17396.416512,1.0,117977.0," ['The Adventures of Jinbao', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The Invincible Constable', 'The",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films shot in Gauteng or New Zealand action thrillers or Western films from South Africa
",['6 Days (2017 film)' 'Glory Glory (2000 film)' 'The Jackals'],999.899136,17.396416512,6781.0,quest_128k,6781.0,0.9425226951015876,dev,Final Answer: ,GB,256,0.999899136,17396.416512,1.0,117977.0," ['The Invincible Constable', 'The Adventures of Jinbao', 'The Veteran (2016 film)']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1860 novels or 1860 American novels or Ivan Turgenev novellas
",['Max Havelaar' 'The Marble Faun' 'The Mill on the Floss'],999.899136,17.396416512,6781.0,quest_128k,6781.0,0.9425226951015876,dev,Final Answer: ,GB,256,0.999899136,17396.416512,1.0,117977.0," ['The Bewitched', 'The Bewitched', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo',",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Horror anthology films about time travel that were shot in the US
",['Southbound (2015 film)' 'Twilight Zone: The Movie'],999.899136,17.396416512,6781.0,quest_128k,6781.0,0.9425226951015876,dev,Final Answer: ,GB,256,0.999899136,17396.416512,1.0,117977.0," ['The Invincible Constable', '1984', 'The Horror of the Man from the Moon', '1984', 'The Invincible Constable', '1984', 'The Horror of the Man from the Moon', '1984']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on European myths and legends and young adult literature
",['Percy Jackson & the Olympians: The Lightning Thief'],999.899136,17.396416512,6781.0,quest_128k,6781.0,0.9425226951015876,dev,Final Answer: ,GB,256,0.999899136,17396.416512,1.0,117977.0," ['The Adventures of Jinbao', 'The Mystery of the Yellow Bird', 'The Invincible Constable', 'The Story Without a Name', 'The Bewitched', 'The Queen of the Night']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Supernatural horror films in the Artic
","['Kajutaijuq: The Spirit That Comes' 'The Abandoned (2006 film)'
 'The Last Winter (2006 film)']",999.899136,17.396416512,6781.0,quest_128k,6781.0,0.9425226951015876,dev,Final Answer: ,GB,256,0.999899136,17396.416512,1.0,117977.0," ['The Invincible Constable', 'The Invincible Constable']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Northern Mariana Islands set films
",['Anatahan (film)' 'Oba: The Last Samurai'],999.899136,17.396416512,6781.0,quest_128k,6781.0,0.9425226951015876,dev,Final Answer: ,GB,256,0.999899136,17396.416512,1.0,117977.0," ['The Invincible Constable', 'The Invincible Constable']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1980 books that are non fiction and, about British thriller.
",['Man on Fire (Quinnell novel)' 'Sweet Adelaide'],999.899136,17.396416512,6781.0,quest_128k,6781.0,0.9425226951015876,dev,Final Answer: ,GB,256,0.999899136,17396.416512,1.0,117977.0," ['The Bewitched', 'The Bewitched (1980)']
Final Answer:  ['The Bewitched', 'The Bewitched (1980)']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Australian novels from 1991
",['Cloudstreet' 'Mandragora (novel)' 'Our Sunshine'],999.899136,17.396416512,6781.0,quest_128k,6781.0,0.9425226951015876,dev,Final Answer: ,GB,256,0.999899136,17396.416512,1.0,117977.0," ['The Bewitched', 'The Midnight Zoo']",147.456
