split,context_tokens,question,uncompressed_kv_memory_gb,task,compression_ratio,kv_memory_per_token_kb,max_new_tokens,answers,retained_context_tokens,uncompressed_kv_memory_mb,retained_kv_memory_gb,predicted_answer,retained_kv_memory_mb,answer_prefix
dev,121232.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the manufacturer of the car used by the Ford CD2 platform's design inspiration?
",17.876385792,hotpotqa_128k,0.0,147.456,256,['Mazda'],121232.0,17876.385792,17.876385792, ['Mazda'],17876.385792,Final Answer: 
dev,121232.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How has played in more bands, Kim Wilson or Chino Moreno?
",17.876385792,hotpotqa_128k,0.0,147.456,256,['Chino Moreno'],121232.0,17876.385792,17.876385792," ['Kim Wilson', 'Chino Moreno']",17876.385792,Final Answer: 
dev,121232.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?
",17.876385792,hotpotqa_128k,0.0,147.456,256,['Hot Lead and Cold Feet'],121232.0,17876.385792,17.876385792, ['The Greatest Game Ever Played'],17876.385792,Final Answer: 
dev,121232.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid""?
",17.876385792,hotpotqa_128k,0.0,147.456,256,['Edward Albert Heimberger'],121232.0,17876.385792,17.876385792, ['Michael Shea'],17876.385792,Final Answer: 
dev,121232.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Were Scott Derrickson and Ed Wood of the same nationality?
",17.876385792,hotpotqa_128k,0.0,147.456,256,['yes'],121232.0,17876.385792,17.876385792, ['American'],17876.385792,Final Answer: 
dev,121232.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which species is the most numerous, Podocarpus or Osmunda?
",17.876385792,hotpotqa_128k,0.0,147.456,256,['Podocarpus'],121232.0,17876.385792,17.876385792, ['Podocarpus'],17876.385792,Final Answer: 
dev,121232.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What word or phrase is found in both the history of Belgium and cockfighting?
",17.876385792,hotpotqa_128k,0.0,147.456,256,['cockpit'],121232.0,17876.385792,17.876385792, ['cockroach'],17876.385792,Final Answer: 
dev,121232.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: On what day of the week did the eleventh season's finale of American Dad air?
",17.876385792,hotpotqa_128k,0.0,147.456,256,['Sunday'],121232.0,17876.385792,17.876385792, ['Sunday'],17876.385792,Final Answer: 
dev,121232.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?
",17.876385792,hotpotqa_128k,0.0,147.456,256,['Brent Burns'],121232.0,17876.385792,17.876385792, ['Brent Burns'],17876.385792,Final Answer: 
dev,121232.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the main flavor of both soft drinks, Solo from Norway, and Sunkist?
",17.876385792,hotpotqa_128k,0.0,147.456,256,['orange'],121232.0,17876.385792,17.876385792, ['orange'],17876.385792,Final Answer: 
