split,task,retained_context_tokens,predicted_answer,context_tokens,answers,retained_kv_memory_mb,answer_prefix,question,max_new_tokens,compression_ratio,uncompressed_kv_memory_gb,retained_kv_memory_gb,uncompressed_kv_memory_mb,kv_memory_per_token_kb
dev,hotpotqa_32k,49679.0, ['Mazda'],49679.0,['Mazda'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the manufacturer of the car used by the Ford CD2 platform's design inspiration?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
dev,hotpotqa_32k,49679.0, ['Kim Wilson'],49679.0,['Chino Moreno'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How has played in more bands, Kim Wilson or Chino Moreno?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
dev,hotpotqa_32k,49679.0, ['Hot Lead and Cold Feet'],49679.0,['Hot Lead and Cold Feet'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
dev,hotpotqa_32k,49679.0, ['Glenn Ford'],49679.0,['Edward Albert Heimberger'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid""?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
dev,hotpotqa_32k,49679.0, ['American'],49679.0,['yes'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Were Scott Derrickson and Ed Wood of the same nationality?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
dev,hotpotqa_32k,49679.0, ['Podocarpus'],49679.0,['Podocarpus'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which species is the most numerous, Podocarpus or Osmunda?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
dev,hotpotqa_32k,49679.0, ['Dutch'],49679.0,['cockpit'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What word or phrase is found in both the history of Belgium and cockfighting?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
dev,hotpotqa_32k,49679.0, ['Wednesday'],49679.0,['Sunday'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: On what day of the week did the eleventh season's finale of American Dad air?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
dev,hotpotqa_32k,49679.0, ['Brent Burns'],49679.0,['Brent Burns'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
dev,hotpotqa_32k,49679.0, ['orange'],49679.0,['orange'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the main flavor of both soft drinks, Solo from Norway, and Sunkist?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Dan Bilzerian'],49679.0,['Dan Bilzerian'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which American professional poker player also starred in the 2015 movie ""Extraction""?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Laura's Star'],49679.0,"[""Laura's Star""]",7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which film was released first, Laura's Star or Wonder Woman?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['2000'],49679.0,['in 2000'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Harriet Tubman'],49679.0,['Araminta Ross'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the birth name of the woman that ""A Woman Called Moses"" is based on?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['The English Civil War'],49679.0,"['Parliamentarians (""Roundheads"") and Royalists (""Cavaliers"")']",7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Arundel Castle was damaged during a war between which two groups?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Adolfo Rodríguez Saá'],49679.0,['Adolfo Rodríguez Saá'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which one of Ricardo Rodríguez Saá's relatives would become governor from 1983 to 2001?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['1976'],49679.0,['1976'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the largest convention center in the U.S. state of Georgia open?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Obsession'],49679.0,['Obsession'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: which board game has been around longer Obsession or Battle Sheep ?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Eli Roth'],49679.0,['Eli Roth'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which American film director and actor famous for his role as Donny ""The Bear Jew"" Donowitz wrote the 2012 film ""The Man with the Iron Fists""?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Washington State Cougars football team'],49679.0,['Washington State'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: After coaching the red raiders to several winning seasons, where does Mike Leach currently coach at?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Love Drunk'],49679.0,['Love Drunk'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift? A: Love Drunk
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['1940'],49679.0,['1940'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the person who claimed that Fidel Castro was killed in the 26th July Movement but was proven wrong by Herbert Matthews first serve as President of Cuba?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['1999 Galtür avalanche'],49679.0,['The Galtür avalanche'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which Avalanche happened first, Rigopiano avalanche or 1999 Galtür avalanche ?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Ibn Tufail'],49679.0,['Ali Qushji'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which man, Ibn Tufail or Ali Qushji, is best known for the development of astronomical physics independent from natural philosophy?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['December 1974'],49679.0,['December 1974'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When was the anthology, in which fisrt pages of The Incal"" were released, created?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['England national team'],49679.0,['England'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which internationl football team has had a player endorse the ""Nike Hypervenom"" football boot?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Jean Maurice Eugène Clément Cocteau'],49679.0,['Morgan Llywelyn'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who was born first,  Morgan Llywelyn or Robert Jordan?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Ten Walls'],49679.0,['Ten Walls'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What Lithuanian producer is best known for a song that was one of the most popular songs in Ibiza in 2014?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Caesars Palace Grand Prix'],49679.0,['Caesars Palace Grand Prix'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Former race car driver Jeff Wood made his CART debut at which 1983 Nissan/Datsun-sponsored race?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Phineas and Ferb'],49679.0,['The Suite Life of Zack & Cody'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Candace Flynn was voiced by the actress who achieved mainstream success on what show?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
test,hotpotqa_32k,49679.0, ['Cambridge University'],49679.0,['Cambridge University'],7325.466624,Final Answer: ,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Where did the architect of the Governor's House, located in Knutsford, graduate from college?
",256,0.0,7.325466624,7.325466624,7325.466624,147.456
