uncompressed_kv_memory_gb,question,predicted_answer,memory_budget_unit,retained_context_tokens,task,uncompressed_kv_memory_mb,kv_memory_per_token_kb,context_length,retained_kv_memory_mb,context_tokens,answer,compression_ratio,memory_budget,token_budget,max_new_tokens,retained_kv_memory_gb,answer_prefix
2.015297536,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tsamyl
2. kjsvgb
3. ultalu",GB,15258.0,fwe,2015.297536,65.536,32768,999.948288,30751.0,['tsamyl' 'kjsvgb' 'ultalu'],0.5038210139507658,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.939931136,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tuhrpx, jqafhp, and ustkrw.",GB,15258.0,fwe,1939.931136,65.536,32768,999.948288,29601.0,['tuhrpx' 'jqafhp' 'ustkrw'],0.4845444410661802,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.059993088,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. ueiomi
2. jynvfj
3. uyrfxo",GB,15258.0,fwe,2059.993088,65.536,32768,999.948288,31433.0,['ueiomi' 'jynvfj' 'uyrfxo'],0.5145865809817707,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.034827264,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," uafuav, jszgky, and utolmb.",GB,15258.0,fwe,2034.827264,65.536,32768,999.948288,31049.0,['uafuav' 'jszgky' 'utolmb'],0.5085832071886374,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.023030784,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tgvkhd, izxmvr, udhtfp.",GB,15258.0,fwe,2023.030784,65.536,32768,999.948288,30869.0,['tgvkhd' 'izxmvr' 'udhtfp'],0.5057177103242736,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.031091712,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," sxbyjn, joqdsh, uamnpv.",GB,15258.0,fwe,2031.091712,65.536,32768,999.948288,30992.0,['sxbyjn' 'joqdsh' 'uamnpv'],0.507679401135777,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.982464,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tqggpf
2. jsbnkl
3. uqcvbj",GB,15258.0,fwe,1982.464,65.536,32768,999.948288,30250.0,['tqggpf' 'jsbnkl' 'uqcvbj'],0.495603305785124,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.941962752,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"

1. tskcze
2. jifiht
3. unejer",GB,15258.0,fwe,1941.962752,65.536,32768,999.948288,29632.0,['tskcze' 'jifiht' 'unejer'],0.4850836933045356,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.141126656,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tvcasv, klxlhw, and uushyt.",GB,15258.0,fwe,2141.126656,65.536,32768,999.948288,32671.0,['tvcasv' 'klxlhw' 'uushyt'],0.5329803189372838,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.971191808,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tjsool, kmapsx, ujeuea.",GB,15258.0,fwe,1971.191808,65.536,32768,999.948288,30078.0,['tjsool' 'kmapsx' 'ujeuea'],0.4927189307799721,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.029125632,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"

1. tdhpgl
2. kagiza
3. twjdoo",GB,15258.0,fwe,2029.125632,65.536,32768,999.948288,30962.0,['tdhpgl' 'kagiza' 'twjdoo'],0.507202377107422,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.075066368,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tkuhxi, jqoiak, uowynw.",GB,15258.0,fwe,2075.066368,65.536,32768,999.948288,31663.0,['tkuhxi' 'jqoiak' 'uowynw'],0.5181126235669393,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.04832768,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tqsvko
2. jwzcvg
3. unhqst",GB,15258.0,fwe,2048.32768,65.536,32768,999.948288,31255.0,['tqsvko' 'jwzcvg' 'unhqst'],0.511822108462646,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.041184256,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. swrfml
2. jupfmm
3. ubwrqu",GB,15258.0,fwe,2041.184256,65.536,32768,999.948288,31146.0,['swrfml' 'jupfmm' 'ubwrqu'],0.5101136582546715,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.02276864,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tiqjnk
2. kcziwx
3. ujwtbp",GB,15258.0,fwe,2022.76864,65.536,32768,999.948288,30865.0,['tiqjnk' 'kcziwx' 'ujwtbp'],0.5056536530050219,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.066481152,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tuylvy, jkhhvw, and urnvfc.",GB,15258.0,fwe,2066.481152,65.536,32768,999.948288,31532.0,['tuylvy' 'jkhhvw' 'urnvfc'],0.5161106177851071,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.00704,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tolshv, jyqese, and ulpypr.",GB,15258.0,fwe,2007.04,65.536,32768,999.948288,30625.0,['tolshv' 'jyqese' 'ulpypr'],0.5017795918367347,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.095972352,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tkhiww, kiuobu, ucxvst.",GB,15258.0,fwe,2095.972352,65.536,32768,999.948288,31982.0,['tkhiww' 'kiuobu' 'ucxvst'],0.5229191420173848,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.995702272,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tfmdcn
2. iwustt
3. uhnhea",GB,15258.0,fwe,1995.702272,65.536,32768,999.948288,30452.0,['tfmdcn' 'iwustt' 'uhnhea'],0.4989491659004335,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.95592192,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. swmmom
2. junupb
3. ucwlpm",GB,15258.0,fwe,1955.92192,65.536,32768,999.948288,29845.0,['swmmom' 'junupb' 'ucwlpm'],0.4887585860278103,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.033975296,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. ubzgun
2. jxseyh
3. uupusp",GB,15258.0,fwe,2033.975296,65.536,32768,999.948288,31036.0,['ubzgun' 'jxseyh' 'uupusp'],0.5083773682175539,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.088108032,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," sxttgf, jcdpyd, trlola.",GB,15258.0,fwe,2088.108032,65.536,32768,999.948288,31862.0,['sxttgf' 'jcdpyd' 'trlola'],0.5211223400916452,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.048786432,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tuqpcf, jjszjo, unafot.",GB,15258.0,fwe,2048.786432,65.536,32768,999.948288,31262.0,['tuqpcf' 'jjszjo' 'unafot'],0.5119314183353592,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.9890176,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. sxuwqf
2. khiuol
3. udvqry",GB,15258.0,fwe,1989.0176,65.536,32768,999.948288,30350.0,['sxuwqf' 'khiuol' 'udvqry'],0.4972652388797364,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.050228224,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tllhdg
2. jojajd
3. ukcfdj",GB,15258.0,fwe,2050.228224,65.536,32768,999.948288,31284.0,['tllhdg' 'jojajd' 'ukcfdj'],0.5122746451860376,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.133721088,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. sxkbsg
2. iouhkp
3. uosbxf",GB,15258.0,fwe,2133.721088,65.536,32768,999.948288,32558.0,['sxkbsg' 'iouhkp' 'uosbxf'],0.5313594201118005,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.960771584,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tqcecw
2. jpvudi
3. uudjdj",GB,15258.0,fwe,1960.771584,65.536,32768,999.948288,29919.0,['tqcecw' 'jpvudi' 'uudjdj'],0.490023062268124,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.066153472,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. ugpdfh
2. jxussu
3. vbossy",GB,15258.0,fwe,2066.153472,65.536,32768,999.948288,31527.0,['ugpdfh' 'jxussu' 'vbossy'],0.5160338757255686,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.069495808,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"

1. sspqcq
2. jncpao
3. ttacqa",GB,15258.0,fwe,2069.495808,65.536,32768,999.948288,31578.0,['sspqcq' 'jncpao' 'ttacqa'],0.5168155044651339,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.09092608,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tpyoyz, jlrhaa, uktzia.",GB,15258.0,fwe,2090.92608,65.536,32768,999.948288,31905.0,['tpyoyz' 'jlrhaa' 'uktzia'],0.5217677480018805,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.123104256,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tgmzjy, jkkdsz, ugnpzb.",GB,15258.0,fwe,2123.104256,65.536,32768,999.948288,32396.0,['tgmzjy' 'jkkdsz' 'ugnpzb'],0.5290159278923323,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.11877888,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. sqdsfz
2. jqqtiv
3. uabolb",GB,15258.0,fwe,2118.77888,65.536,32768,999.948288,32330.0,['sqdsfz' 'jqqtiv' 'uabolb'],0.5280544386019177,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.007826432,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"

1. tunzbq
2. jtywfy
3. uxdnje",GB,15258.0,fwe,2007.826432,65.536,32768,999.948288,30637.0,['tunzbq' 'jtywfy' 'uxdnje'],0.5019747364298071,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.03128832,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," trnrid, jwiwws, ulavee.",GB,15258.0,fwe,2031.28832,65.536,32768,999.948288,30995.0,['trnrid' 'jwiwws' 'ulavee'],0.5077270527504436,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.989214208,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tnlccd, kjgpic, uhatfc.",GB,15258.0,fwe,1989.214208,65.536,32768,999.948288,30353.0,['tnlccd' 'kjgpic' 'uhatfc'],0.4973149276842487,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.060976128,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tnkelu
2. jplnpd
3. upuwyt",GB,15258.0,fwe,2060.976128,65.536,32768,999.948288,31448.0,['tnkelu' 'jplnpd' 'upuwyt'],0.5148181124395828,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.79437568,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tlkzeg
2. kautlt
3. ubjlev",GB,15258.0,fwe,1794.37568,65.536,32768,999.948288,27380.0,['tlkzeg' 'kautlt' 'ubjlev'],0.44273192111029946,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
1.9939328,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ," tmsxxu, jgbhao, unddmc.",GB,15258.0,fwe,1993.9328,65.536,32768,999.948288,30425.0,['tmsxxu' 'jgbhao' 'unddmc'],0.4985045193097781,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.044657664,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tpkbtl
2. jnkywg
3. unhnfk",GB,15258.0,fwe,2044.657664,65.536,32768,999.948288,31199.0,['tpkbtl' 'jnkywg' 'unhnfk'],0.5109458636494759,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.043936768,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. tedgxm
2. jlyhlb
3. udhkmi",GB,15258.0,fwe,2043.936768,65.536,32768,999.948288,31188.0,['tedgxm' 'jlyhlb' 'udhkmi'],0.5107733743747596,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
2.044919808,Question: Do not provide any explanation. Please ignore the dots '....'. What are the three most frequently appeared words in the above coded text? ,"
1. titoxe
2. juzfqr
3. urrffg",GB,15258.0,fwe,2044.919808,65.536,32768,999.948288,31203.0,['titoxe' 'juzfqr' 'urrffg'],0.5110085568695317,1.0,15258.0,50,0.999948288,"Answer: According to the coded text above, the three most frequently appeared words are:"
