uncompressed_kv_memory_gb,memory_budget,answer_prefix,memory_budget_unit,max_new_tokens,retained_kv_memory_gb,token_budget,context_id,compression_ratio,context_length,kv_memory_per_token_kb,task,retained_context_tokens,predicted_answer,question,answer,uncompressed_kv_memory_mb,context_tokens,retained_kv_memory_mb
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_7D6246685257,"Query KEY: K_3900A3B1799D
Return only its VALUE.",['V_7D6246685257'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_347ABC8960A9,"Query KEY: K_4771392456DE
Return only its VALUE.",['V_347ABC8960A9'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_2FF807A0CA6E,"Query KEY: K_10456C031199
Return only its VALUE.",['V_2FF807A0CA6E'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_D6CB8B8148F6,"Query KEY: K_771F37F8A88B
Return only its VALUE.",['V_D6CB8B8148F6'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_8E6F96DA1DAC,"Query KEY: K_E5FE386ECBE0
Return only its VALUE.",['V_8E6F96DA1DAC'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_D860B2B9437A,"Query KEY: K_51BECE4A2BBD
Return only its VALUE.",['V_D860B2B9437A'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_6E3D27CD8130,"Query KEY: K_8E45571AA876
Return only its VALUE.",['V_6E3D27CD8130'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_C28517BE3111,"Query KEY: K_3454562B0F79
Return only its VALUE.",['V_C28517BE3111'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_B01AD8F56413,"Query KEY: K_B7CC18C26797
Return only its VALUE.",['V_B01AD8F56413'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_163FCE9FF57F,"Query KEY: K_876F9A8DCA03
Return only its VALUE.",['V_163FCE9FF57F'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_3FE989463E85,"Query KEY: K_EB39BACFB3D0
Return only its VALUE.",['V_3FE989463E85'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_961B8D5288F1,"Query KEY: K_285860E7A113
Return only its VALUE.",['V_961B8D5288F1'],4714.16832,31970.0,1999.945728
4.71416832,2.0,Answer: ,GB,32,1.999945728,13563.0,context_0000,0.57575852361589,31967,147.456,synthetic_kv_32k,13563.0, V_627393CD59BF,"Query KEY: K_B928DC98D2C1
Return only its VALUE.",['V_627393CD59BF'],4714.16832,31970.0,1999.945728
