answers,memory_budget_unit,task,token_budget,compression_ratio,split,answer_prefix,predicted_answer,memory_budget,retained_kv_memory_mb,retained_context_tokens,uncompressed_kv_memory_gb,uncompressed_kv_memory_mb,context_tokens,question,retained_kv_memory_gb,max_new_tokens,kv_memory_per_token_kb
"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",GB,qampari_32k,27126.0,0.4412540166433221,dev,Final Answer: , ['Senior British Open Championship'],4.0,3999.891456,27126.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
",3.999891456,256,147.456
"['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",GB,qampari_32k,27126.0,0.4412540166433221,dev,Final Answer: , ['The Little Humpbacked Horse'],4.0,3999.891456,27126.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
",3.999891456,256,147.456
"['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",GB,qampari_32k,27126.0,0.4412540166433221,dev,Final Answer: , ['Tamar River'],4.0,3999.891456,27126.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
",3.999891456,256,147.456
['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],GB,qampari_32k,27126.0,0.4412540166433221,dev,Final Answer: , [''],4.0,3999.891456,27126.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
",3.999891456,256,147.456
"['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",GB,qampari_32k,27126.0,0.4412540166433221,dev,Final Answer: , ['The Hound of Florence'],4.0,3999.891456,27126.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
",3.999891456,256,147.456
"['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",GB,qampari_32k,27126.0,0.4412540166433221,dev,Final Answer: , ['Gregory Benford'],4.0,3999.891456,27126.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
",3.999891456,256,147.456
"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",GB,qampari_32k,27126.0,0.4412540166433221,dev,Final Answer: , ['Teri Greeves'],4.0,3999.891456,27126.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
",3.999891456,256,147.456
['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],GB,qampari_32k,27126.0,0.4412540166433221,dev,Final Answer: , ['Min Aung Hlaing'],4.0,3999.891456,27126.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
",3.999891456,256,147.456
"['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",GB,qampari_32k,27126.0,0.4412540166433221,dev,Final Answer: , ['George A. Berlinghof'],4.0,3999.891456,27126.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
",3.999891456,256,147.456
"['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",GB,qampari_32k,27126.0,0.4412540166433221,dev,Final Answer: ," ['The Hound of Florence', 'The Story About Ping']",4.0,3999.891456,27126.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
",3.999891456,256,147.456
