memory_budget,task,retained_kv_memory_mb,uncompressed_kv_memory_gb,question,uncompressed_kv_memory_mb,kv_memory_per_token_kb,split,answer_prefix,retained_kv_memory_gb,max_new_tokens,context_tokens,memory_budget_unit,retained_context_tokens,token_budget,compression_ratio,predicted_answer,answers
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How many times did plague occur in the birth city of the composer of Nulla in mundo pax sincera?
",17613.029376,147.456,dev,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131,22,['22']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does seal stand for in the U.S. military branch that operates a list of destroyer classes and the USS Stag?
",17613.029376,147.456,dev,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131," ['Seal stands for ""Specialized Equipment and Logistics"" in the U.S. military branch that operates a list of destroyer classes and the USS Stag']","['Sea, Air, and Land']"
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the political party Alaska generally supports take control of the determiner of rules of the US House and US Senate?
",17613.029376,147.456,dev,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['1968'],['January 2015']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who won the 1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county?
",17613.029376,147.456,dev,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['Randy Halasan'],['Mario Andretti']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?
",17613.029376,147.456,dev,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['Grambling'],['Green Bay']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?
",17613.029376,147.456,dev,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['the Puerto Rico Trench'],['Milwaukee Deep']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the largest medical school in the nation where, along with the country of citizenship of the mother of Marie Antoinette, many expelled French Jews relocated?
",17613.029376,147.456,dev,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['University of Paris'],['Medical University of Warsaw']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what region of Germany is the district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra?
",17613.029376,147.456,dev,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['Baden-Württemberg'],['Saxony-Anhalt']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who runs the school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?
",17613.029376,147.456,dev,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['The Ministry of Education of the country'],['the Ministry of Education']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?
",17613.029376,147.456,dev,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['University of the state having Fort Hill'],['University of South Carolina']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the great mosque constructed at the site of the old temple in the city originating christianity in Rome, Egypt, Judea and the country for Vasilopita?
",17613.029376,147.456,test,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131," ['St. Peter's Basilica', 'Egypt', 'Judea', 'Somali']",['Al - Aqsa Mosque']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What label was bought in the UK by the other major New York broadcast that is in addition to ABC, and the one who released Stand Against Fear?
",17613.029376,147.456,test,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['Sony Music'],['Oriole Records.']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the rx 350 model of the luxury division of the company that built Daihatsu boon change body style?
",17613.029376,147.456,test,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['2012'],['Sales began worldwide in April 2012']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to die?
",17613.029376,147.456,test,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131,1952,['1952']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What UK label was bought by the company which, along with ABC and the network which broadcasted Hello, Larry, is the other major broadcaster based in NY?
",17613.029376,147.456,test,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['EMI'],['Oriole Records.']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the country where Siddhi Savetsila was born form an alliance with Japan?
",17613.029376,147.456,test,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['1941'],['1941']
4.0,musique_128k,3999.891456,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The Beach was filmed in what location of the country that contains the birth city of Siddhi Savetsila?
",17613.029376,147.456,test,Final Answer: ,3.999891456,256,119446.0,GB,27126.0,27126.0,0.7729015622122131, ['the Taoyuankou area of the city of Quanzhou'],['island Koh Phi Phi']
