uncompressed_kv_memory_gb,retained_context_tokens,answers,retained_kv_memory_mb,predicted_answer,context_tokens,question,task,compression_ratio,memory_budget,kv_memory_per_token_kb,uncompressed_kv_memory_mb,memory_budget_unit,max_new_tokens,split,answer_prefix,token_budget,retained_kv_memory_gb
2.937716736,30517.0,['Tyrion Lannister'],1999.962112,404 Not Found,44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what's the dwarf's name in game of thrones
",nq_32k,0.3192120644268951,2.0,65.536,2937.716736,GB,256,dev,Final Answer: ,30517.0,1.999962112
2.937716736,30517.0,['Judith Cynthia Aline Keppel'],1999.962112," ['Judith Keppel']

Based on the document:
TITLE: Judith Keppel | ID: 219
CONTENT: ""Judith Cynthia Aline Keppel (born 18 August 1942)[2] was the first one-million-pound winner on the television game show Who Wants to Be a Millionaire? in the United Kingdom.""",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first who wants to be a millionaire winner uk
",nq_32k,0.3192120644268951,2.0,65.536,2937.716736,GB,256,dev,Final Answer: ,30517.0,1.999962112
2.937716736,30517.0,['Crick' 'Watson'],1999.962112,"1. The provided documents do not contain information about who proposed the first accurate model of DNA. Document 264 mentions that ""The deciphering of the structure of DNA by Watson and Crick in 1953 suggested that each strand of the double helix would serve as a template..."", but it does not explicitly state they proposed the *first accurate model* in the context of the query, nor does it provide a definitive answer to ""who proposed"" it as a primary fact in the text provided. However, based on general knowledge often associated with the mention of Watson and Crick in Document 264, the answer is typically attributed to them. But strictly adhering to the text provided:

Document 264 (Semiconservative replication) states: ""The deciphering of the structure of DNA by Watson and Crick in 1953 suggested that each strand of the double helix would serve as a template for synthesis of a new strand.""

While the text mentions Watson and Crick deciphering the structure, it does not explicitly phrase it as ""proposing the first accurate model"". However, in the context of reading comprehension questions based on these snippets, the intended answer derived from the mention of ""deciphering the structure",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who proposed the first accurate model of dna
",nq_32k,0.3192120644268951,2.0,65.536,2937.716736,GB,256,dev,Final Answer: ,30517.0,1.999962112
2.937716736,30517.0,['Jason Paige'],1999.962112," ['Jason Paige']

**Document Used:**
TITLE: Jason Paige | ID: 152",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sings the pokemon theme song season 1
",nq_32k,0.3192120644268951,2.0,65.536,2937.716736,GB,256,dev,Final Answer: ,30517.0,1.999962112
2.937716736,30517.0,['Mary Elizabeth Patterson'],1999.962112," ['Mary Elizabeth Patterson']

Based on the document:
TITLE: Elizabeth Patterson (actress) | ID: 167
CONTENT: Mary Elizabeth Patterson (November 22, 1874 â€“ January 31, 1966) was an American theatre, film, and television character actress who gained popular recognition late in her career playing the elderly neighbor Matilda Trumbull on the television comedy series I Love Lucy.[1]",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played mrs. trumbull on i love lucy
",nq_32k,0.3192120644268951,2.0,65.536,2937.716736,GB,256,dev,Final Answer: ,30517.0,1.999962112
2.937716736,30517.0,['AD 95–110' 'probably written in Ephesus'],1999.962112,"1 John was probably written in Ephesus in AD 95–110.

TITLE: First Epistle of John | ID: 270

Final Answer: ['AD 95–110']",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the first epistle of john written
",nq_32k,0.3192120644268951,2.0,65.536,2937.716736,GB,256,dev,Final Answer: ,30517.0,1.999962112
2.937716736,30517.0,['Wisconsin'],1999.962112," ['Wisconsin']

**Document Used:**
TITLE: Colby cheese | ID: 236",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: colby chees is named after a town in what state
",nq_32k,0.3192120644268951,2.0,65.536,2937.716736,GB,256,dev,Final Answer: ,30517.0,1.999962112
2.937716736,30517.0,['Dragon Ball GT'],1999.962112,1996,44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did goku first go super saiyan 4
",nq_32k,0.3192120644268951,2.0,65.536,2937.716736,GB,256,dev,Final Answer: ,30517.0,1.999962112
2.937716736,30517.0,['Richard Stallman'],1999.962112," ['Richard Stallman']

Based on the document:
TITLE: GNU/Linux naming controversy | ID: 273
Content: ""GNU/Linux is a term promoted by the Free Software Foundation (FSF) and its founder Richard Stallman."" and ""GNU is a longstanding project begun in 1984 to develop a free operating system."" (The document attributes the promotion and the project's philosophy to Richard Stallman).",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is given credit for the gnu initiative
",nq_32k,0.3192120644268951,2.0,65.536,2937.716736,GB,256,dev,Final Answer: ,30517.0,1.999962112
2.937716736,30517.0,['Idaho'],1999.962112," ['Idaho']

Based on the document:
TITLE: Montana | ID: 192
CONTENT: ""Montana is one of the nine Mountain States, located in the north of the region known as the Western United States. It borders North Dakota and South Dakota to the east. Wyoming is to the south, Idaho is to the west and southwest, [15] and three Canadian provinces, British Columbia, Alberta, and Saskatchewan, are to the north.""

The document states that Idaho is to the west and southwest of Montana. Therefore, Idaho forms the western boundary.",44826.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what us state forms the western boundary of montana
",nq_32k,0.3192120644268951,2.0,65.536,2937.716736,GB,256,dev,Final Answer: ,30517.0,1.999962112
