retained_context_tokens,memory_budget,split,answer_prefix,predicted_answer,token_budget,answers,memory_budget_unit,retained_kv_memory_mb,context_tokens,kv_memory_per_token_kb,question,uncompressed_kv_memory_mb,retained_kv_memory_gb,task,compression_ratio,max_new_tokens,uncompressed_kv_memory_gb
13563.0,2.0,dev,Final Answer: ,2010 Senior Open Championship,13563.0,"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",GB,1999.945728,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
",17723.031552,1.999945728,qampari_128k,0.8871555511182109,256,17.723031552
13563.0,2.0,dev,Final Answer: ," ['Estradiol valerate/hydroxyprogesterone caproate', 'Estradiol benzoate/hydroxyprogesterone caproate', 'Estradiol benzoate/estradiol valerate/hydroxyprogesterone caproate']",13563.0,"['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",GB,1999.945728,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
",17723.031552,1.999945728,qampari_128k,0.8871555511182109,256,17.723031552
13563.0,2.0,dev,Final Answer: ,644,13563.0,"['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",GB,1999.945728,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
",17723.031552,1.999945728,qampari_128k,0.8871555511182109,256,17.723031552
13563.0,2.0,dev,Final Answer: , ['SS Tellus (1911)'],13563.0,['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],GB,1999.945728,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
",17723.031552,1.999945728,qampari_128k,0.8871555511182109,256,17.723031552
13563.0,2.0,dev,Final Answer: ," ['Allein zu dir, Herr Jesu Christ, BWV 33']",13563.0,"['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",GB,1999.945728,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
",17723.031552,1.999945728,qampari_128k,0.8871555511182109,256,17.723031552
13563.0,2.0,dev,Final Answer: , ['Conquered Kingdoms'],13563.0,"['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",GB,1999.945728,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
",17723.031552,1.999945728,qampari_128k,0.8871555511182109,256,17.723031552
13563.0,2.0,dev,Final Answer: , ['Joey Cape'],13563.0,"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",GB,1999.945728,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
",17723.031552,1.999945728,qampari_128k,0.8871555511182109,256,17.723031552
13563.0,2.0,dev,Final Answer: , ['Maung Maung Ohn'],13563.0,['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],GB,1999.945728,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
",17723.031552,1.999945728,qampari_128k,0.8871555511182109,256,17.723031552
13563.0,2.0,dev,Final Answer: ," ['The Dr. A.O. Thomas House', 'The Franklin County Courthouse (Nebraska)']",13563.0,"['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",GB,1999.945728,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
",17723.031552,1.999945728,qampari_128k,0.8871555511182109,256,17.723031552
13563.0,2.0,dev,Final Answer: , ['The Doctor (Doctor Who)'],13563.0,"['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",GB,1999.945728,120192.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
",17723.031552,1.999945728,qampari_128k,0.8871555511182109,256,17.723031552
