memory_budget,retained_context_tokens,task,uncompressed_kv_memory_gb,answer_prefix,predicted_answer,kv_memory_per_token_kb,token_budget,compression_ratio,context_length,retained_kv_memory_mb,memory_budget_unit,context_tokens,retained_kv_memory_gb,context_id,question,uncompressed_kv_memory_mb,answer,max_new_tokens
4096.0,27777.0,synthetic_kv_64k,8.622784512,,BDD606671AD1,147.456,27777.0,0.5249927321853036,62995,4095.885312,MB,58477.0,4.095885312,context_0000,What is the value associated with key 1C80A3B1799D? Return only the value.,8622.784512,['BDD606671AD1'],32
4096.0,27777.0,synthetic_kv_64k,8.622784512,,B3B8392456DE,147.456,27777.0,0.5249927321853036,62995,4095.885312,MB,58477.0,4.095885312,context_0000,What is the value associated with key 3EB146685257? Return only the value.,8622.784512,['23B8392456DE'],32
4096.0,27777.0,synthetic_kv_64k,8.622784512,,BD9CAD3C2D6D,147.456,27777.0,0.5249927321853036,62995,4095.885312,MB,58477.0,4.095885312,context_0000,What is the value associated with key 1A3DBC8960A9? Return only the value.,8622.784512,['BD9CAD3C2D6D'],32
4096.0,27777.0,synthetic_kv_64k,8.622784512,,972A16419F82,147.456,27777.0,0.5249927321853036,62995,4095.885312,MB,58477.0,4.095885312,context_0000,What is the value associated with key 8B9DE465E150? Return only the value.,8622.784512,['972A16419F82'],32
4096.0,27777.0,synthetic_kv_64k,8.622784512,,CA624355884C,147.456,27777.0,0.5249927321853036,62995,4095.885312,MB,58477.0,4.095885312,context_0000,What is the value associated with key 08226C031199? Return only the value.,8622.784512,['17FC07A0CA6E'],32
4096.0,27777.0,synthetic_kv_64k,8.622784512,,5048BF7750A8,147.456,27777.0,0.5249927321853036,62995,4095.885312,MB,58477.0,4.095885312,context_0000,What is the value associated with key 3B8F37F8A88B? Return only the value.,8622.784512,['9A1D815EF6D1'],32
4096.0,27777.0,synthetic_kv_64k,8.622784512,,45E739681C81,147.456,27777.0,0.5249927321853036,62995,4095.885312,MB,58477.0,4.095885312,context_0000,What is the value associated with key 8FAD06CB0FB3? Return only the value.,8622.784512,['B74D32E70629'],32
4096.0,27777.0,synthetic_kv_64k,8.622784512,,4F4B814848F6,147.456,27777.0,0.5249927321853036,62995,4095.885312,MB,58477.0,4.095885312,context_0000,What is the value associated with key B38AA65ED389? Return only the value.,8622.784512,['6B658B8148F6'],32
4096.0,27777.0,synthetic_kv_64k,8.622784512,,473796DA1DAC,147.456,27777.0,0.5249927321853036,62995,4095.885312,MB,58477.0,4.095885312,context_0000,What is the value associated with key 72FF386ECBE0? Return only the value.,8622.784512,['473796DA1DAC'],32
4096.0,27777.0,synthetic_kv_64k,8.622784512,,C24101A9E71F,147.456,27777.0,0.5249927321853036,62995,4095.885312,MB,58477.0,4.095885312,context_0000,What is the value associated with key DE8ACF36D58B? Return only the value.,8622.784512,['C24101A9E71F'],32
