task,retained_kv_memory_mb,uncompressed_kv_memory_gb,question,uncompressed_kv_memory_mb,kv_memory_per_token_kb,split,max_new_tokens,answer_prefix,retained_kv_memory_gb,context_tokens,retained_context_tokens,compression_ratio,predicted_answer,answers
musique_128k,17613.029376,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How many times did plague occur in the birth city of the composer of Nulla in mundo pax sincera?
",17613.029376,147.456,dev,256,Final Answer: ,17.613029376,119446.0,119446.0,0.0,22,['22']
musique_128k,17613.029376,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does seal stand for in the U.S. military branch that operates a list of destroyer classes and the USS Stag?
",17613.029376,147.456,dev,256,Final Answer: ,17.613029376,119446.0,119446.0,0.0," ['Seal stands for ""Special Operations Seal Team""']","['Sea, Air, and Land']"
musique_128k,17613.029376,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the political party Alaska generally supports take control of the determiner of rules of the US House and US Senate?
",17613.029376,147.456,dev,256,Final Answer: ,17.613029376,119446.0,119446.0,0.0, ['1964'],['January 2015']
musique_128k,17613.029376,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who won the 1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county?
",17613.029376,147.456,dev,256,Final Answer: ,17.613029376,119446.0,119446.0,0.0, ['David Kristian'],['Mario Andretti']
musique_128k,17613.029376,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?
",17613.029376,147.456,dev,256,Final Answer: ,17.613029376,119446.0,119446.0,0.0, ['Augusta'],['Green Bay']
musique_128k,17613.029376,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?
",17613.029376,147.456,dev,256,Final Answer: ,17.613029376,119446.0,119446.0,0.0, ['the Puerto Rico Trench'],['Milwaukee Deep']
musique_128k,17613.029376,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the largest medical school in the nation where, along with the country of citizenship of the mother of Marie Antoinette, many expelled French Jews relocated?
",17613.029376,147.456,dev,256,Final Answer: ,17.613029376,119446.0,119446.0,0.0, ['University of Paris'],['Medical University of Warsaw']
musique_128k,17613.029376,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what region of Germany is the district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra?
",17613.029376,147.456,dev,256,Final Answer: ,17.613029376,119446.0,119446.0,0.0, ['Baden-Württemberg'],['Saxony-Anhalt']
musique_128k,17613.029376,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who runs the school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?
",17613.029376,147.456,dev,256,Final Answer: ,17.613029376,119446.0,119446.0,0.0, ['The Ministry of Education of the country that hosted the tournament'],['the Ministry of Education']
musique_128k,17613.029376,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?
",17613.029376,147.456,dev,256,Final Answer: ,17.613029376,119446.0,119446.0,0.0, ['University of the state having Fort Hill'],['University of South Carolina']
