context_tokens,memory_budget_unit,uncompressed_kv_memory_mb,predicted_answer,answers,compression_ratio,kv_memory_per_token_kb,uncompressed_kv_memory_gb,answer_prefix,max_new_tokens,token_budget,memory_budget,retained_context_tokens,retained_kv_memory_gb,task,split,question,retained_kv_memory_mb
44955.0,GB,6628.88448," ['Jorah Mormont', 'Daenerys Targaryen', 'Tyrion Lannister', 'Jon Snow', 'Arya Stark']",['Tyrion Lannister'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what's the dwarf's name in game of thrones
",999.899136
44955.0,GB,6628.88448, ['Judith Cynthia Aline Keppel'],['Judith Cynthia Aline Keppel'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first who wants to be a millionaire winner uk
",999.899136
44955.0,GB,6628.88448, ['James Watson and Francis Crick'],['Crick' 'Watson'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who proposed the first accurate model of dna
",999.899136
44955.0,GB,6628.88448, ['The Pokémon theme song for season 1 is sung by the Japanese band The Yellow Magic Orchestra.'],['Jason Paige'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sings the pokemon theme song season 1
",999.899136
44955.0,GB,6628.88448, ['Elizabeth Patterson'],['Mary Elizabeth Patterson'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played mrs. trumbull on i love lucy
",999.899136
44955.0,GB,6628.88448, ['First Epistle of John'],['AD 95–110' 'probably written in Ephesus'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the first epistle of john written
",999.899136
44955.0,GB,6628.88448, ['Wisconsin'],['Wisconsin'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: colby chees is named after a town in what state
",999.899136
44955.0,GB,6628.88448," ['Goku's Super Saiyan 4 appearance was designed by Katsuyoshi Nakatsuru, and the technique was introduced in the show's production around 2005.']",['Dragon Ball GT'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did goku first go super saiyan 4
",999.899136
44955.0,GB,6628.88448, ['Richard Stallman'],['Richard Stallman'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is given credit for the gnu initiative
",999.899136
44955.0,GB,6628.88448, ['Wyoming'],['Idaho'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what us state forms the western boundary of montana
",999.899136
44955.0,GB,6628.88448, ['The query is not addressed in the provided documents.'],['the following day'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does monday night raw come on hulu
",999.899136
44955.0,GB,6628.88448, ['Spain'],['Spain' 'Taíno' 'indigenous Taíno people'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who did puerto rico belong to before the u.s
",999.899136
44955.0,GB,6628.88448, ['1997'],"['September 13, 2012']",0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did season 4 of glee come out
",999.899136
44955.0,GB,6628.88448, ['Haliaeetus'],['Haliaeetus'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the genus of a bald eagle
",999.899136
44955.0,GB,6628.88448," ['RMS Titanic', 'Edinburgh Festival Fringe', 'Manhattan Project', 'Pay Commission', 'Serial (literature)']","[""Kobol's Last Gleaming""]",0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does boomer find out she a cylon
",999.899136
44955.0,GB,6628.88448, ['Simba'],['Nala'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what is the female lion called in lion king
",999.899136
44955.0,GB,6628.88448, ['Christopher Lloyd'],['Christopher Lloyd'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who plays the woodsman in over the garden wall
",999.899136
44955.0,GB,6628.88448, ['Charlotte of Mecklenburg-Strelitz'],['Charlotte of Mecklenburg-Strelitz'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who introduced the first chrismas tree to the uk
",999.899136
44955.0,GB,6628.88448, ['Judy Bluestein'],['Glenn Close'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played cruella de vil in 101 dalmatians
",999.899136
44955.0,GB,6628.88448, ['The Ramones'],['the Ramones'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sang the song i wanna be sedated
",999.899136
44955.0,GB,6628.88448, ['7'],['at least seven' 'at least seven players' 'seven'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: how many players on the line of scrimmage in american football
",999.899136
44955.0,GB,6628.88448," ['on Sunday, August 11, 1991']",['September 1972'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did the tv show the waltons first air
",999.899136
44955.0,GB,6628.88448, ['Henry'],['Hook'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is emma dating in once upon a time
",999.899136
44955.0,GB,6628.88448, ['The information about when the Giants won the Super Bowl is not provided in the given documents.'],['2011'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the last time giants won superbowl
",999.899136
44955.0,GB,6628.88448, ['The sun hits the US first in the state of Arizona.'],['the summit of Cadillac Mountain'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where does the sun hit the us first
",999.899136
44955.0,GB,6628.88448, ['Ministry of Corporate Affairs'],['Indian government'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is the authority or governing body of mca
",999.899136
44955.0,GB,6628.88448," ['the primal rib, one of the nine primal cuts of beef']",['the primal rib'],0.8491602713824936,147.456,6.62888448,Final Answer: ,256,6781.0,1.0,6781.0,0.999899136,nq_32k,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: where does prime rib come from on a cow
",999.899136
