split,context_tokens,predicted_answer,question,uncompressed_kv_memory_gb,task,compression_ratio,memory_budget_unit,kv_memory_per_token_kb,memory_budget,max_new_tokens,token_budget,answers,uncompressed_kv_memory_mb,retained_kv_memory_gb,retained_context_tokens,retained_kv_memory_mb,answer_prefix
dev,121232.0," There is no direct information provided about the manufacturer of the car used by the Ford CD2 platform's design inspiration. However, based on the given document:

- **TITLE**: Ford CD2
- **ID**: 1

The Ford CD2 platform's design inspiration is not explicitly mentioned.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the manufacturer of the car used by the Ford CD2 platform's design inspiration?
",17.876385792,hotpotqa_128k,0.9856803484228587,MB,147.456,256.0,256,1736.0,['Mazda'],17876.385792,0.255983616,1736.0,255.983616,Final Answer: 
dev,121232.0,"000017 - ""Chino Moreno: The Evolution of a Musician""  
000018 - ""Kim Wilson: The Man Behind the Music""  

**Answer:**  
Kim Wilson has played in more bands than Chino Moreno.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How has played in more bands, Kim Wilson or Chino Moreno?
",17.876385792,hotpotqa_128k,0.9856803484228587,MB,147.456,256.0,256,1736.0,['Chino Moreno'],17876.385792,0.255983616,1736.0,255.983616,Final Answer: 
dev,121232.0," The Greatest Game Ever Played was released first.

Title: The Greatest Game Ever Played  
ID: 1  

Title: Hot Lead and Cold Feet  
ID: 2","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?
",17.876385792,hotpotqa_128k,0.9856803484228587,MB,147.456,256.0,256,1736.0,['Hot Lead and Cold Feet'],17876.385792,0.255983616,1736.0,255.983616,Final Answer: 
dev,121232.0,"1973 Academy Award Nominee for Best Supporting Actor in ""The Heartbreak Kid"" who also appeared in ""Evening in Byzantium"" is **Donald Moffat**.

- **Title**: The Heartbreak Kid  
- **ID**: 1973-001  

- **Title**: Evening in Byzantium  
- **ID**: 1973-002","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid""?
",17.876385792,hotpotqa_128k,0.9856803484228587,MB,147.456,256.0,256,1736.0,['Edward Albert Heimberger'],17876.385792,0.255983616,1736.0,255.983616,Final Answer: 
dev,121232.0," No, Scott Derrickson and Ed Wood were not of the same nationality.

- **Title**: ""Scott Derrickson""  
  **ID**: 1  

- **Title**: ""Ed Wood""  
  **ID**: 2","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Were Scott Derrickson and Ed Wood of the same nationality?
",17.876385792,hotpotqa_128k,0.9856803484228587,MB,147.456,256.0,256,1736.0,['yes'],17876.385792,0.255983616,1736.0,255.983616,Final Answer: 
dev,121232.0,"1. **Title:** Osmunda  
   **ID:** 1  
   The most numerous species is **Osmunda**.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which species is the most numerous, Podocarpus or Osmunda?
",17.876385792,hotpotqa_128k,0.9856803484228587,MB,147.456,256.0,256,1736.0,['Podocarpus'],17876.385792,0.255983616,1736.0,255.983616,Final Answer: 
dev,121232.0," The word or phrase ""cockfighting"" is found in both the history of Belgium and cockfighting.

- TITLE: History of Belgium  
  ID: 1

- TITLE: Cockfighting  
  ID: 2","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What word or phrase is found in both the history of Belgium and cockfighting?
",17.876385792,hotpotqa_128k,0.9856803484228587,MB,147.456,256.0,256,1736.0,['cockpit'],17876.385792,0.255983616,1736.0,255.983616,Final Answer: 
dev,121232.0,"12

**Title:** American Dad Finale Air Date  
**ID:** 12  

The eleventh season's finale of *American Dad* aired on a Wednesday.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: On what day of the week did the eleventh season's finale of American Dad air?
",17.876385792,hotpotqa_128k,0.9856803484228587,MB,147.456,256.0,256,1736.0,['Sunday'],17876.385792,0.255983616,1736.0,255.983616,Final Answer: 
dev,121232.0,"2008 IIHF World Championship rosters recognized the top defenceman as **Dustin Brown**.

- **Title**: 2008 IIHF World Championship Rosters
- **ID**: 2008-IIHF-World-Championship-Rosters","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?
",17.876385792,hotpotqa_128k,0.9856803484228587,MB,147.456,256.0,256,1736.0,['Brent Burns'],17876.385792,0.255983616,1736.0,255.983616,Final Answer: 
dev,121232.0," The main flavor of both soft drinks, Solo from Norway and Sunkist, is lemon.

Title: Sunkist  
ID: 2

Title: Solo (drink)  
ID: 1","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the main flavor of both soft drinks, Solo from Norway, and Sunkist?
",17.876385792,hotpotqa_128k,0.9856803484228587,MB,147.456,256.0,256,1736.0,['orange'],17876.385792,0.255983616,1736.0,255.983616,Final Answer: 
