context_length,answer,retained_kv_memory_mb,task,question,retained_kv_memory_gb,answer_prefix,max_new_tokens,kv_memory_per_token_kb,compression_ratio,retained_context_tokens,uncompressed_kv_memory_gb,predicted_answer,uncompressed_kv_memory_mb,context_tokens
32768,['France' 'France' 'France' 'France'],2052.063232,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: In what country is Normandy located? ",2.052063232,Answer:,32,65.536,0.0,31312.0,2.052063232, France,2052.063232,31312.0
32768,"['10th and 11th centuries' 'in the 10th and 11th centuries'
 '10th and 11th centuries' '10th and 11th centuries']",2217.73824,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When were the Normans in Normandy? ",2.21773824,Answer:,32,65.536,0.0,33840.0,2.21773824, 10th and 11th centuries,2217.73824,33840.0
32768,"['Denmark, Iceland and Norway' 'Denmark, Iceland and Norway'
 'Denmark, Iceland and Norway' 'Denmark, Iceland and Norway']",2151.677952,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: From which countries did the Norse originate? ",2.151677952,Answer:,32,65.536,0.0,32832.0,2.151677952," Denmark, Iceland and Norway",2151.677952,32832.0
32768,['Rollo' 'Rollo' 'Rollo' 'Rollo'],2202.861568,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the Norse leader? ",2.202861568,Answer:,32,65.536,0.0,33613.0,2.202861568, Rollo,2202.861568,33613.0
32768,['10th century' 'the first half of the 10th century' '10th' '10th'],2198.142976,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What century did the Normans first gain their separate identity? ",2.198142976,Answer:,32,65.536,0.0,33541.0,2.198142976, 10th century,2198.142976,33541.0
32768,['William the Conqueror' 'William the Conqueror' 'William the Conqueror'],2097.610752,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the duke in the battle of Hastings? ",2.097610752,Answer:,32,65.536,0.0,32007.0,2.097610752, Duke William II of Normandy,2097.610752,32007.0
32768,['Richard I' 'Richard I' 'Richard I'],2148.27008,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who ruled the duchy of Normandy ",2.14827008,Answer:,32,65.536,0.0,32780.0,2.14827008," Rollo, Richard I of Normandy, and William II of Normandy.",2148.27008,32780.0
32768,['Catholic' 'Catholic orthodoxy' 'Catholic'],2228.224,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What religion were the Normans ",2.228224,Answer:,32,65.536,0.0,34000.0,2.228224, Catholicism (Christianity),2228.224,34000.0
32768,"['Viking' 'Norseman, Viking' 'Norseman, Viking']",2192.113664,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the original meaning of the word Norman? ",2.192113664,Answer:,32,65.536,0.0,33449.0,2.192113664," Norseman, Viking",2192.113664,33449.0
32768,['9th century' '9th century' '9th century'],2167.341056,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When was the Latin version of the word Norman first recorded? ",2.167341056,Answer:,32,65.536,0.0,33071.0,2.167341056, 9th century,2167.341056,33071.0
32768,['911' '911' '911'],2169.372672,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When was the Duchy of Normandy founded? ",2.169372672,Answer:,32,65.536,0.0,33102.0,2.169372672, 911,2169.372672,33102.0
32768,['King Charles III' 'King Charles III' 'King Charles III'],2212.626432,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who did Rollo sign the treaty of Saint-Clair-sur-Epte with? ",2.212626432,Answer:,32,65.536,0.0,33762.0,2.212626432, King Charles III of West Francia,2212.626432,33762.0
32768,['Seine' 'Epte' 'Seine'],2147.418112,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What river originally bounded the Duchy ",2.147418112,Answer:,32,65.536,0.0,32767.0,2.147418112, The river Epte,2147.418112,32767.0
32768,['Rollo' 'Rollo' 'Rollo'],2101.215232,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who upon arriving gave the original viking settlers a common identity? ",2.101215232,Answer:,32,65.536,0.0,32062.0,2.101215232, Rollo,2101.215232,32062.0
32768,['Catholicism' 'Catholicism' 'Catholicism'],2149.25312,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the Norman religion? ",2.14925312,Answer:,32,65.536,0.0,32795.0,2.14925312, Catholicism (Christianity),2149.25312,32795.0
32768,['north' 'the north' 'north'],2147.9424,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What part of France were the Normans located? ",2.1479424,Answer:,32,65.536,0.0,32775.0,2.1479424," The Normans were located in Normandy, a region in the north of France.",2147.9424,32775.0
32768,['fighting horsemen' 'fighting horsemen' 'fighting horsemen'],2051.2768,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was one of the Norman's major exports? ",2.0512768,Answer:,32,65.536,0.0,31300.0,2.0512768, fighting horsemen,2051.2768,31300.0
32768,"['Seljuk Turks'
 'the Pechenegs, the Bulgars, and especially the Seljuk Turks'
 'the Seljuk Turks']",2139.42272,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia? ",2.13942272,Answer:,32,65.536,0.0,32645.0,2.13942272," The Pechenegs, the Bulgars, and especially the Seljuk Turks.",2139.42272,32645.0
32768,['1050s' 'in the 1050s' 'in the 1050s'],2165.768192,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When did Herve serve as a Byzantine general? ",2.165768192,Answer:,32,65.536,0.0,33047.0,2.165768192, in the 1050s,2165.768192,33047.0
32768,['1060s' 'In the 1060s' 'In the 1060s'],2220.35968,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When did Robert Crispin go up against the Turks? ",2.22035968,Answer:,32,65.536,0.0,33880.0,2.22035968, In the 1060s,2220.35968,33880.0
32768,['Alexius Komnenos' 'Alexius Komnenos' 'Alexius Komnenos'],2214.068224,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who ruined Roussel de Bailleul's plans for an independent state? ",2.214068224,Answer:,32,65.536,0.0,33784.0,2.214068224, The Byzantine general Alexius Komnenos,2214.068224,33784.0
32768,['Afranji' 'Afranji' 'Afranji'],2227.044352,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the name of the Norman castle? ",2.227044352,Answer:,32,65.536,0.0,33982.0,2.227044352, Trim Castle and Dublin Castle,2227.044352,33982.0
32768,['Oursel' 'Oursel' 'Oursel'],2053.373952,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the leader when the Franks entered the Euphrates valley? ",2.053373952,Answer:,32,65.536,0.0,31332.0,2.053373952, A Norman named Oursel,2053.373952,31332.0
32768,['Turkish forces' 'Turkish forces' 'Turkish forces'],2071.330816,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who did the Normans team up with in Anatolia? ",2.071330816,Answer:,32,65.536,0.0,31606.0,2.071330816, Turkish forces,2071.330816,31606.0
32768,"['Norman mercenary' 'an Italo-Norman named Raoul'
 'descended from an Italo-Norman named Raoul']",2107.179008,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What were the origins of the Raouliii family? ",2.107179008,Answer:,32,65.536,0.0,32153.0,2.107179008, The Raoulii were descended from an Italo-Norman named Raoul.,2107.179008,32153.0
32768,['Robert Guiscard' 'Robert Guiscard' 'Robert Guiscard'],2152.988672,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the name of the count of Apulia  ",2.152988672,Answer:,32,65.536,0.0,32852.0,2.152988672, Robert Guiscard,2152.988672,32852.0
32768,['1082' 'February 1082' 'February 1082'],2133.52448,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When did Dyrrachium  fall to the Normans? ",2.13352448,Answer:,32,65.536,0.0,32555.0,2.13352448, February 1082,2133.52448,32555.0
32768,"['30,000' '30,000' '30,000']",2188.509184,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: How many men were in Robert's army? ",2.188509184,Answer:,32,65.536,0.0,33394.0,2.188509184," 30,000",2188.509184,33394.0
32768,['Deabolis' 'Deabolis' 'Deabolis'],2219.573248,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Where did the Normans and Byzantines sign the peace treaty? ",2.219573248,Answer:,32,65.536,0.0,33868.0,2.219573248, the city of Deabolis,2219.573248,33868.0
32768,['Bohemond' 'Bohemond' 'Bohemond'],2100.297728,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was Robert's son? ",2.100297728,Answer:,32,65.536,0.0,32048.0,2.100297728, Bohemond,2100.297728,32048.0
32768,['Deabolis' 'the river Deabolis' 'Deabolis'],2127.822848,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What river was Petrela located by? ",2.127822848,Answer:,32,65.536,0.0,32468.0,2.127822848, The river Deabolis,2127.822848,32468.0
32768,['1185' 'in 1185' '1185'],2190.999552,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When did the Normans attack Dyrrachium? ",2.190999552,Answer:,32,65.536,0.0,33432.0,2.190999552," 1081, 1107, and 1185",2190.999552,33432.0
32768,['Dyrrachium' 'Dyrrachium' 'Dyrrachium'],2221.473792,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What was the naval base called? ",2.221473792,Answer:,32,65.536,0.0,33897.0,2.221473792, Dyrrachium,2221.473792,33897.0
32768,['the Adriatic' 'the Adriatic' 'Adriatic'],2225.012736,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Where was Dyrrachium located? ",2.225012736,Answer:,32,65.536,0.0,33951.0,2.225012736, Dyrrachium was located on the southern shores of Albania.,2225.012736,33951.0
32768,['King Ethelred II' 'Ethelred II' 'King Ethelred II'],2194.079744,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who did Emma Marry? ",2.194079744,Answer:,32,65.536,0.0,33479.0,2.194079744, King Ethelred II of England,2194.079744,33479.0
32768,['Duke Richard II' 'Duke Richard II' 'Duke Richard II'],2213.4784,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was Emma's brother? ",2.2134784,Answer:,32,65.536,0.0,33775.0,2.2134784, Duke Richard II of Normandy,2213.4784,33775.0
32768,['Normandy' 'Normandy' 'Normandy'],2029.387776,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: To where did Ethelred flee? ",2.029387776,Answer:,32,65.536,0.0,30966.0,2.029387776, Normandy,2029.387776,30966.0
32768,['Sweyn Forkbeard' 'Sweyn Forkbeard' 'Sweyn Forkbeard'],2134.900736,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who kicked Ethelred out? ",2.134900736,Answer:,32,65.536,0.0,32576.0,2.134900736, Sweyn Forkbeard,2134.900736,32576.0
32768,['Harthacnut' 'Harthacnut' 'Harthacnut'],2126.31552,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was Edward the Confessor's half-brother? ",2.12631552,Answer:,32,65.536,0.0,32445.0,2.12631552, Harthacnut,2126.31552,32445.0
32768,['1041' 'in 1041' '1041'],2171.273216,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When did Edward return? ",2.171273216,Answer:,32,65.536,0.0,33131.0,2.171273216, 1041,2171.273216,33131.0
32768,['Robert of Jumièges' 'Robert of Jumièges' 'Robert of Jumièges'],2153.447424,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who did Edward make archbishop of Canterbury? ",2.153447424,Answer:,32,65.536,0.0,32859.0,2.153447424, Robert of Jumièges,2153.447424,32859.0
