question,memory_budget_unit,retained_kv_memory_mb,token_budget,compression_ratio,context_length,predicted_answer,context_tokens,uncompressed_kv_memory_gb,memory_budget,context_id,task,kv_memory_per_token_kb,retained_kv_memory_gb,answer_prefix,uncompressed_kv_memory_mb,max_new_tokens,answer,retained_context_tokens
What is the value associated with key 1C80A3B1799D? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,BDD606671AD1,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['BDD606671AD1'],3472.0
What is the value associated with key 3EB146685257? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,B74D32E70629,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['23B8392456DE'],3472.0
What is the value associated with key 1A3DBC8960A9? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,1C80A3B1799D,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['BD9CAD3C2D6D'],3472.0
What is the value associated with key 8B9DE465E150? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,8A4B2779468A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['972A16419F82'],3472.0
What is the value associated with key 08226C031199? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,63F2940D4778,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['17FC07A0CA6E'],3472.0
What is the value associated with key 3B8F37F8A88B? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,66244FCCA39A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['9A1D815EF6D1'],3472.0
What is the value associated with key 8FAD06CB0FB3? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,6B658B814E5A,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['B74D32E70629'],3472.0
What is the value associated with key B38AA65ED389? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,B08D98C39007,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['6B658B8148F6'],3472.0
What is the value associated with key 72FF386ECBE0? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,The value associated with key `72FF386ECBE0` is `541213345821`.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['473796DA1DAC'],3472.0
What is the value associated with key DE8ACF36D58B? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,BDD606671AD1,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['C24101A9E71F'],3472.0
What is the value associated with key 28DFCE4A2BBD? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,637BD617B9C0,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['6C30B2B9437A'],3472.0
What is the value associated with key 4722571AA876? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,6E0A2C307096,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['371E27CD8130'],3472.0
What is the value associated with key C374F50BEA63? Return only the value.,MB,511.967232,3472.0,0.9406262291157207,62995,C374F50BEA63 is not a valid key in the provided list. Please check the key and try again.,58477.0,8.622784512,512.0,context_0000,synthetic_kv_64k,147.456,0.511967232,,8622.784512,32,['1A2A562B0F79'],3472.0
