predicted_answer,max_new_tokens,task,retained_kv_memory_gb,kv_memory_per_token_kb,split,compression_ratio,question,retained_context_tokens,answers,retained_kv_memory_mb,context_tokens,answer_prefix,uncompressed_kv_memory_gb,uncompressed_kv_memory_mb
" ['The Invincible Constable', 'The Village of No Return', 'The Adventures of Jinbao']",256,quest_32k,6.546898944,147.456,dev,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Capua Films
",44399.0,['Spartacus (film)'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Midnight Zoo', 'This Census-Taker', 'Black Sheep (Hill novel)']",256,quest_32k,6.546898944,147.456,dev,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1990s Indian and folklore romance films.
",44399.0,['Laal Paree' 'Roja (film)' 'Sahasa Veerudu Sagara Kanya'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao']",256,quest_32k,6.546898944,147.456,dev,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films shot in Gauteng or New Zealand action thrillers or Western films from South Africa
",44399.0,['6 Days (2017 film)' 'Glory Glory (2000 film)' 'The Jackals'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away']",256,quest_32k,6.546898944,147.456,dev,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1860 novels or 1860 American novels or Ivan Turgenev novellas
",44399.0,['Max Havelaar' 'The Marble Faun' 'The Mill on the Floss'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao']",256,quest_32k,6.546898944,147.456,dev,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Horror anthology films about time travel that were shot in the US
",44399.0,['Southbound (2015 film)' 'Twilight Zone: The Movie'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Gate to Women's Country', 'The Two Captains', 'The Trellisane Confrontation', 'The Vulcan Academy Murders', 'The Lives of Animals', 'The Midnight Zoo', 'The Phantom', 'The Village of No Return', 'The Invincible Constable', 'The Adventures of Jinbao', 'The Public Image', 'The Two Who Stole the Moon', 'The Changeover', 'The Blind Owl', '",256,quest_32k,6.546898944,147.456,dev,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on European myths and legends and young adult literature
",44399.0,['Percy Jackson & the Olympians: The Lightning Thief'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Village of No Return', 'The Midnight Zoo', 'The Midnight Zoo']",256,quest_32k,6.546898944,147.456,dev,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Supernatural horror films in the Artic
",44399.0,"['Kajutaijuq: The Spirit That Comes' 'The Abandoned (2006 film)'
 'The Last Winter (2006 film)']",6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Invincible Constable', 'The Village of No Return']",256,quest_32k,6.546898944,147.456,dev,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Northern Mariana Islands set films
",44399.0,['Anatahan (film)' 'Oba: The Last Samurai'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Lives of Animals', 'Treason by the Book', 'The Village of No Return']",256,quest_32k,6.546898944,147.456,dev,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1980 books that are non fiction and, about British thriller.
",44399.0,['Man on Fire (Quinnell novel)' 'Sweet Adelaide'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['Go to Hell!!', 'The Village of No Return']",256,quest_32k,6.546898944,147.456,dev,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Australian novels from 1991
",44399.0,['Cloudstreet' 'Mandragora (novel)' 'Our Sunshine'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Story Without a Name (novel)', 'A Case of Need', 'Poison in Jest', 'The Violent Bear It Away', 'The Final Nexus', 'The Vulcan Academy Murders', 'The Lives of Animals', 'The Violent Bear It Away', 'The Final Nexus', 'The Vulcan Academy Murders', 'The Lives of Animals']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels about families set in Boston and New England.
",44399.0,['A Case of Need'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The 3 Mistakes of My Life', 'One Night @ the Call Center', 'Five Point Someone']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2009 Indian, or by Chetan Bhagat, novels
",44399.0,"['Five Point Someone' 'One Night @ the Call Center'
 'The 3 Mistakes of My Life']",6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Gate to Women's Country', 'The Story Without a Name (novel)', 'The Violent Bear It Away', 'The Two Captains', 'The Lives of Animals', 'The Girl on the Stairs', 'The Midnight Zoo', 'The Violent Bear It Away', 'The Two Captains', 'The Lives of Animals', 'The Girl on the Stairs', 'The Midnight Zoo', 'The Violent Bear It Away', 'The Two Captains', 'The",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Hispanic and Latino American novels set anywhere besides North America
",44399.0,['At Night We Walk in Circles' 'La reina de América' 'Lost City Radio'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Bewitched', 'The Violent Bear It Away', 'The Midnight Zoo', 'The Midnight Zoo', 'The Violent Bear It Away', 'The Bewitched']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Swiss Films about stalking
",44399.0,['One Way Trip 3D'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Violent Bear It Away', 'The Girl on the Stairs', 'Firecrest (novel)']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1971 British thriller novels
",44399.0,['Firecrest (novel)' 'Lament for Leto'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
" ['The Lives of Animals', 'Crisis of Conscience']",256,quest_32k,6.546898944,147.456,test,0.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Critical Jehovah's Witness books.
",44399.0,['Crisis of Conscience'],6546.898944,44399.0,Final Answer: ,6.546898944,6546.898944
