kv_memory_per_token_kb,answer_prefix,question,uncompressed_kv_memory_gb,memory_budget,uncompressed_kv_memory_mb,task,context_tokens,retained_context_tokens,retained_kv_memory_gb,max_new_tokens,retained_kv_memory_mb,memory_budget_unit,answer,predicted_answer,token_budget,compression_ratio,context_length
65.536,The special magic number for worried-colt mentioned in the provided text is,What is the special magic number for worried-colt mentioned in the provided text? ,2.215313408,0.8,2215.313408,niah_single_1,33803.0,12207.0,0.799997952,128,799.997952,GB,['8930103'], **8930103**.,12207.0,0.6388782060763838,32768
65.536,The special magic number for mindless-concert mentioned in the provided text is,What is the special magic number for mindless-concert mentioned in the provided text? ,2.215378944,0.8,2215.378944,niah_single_1,33804.0,12207.0,0.799997952,128,799.997952,GB,['4194548'], **4194548**.,12207.0,0.6388888888888888,32768
65.536,The special magic number for trite-omelet mentioned in the provided text is,What is the special magic number for trite-omelet mentioned in the provided text? ,2.21544448,0.8,2215.44448,niah_single_1,33805.0,12207.0,0.799997952,128,799.997952,GB,['8231838'], **8231838**.,12207.0,0.6388995710693685,32768
65.536,The special magic number for moaning-complicity mentioned in the provided text is,What is the special magic number for moaning-complicity mentioned in the provided text? ,2.215378944,0.8,2215.378944,niah_single_1,33804.0,12207.0,0.799997952,128,799.997952,GB,['8835373'], **8835373**.,12207.0,0.6388888888888888,32768
65.536,The special magic number for axiomatic-tremor mentioned in the provided text is,What is the special magic number for axiomatic-tremor mentioned in the provided text? ,2.215510016,0.8,2215.510016,niah_single_1,33806.0,12207.0,0.799997952,128,799.997952,GB,['7754864'], **7754864**.,12207.0,0.6389102526178785,32768
65.536,The special magic number for furtive-gearshift mentioned in the provided text is,What is the special magic number for furtive-gearshift mentioned in the provided text? ,2.215510016,0.8,2215.510016,niah_single_1,33806.0,12207.0,0.799997952,128,799.997952,GB,['4214348'], **4214348**.,12207.0,0.6389102526178785,32768
65.536,The special magic number for dazzling-dumbwaiter mentioned in the provided text is,What is the special magic number for dazzling-dumbwaiter mentioned in the provided text? ,2.21544448,0.8,2215.44448,niah_single_1,33805.0,12207.0,0.799997952,128,799.997952,GB,['8077999'], **8077999**.,12207.0,0.6388995710693685,32768
65.536,The special magic number for oval-tail mentioned in the provided text is,What is the special magic number for oval-tail mentioned in the provided text? ,2.215313408,0.8,2215.313408,niah_single_1,33803.0,12207.0,0.799997952,128,799.997952,GB,['5191056'], **5191056**.,12207.0,0.6388782060763838,32768
65.536,The special magic number for scattered-eaglet mentioned in the provided text is,What is the special magic number for scattered-eaglet mentioned in the provided text? ,2.215378944,0.8,2215.378944,niah_single_1,33804.0,12207.0,0.799997952,128,799.997952,GB,['2642635'], **2642635**.,12207.0,0.6388888888888888,32768
65.536,The special magic number for capricious-dugout mentioned in the provided text is,What is the special magic number for capricious-dugout mentioned in the provided text? ,2.215510016,0.8,2215.510016,niah_single_1,33806.0,12207.0,0.799997952,128,799.997952,GB,['4965789'], **4965789**.,12207.0,0.6389102526178785,32768
