uncompressed_kv_memory_mb,compression_ratio,token_budget,predicted_answer,retained_kv_memory_mb,answer,memory_budget,retained_kv_memory_gb,answer_prefix,kv_memory_per_token_kb,question,max_new_tokens,context_tokens,context_length,uncompressed_kv_memory_gb,retained_context_tokens,context_id,memory_budget_unit,task
2170.355712,0.0,122070.0,1C80A3B1799D,2170.355712,['V_BDD606671AD1'],8.0,2.170355712,Answer: ,65.536,Query key: K_1C80A3B1799D,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_23B8392456DE,2170.355712,['V_23B8392456DE'],8.0,2.170355712,Answer: ,65.536,Query key: K_3EB146685257,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_BD9CAD3C2D6D,2170.355712,['V_BD9CAD3C2D6D'],8.0,2.170355712,Answer: ,65.536,Query key: K_1A3DBC8960A9,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_972A16419F82,2170.355712,['V_972A16419F82'],8.0,2.170355712,Answer: ,65.536,Query key: K_8B9DE465E150,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_17FC07A0CA6E,2170.355712,['V_17FC07A0CA6E'],8.0,2.170355712,Answer: ,65.536,Query key: K_08226C031199,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_9A1D815EF6D1,2170.355712,['V_9A1D815EF6D1'],8.0,2.170355712,Answer: ,65.536,Query key: K_3B8F37F8A88B,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_B74D32E70629,2170.355712,['V_B74D32E70629'],8.0,2.170355712,Answer: ,65.536,Query key: K_8FAD06CB0FB3,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_6B658B8148F6,2170.355712,['V_6B658B8148F6'],8.0,2.170355712,Answer: ,65.536,Query key: K_B38AA65ED389,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0,473796DA1DAC,2170.355712,['V_473796DA1DAC'],8.0,2.170355712,Answer: ,65.536,Query key: K_72FF386ECBE0,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_C24101A9E71F,2170.355712,['V_C24101A9E71F'],8.0,2.170355712,Answer: ,65.536,Query key: K_DE8ACF36D58B,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0,6C30B2B9437A,2170.355712,['V_6C30B2B9437A'],8.0,2.170355712,Answer: ,65.536,Query key: K_28DFCE4A2BBD,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_371E27CD8130,2170.355712,['V_371E27CD8130'],8.0,2.170355712,Answer: ,65.536,Query key: K_4722571AA876,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0,1A2A562B0F79,2170.355712,['V_1A2A562B0F79'],8.0,2.170355712,Answer: ,65.536,Query key: K_C374F50BEA63,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_5BE618C26797,2170.355712,['V_5BE618C26797'],8.0,2.170355712,Answer: ,65.536,Query key: K_614217BE3111,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
2170.355712,0.0,122070.0, V_43B79A8DCA03,2170.355712,['V_43B79A8DCA03'],8.0,2.170355712,Answer: ,65.536,Query key: K_580DD8F56413,32,33117.0,31945,2.170355712,33117.0,context_0000,GB,synthetic_kv_32k
