uncompressed_kv_memory_gb,answer_prefix,answer,memory_budget,compression_ratio,max_new_tokens,kv_memory_per_token_kb,retained_context_tokens,context_tokens,token_budget,context_length,retained_kv_memory_mb,memory_budget_unit,retained_kv_memory_gb,question,predicted_answer,task,uncompressed_kv_memory_mb
2.728722432,The special magic number for fanatical-genocide mentioned in the provided text is,['8906355'],0.8,0.7068232581598097,128,65.536,12207.0,41637.0,12207.0,32768,799.997952,GB,0.799997952,What is the special magic number for fanatical-genocide mentioned in the provided text? , **8906355**.,niah_multikey_2,2728.722432
2.731671552,The special magic number for alcoholic-alloy mentioned in the provided text is,['7926237'],0.8,0.7071397725636965,128,65.536,12207.0,41682.0,12207.0,32768,799.997952,GB,0.799997952,What is the special magic number for alcoholic-alloy mentioned in the provided text? , **7926237**.,niah_multikey_2,2731.671552
2.729377792,The special magic number for trashy-spine mentioned in the provided text is,['3865550'],0.8,0.7068936538045958,128,65.536,12207.0,41647.0,12207.0,32768,799.997952,GB,0.799997952,What is the special magic number for trashy-spine mentioned in the provided text? , **3865550**.,niah_multikey_2,2729.377792
2.731081728,The special magic number for agreeable-memory mentioned in the provided text is,['8956675'],0.8,0.707076524368296,128,65.536,12207.0,41673.0,12207.0,32768,799.997952,GB,0.799997952,What is the special magic number for agreeable-memory mentioned in the provided text? , **8956675**.,niah_multikey_2,2731.081728
2.730033152,The special magic number for detailed-fork mentioned in the provided text is,['5194772'],0.8,0.7069640156516313,128,65.536,12207.0,41657.0,12207.0,32768,799.997952,GB,0.799997952,What is the special magic number for detailed-fork mentioned in the provided text? , **5194772**.,niah_multikey_2,2730.033152
2.727673856,The special magic number for futuristic-registry mentioned in the provided text is,['9875666'],0.8,0.7067105547680257,128,65.536,12207.0,41621.0,12207.0,32768,799.997952,GB,0.799997952,What is the special magic number for futuristic-registry mentioned in the provided text? , **9875666**.,niah_multikey_2,2727.673856
2.725707776,The special magic number for slippery-laparoscope mentioned in the provided text is,['3215142'],0.8,0.7064990021879733,128,65.536,12207.0,41591.0,12207.0,32768,799.997952,GB,0.799997952,What is the special magic number for slippery-laparoscope mentioned in the provided text? , **3215142**.,niah_multikey_2,2725.707776
2.72891904,The special magic number for ethereal-spasm mentioned in the provided text is,['9664574'],0.8,0.7068443804034582,128,65.536,12207.0,41640.0,12207.0,32768,799.997952,GB,0.799997952,What is the special magic number for ethereal-spasm mentioned in the provided text? , **9664574**.,niah_multikey_2,2728.91904
2.729181184,The special magic number for flippant-editing mentioned in the provided text is,['5533485'],0.8,0.7068725386610316,128,65.536,12207.0,41644.0,12207.0,32768,799.997952,GB,0.799997952,What is the special magic number for flippant-editing mentioned in the provided text? , **5533485**.,niah_multikey_2,2729.181184
2.730098688,The special magic number for small-runway mentioned in the provided text is,['3754389'],0.8,0.7069710499783954,128,65.536,12207.0,41658.0,12207.0,32768,799.997952,GB,0.799997952,What is the special magic number for small-runway mentioned in the provided text? , **3754389**.,niah_multikey_2,2730.098688
