id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:5,,"[""Nala""]",[],6651,4.05,True,final_called
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]",seven,6694,2.98,True,final_called
loft:nq_128k:11,,"[""September 1972""]",['September 1972'],6683,3.21,True,final_called
loft:nq_128k:13,,"[""2011""]",2012,12613,6.54,True,final_called
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]","The sun hits the United States first in the state of Alaska, specifically in the northernmost parts such as the Aleutian Islands or the Arctic Circle region, due to its geographic location.",12876,8.39,True,final_called
loft:nq_128k:15,,"[""Indian government""]",,6636,2.9,True,abstained
loft:nq_128k:17,,"[""Ledger""]",Heath Ledger,6632,2.7,True,final_called
loft:nq_128k:19,,"[""The Lykan Hypersport""]",['Lykan HyperSport'],6767,3.69,True,final_called
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]",['Jack Lord'],6748,3.33,True,final_called
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]",,6650,2.8,True,abstained
loft:nq_128k:30,,"[""9 to 25 February 2018""]",['9 to 25 February 2018'],6729,3.66,True,final_called
loft:nq_128k:32,,"[""Grisha""]",['G. Callen'],6779,4.03,True,final_called
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]",serosa,12564,5.41,True,final_called
loft:nq_128k:34,,"[""June 22, 1942""]",[],6819,6.23,True,final_called
loft:nq_128k:39,,"[""David Ben-Gurion""]",David Ben-Gurion,4912,3.48,True,final_called
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]",,6677,3.69,True,abstained
loft:nq_128k:42,,"[""produced by Quincy Jones""]","['Michael Jackson', 'Lionel Richie']",6656,3.53,True,final_called
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]","['Jawaharlal Nehru Centre for Advanced Scientific Research', '809']",6886,5.02,True,final_called
loft:nq_128k:45,,"[""condense the steam""]",,16178,12.83,True,abstained
loft:nq_128k:47,,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]",,35775,11.81,True,abstained
loft:nq_128k:48,,"[""imperial rule""]","TITLE: Economy of the Ming dynasty | ID: 807

Final Answer: ['The Ming dynasty had a feudal government structure with centralized imperial rule, where the emperor held supreme authority and governance was carried out through a bureaucratic system supported by the civil service examination system.']",32019,12.11,True,unproductive_broken
loft:nq_128k:51,,"[""Coire"", ""Corey"", ""Corie"", ""Correy"", ""Corrie"", ""Cory"", ""Khouri"", ""Kori"", ""Kory""]",,6646,3.13,True,abstained
loft:hotpotqa_128k:2,,"[""in 2000""]",2000,7521,7.61,True,final_called
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",[],7330,3.64,True,final_called
loft:hotpotqa_128k:7,,"[""Obsession""]",['Obsession'],7536,5.19,True,final_called
loft:hotpotqa_128k:8,,"[""Eli Roth""]",Eli Roth,7593,5.27,True,final_called
loft:hotpotqa_128k:11,,"[""1940""]",,5139,6.37,True,abstained
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]",1999 Galtür avalanche,18943,13.66,True,final_called
loft:hotpotqa_128k:15,,"[""England""]","['Marcus Rashford', 'Kylian Mbappé', 'Robert Lewandowski', 'Gonzalo Higuaín', 'Mauro Icardi', 'Harry Kane', 'Edinson Cavani', 'Riyad Mahrez', 'Romelu Lukaku', 'Cian Brennan', 'Aubameyang', 'Thiago']",7660,8.1,True,final_called
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]",Final Answer: [],15775,6.04,True,unproductive_broken
loft:hotpotqa_128k:20,,"[""Cambridge University""]",['Cambridge University'],46154,18.98,True,final_called
loft:hotpotqa_128k:21,,"[""25 million copies""]",0,5226,2.75,True,final_called
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]",['Ellie Kemper'],50694,15.59,True,final_called
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]",Roland R-8,7466,3.95,True,final_called
loft:hotpotqa_128k:24,,"[""The Vanishing""]",The Vanishing,7463,4.51,True,final_called
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]",,5265,4.36,True,abstained
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]",Cartoon Network Studios,5212,2.82,True,final_called
loft:hotpotqa_128k:28,,"[""no""]","['Götterdämmerung', 'Dafne']",7497,4.79,True,final_called
loft:hotpotqa_128k:29,,"[""Rome""]",Rome,7429,4.05,True,final_called
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]",Ahold,7585,4.14,True,final_called
loft:hotpotqa_128k:33,,"[""world wushu tournament""]",,5216,8.32,True,abstained
loft:hotpotqa_128k:34,,"[""Turkey""]",Istanbul,7479,4.68,True,final_called
loft:hotpotqa_128k:37,,"[""Afro-Russian""]",Beninese,7390,3.69,True,final_called
loft:hotpotqa_128k:39,,"[""8 November 1978""]",['8 November 1978'],25330,8.82,True,final_called
loft:hotpotqa_128k:41,,"[""genus""]",genus,7378,3.75,True,final_called
loft:hotpotqa_128k:44,,"[""Jamnagar""]",India,7414,5.2,True,final_called
loft:hotpotqa_128k:48,,"[""photographer""]",[],5266,3.76,True,final_called
loft:hotpotqa_128k:49,,"[""eight""]",unknown,5371,4.59,True,final_called
loft:hotpotqa_128k:51,,"[""no""]","No document provides information about Isaac Asimov or Michael Cunningham, nor their nationalities. Therefore, the query cannot be answered based on the given material.

Final Answer: []",15827,6.84,True,unproductive_broken
loft:hotpotqa_128k:52,,"[""yes""]",['yes'],35266,15.31,True,final_called
loft:hotpotqa_128k:53,,"[""North End Football Club""]",,5467,4.77,True,abstained
