id,answers,prediction,tokens,latency_s,score
loft:hotpotqa_128k:0,"[""Dan Bilzerian""]", [],121298,,0.0
loft:hotpotqa_128k:1,"[""Laura's Star""]", ['Laura's Star'],121295,,1.0
loft:hotpotqa_128k:2,"[""in 2000""]",2013,121307,,0.0
loft:hotpotqa_128k:3,"[""Araminta Ross""]", ['Harriet Tubman'],121302,,0.0
loft:hotpotqa_128k:4,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]", [],121292,,0.0
loft:hotpotqa_128k:5,"[""Adolfo Rodríguez Saá""]", ['Adolfo Rodríguez Saá'],121314,,1.0
loft:hotpotqa_128k:6,"[""1976""]",2009,121298,,0.0
loft:hotpotqa_128k:7,"[""Obsession""]", ['Battle Sheep'],121294,,0.0
loft:hotpotqa_128k:8,"[""Eli Roth""]", ['Eli Roth'],121320,,1.0
loft:hotpotqa_128k:9,"[""Washington State""]", ['Washington State Cougars football team'],121305,,1.0
loft:hotpotqa_128k:10,"[""Love Drunk""]", ['Love Drunk'],121314,,1.0
loft:hotpotqa_128k:11,"[""1940""]",1940–1944,121320,,1.0
loft:hotpotqa_128k:12,"[""The Galtür avalanche""]",1999 Galtür avalanche,121305,,1.0
loft:hotpotqa_128k:13,"[""Ali Qushji""]", ['Ali Qushji'],121310,,1.0
loft:hotpotqa_128k:14,"[""December 1974""]",1970,121301,,0.0
loft:hotpotqa_128k:15,"[""England""]", ['The Netherlands'],121303,,0.0
loft:hotpotqa_128k:16,"[""Morgan Llywelyn""]", ['Morgan Llywelyn'],121300,,1.0
loft:hotpotqa_128k:17,"[""Ten Walls""]", ['Ten Walls'],121310,,1.0
loft:hotpotqa_128k:18,"[""Caesars Palace Grand Prix""]", ['Caesars Palace Grand Prix'],121309,,1.0
loft:hotpotqa_128k:19,"[""The Suite Life of Zack & Cody""]", ['Phineas and Ferb'],121301,,0.0
loft:hotpotqa_128k:20,"[""Cambridge University""]"," ['Governor's House, Knutsford']",121307,,0.0
loft:hotpotqa_128k:21,"[""25 million copies""]",25 million copies sold,121301,,1.0
loft:hotpotqa_128k:22,"[""Ellie Kemper""]", ['Tina Fey'],121302,,0.0
loft:hotpotqa_128k:23,"[""The R-8 Human Rhythm Composer""]", ['R-8 Human Rhythm Composer'],121308,,1.0
loft:hotpotqa_128k:24,"[""The Vanishing""]", ['The Vanishing (1988 film)'],121323,,1.0
loft:hotpotqa_128k:25,"[""Michael Bruce Fiers""]", ['Mike Fiers'],121299,,0.0
loft:hotpotqa_128k:26,"[""Scapegoat Mountain""]"," ['Lewis and Clark County, Montana']",121299,,0.0
loft:hotpotqa_128k:27,"[""Justin Spitzer""]", ['Superstore'],121298,,0.0
loft:hotpotqa_128k:28,"[""no""]","1. Götterdämmerung is an opera in five acts by Richard Wagner, with a libretto by Emile de Najac and Paul Burani. It is a major work in the operatic repertoire and is considered a full opera. 2. Dafne is an opera in five acts by Giacomo Puccini, with a libretto by Ottavio Rinuccini. It is a well-known work in the operatic tradition. Therefore, both Götterdämmerung and Dafne are considered operas.",121410,,1.0
loft:hotpotqa_128k:29,"[""Rome""]"," ['Franco Corelli', 'Tosca (1956 film)']",121322,,0.0
loft:hotpotqa_128k:30,"[""Koninklijke Ahold N.V.""]", ['Ahold'],121299,,0.0
loft:hotpotqa_128k:31,"[""Unbreakable""]", ['Unbreakable'],121298,,1.0
loft:hotpotqa_128k:32,"[""directed by Shane Meadows""]", ['Stephen Graham'],121298,,0.0
loft:hotpotqa_128k:33,"[""world wushu tournament""]", ['Wing Chun (film)'],121310,,0.0
loft:hotpotqa_128k:34,"[""Turkey""]"," ['Column of the Goths', 'Gül Mosque']",121309,,0.0
loft:hotpotqa_128k:35,"[""Omega SA""]", ['Omega SA'],121303,,1.0
loft:hotpotqa_128k:36,"[""five""]",5,121301,,0.0
loft:hotpotqa_128k:37,"[""Afro-Russian""]", ['Afro-Russian'],121310,,1.0
loft:hotpotqa_128k:38,"[""Lawton Chiles""]", ['Lawton Chiles'],121313,,1.0
loft:hotpotqa_128k:39,"[""8 November 1978""]",1988,121294,,0.0
loft:hotpotqa_128k:40,"[""Nye County""]", ['Nevada Test Site'],121300,,0.0
loft:hotpotqa_128k:41,"[""genus""]", ['genus'],121299,,1.0
loft:hotpotqa_128k:42,"[""yes""]"," ['Anja Salomonowitz is a film director and screenwriter', 'Rod Lurie is an American director']",121315,,0.0
loft:hotpotqa_128k:43,"[""Shawnee""]"," ['Keokuk Falls, Oklahoma']",121305,,0.0
loft:hotpotqa_128k:44,"[""Jamnagar""]", ['India'],121293,,0.0
loft:hotpotqa_128k:45,"[""Viscount Cranborne""]"," ['William Pery, 3rd Earl of Limerick']",121325,,0.0
loft:hotpotqa_128k:46,"[""The Most Dangerous Game""]", ['The Most Dangerous Game'],121302,,1.0
loft:hotpotqa_128k:47,"[""John M. Dowd""]", ['John M. Dowd'],121310,,1.0
loft:hotpotqa_128k:48,"[""photographer""]", ['American fashion photographer'],121300,,1.0
loft:hotpotqa_128k:49,"[""eight""]",8,121305,,0.0
loft:hotpotqa_128k:50,"[""Philadelphia""]", ['Hollywood'],121297,,0.0
loft:hotpotqa_128k:51,"[""no""]"," ['Isaac Asimov', 'Michael Cunningham']",121300,,0.0
loft:hotpotqa_128k:52,"[""yes""]", ['no'],121300,,0.0
loft:hotpotqa_128k:53,"[""North End Football Club""]", ['None'],121296,,0.0
loft:hotpotqa_128k:54,"[""Mercury Prize""]", ['Mercury Prize'],121310,,1.0
