id,answers,prediction,tokens,latency_s,score
loft:musique_128k:0,"[""Al - Aqsa Mosque""]", [],119527,,0.0
loft:musique_128k:1,"[""Oriole Records.""]", [],119522,,0.0
loft:musique_128k:2,"[""Sales began worldwide in April 2012""]", ['2017'],119523,,0.0
loft:musique_128k:3,"[""1952""]",1997,119524,,0.0
loft:musique_128k:4,"[""Oriole Records.""]", ['Sony Music'],119527,,0.0
loft:musique_128k:5,"[""1941""]",1956,119514,,0.0
loft:musique_128k:6,"[""island Koh Phi Phi""]", ['Thailand'],119517,,0.0
loft:musique_128k:7,"[""Francisco Guterres""]", ['Pope John XXIII'],119529,,0.0
loft:musique_128k:8,"[""the country of India""]", ['Hindu'],119529,,0.0
loft:musique_128k:9,"[""1,400 years""]",1400,119524,,0.0
loft:musique_128k:10,"[""Rialto Bridge""]", [],119513,,0.0
loft:musique_128k:11,"[""16th - century""]",1976,119517,,0.0
loft:musique_128k:12,"[""Francisco Guterres""]", ['Pope John XXIII'],119529,,0.0
loft:musique_128k:13,"[""Rialto Bridge""]", ['The Rialto Bridge'],119526,,1.0
loft:musique_128k:14,"[""Toronto Coach Terminal""]", [],119518,,0.0
loft:musique_128k:15,"[""Walter Sabo""]", [],119522,,0.0
loft:musique_128k:16,"[""built on 16-bit architectures and offered improved graphics and sound""]", [],119509,,0.0
loft:musique_128k:17,"[""built in the 15th century""]",15th century,119522,,0.0
loft:musique_128k:18,"[""June 1941""]",1949,119529,,0.0
loft:musique_128k:19,"[""New York Yankees""]", [],119513,,0.0
loft:musique_128k:20,"[""1952""]", ['1965'],119519,,0.0
loft:musique_128k:21,"[""Rialto Bridge""]", ['Rialto Bridge'],119517,,1.0
loft:musique_128k:22,"[""1941""]", ['1956'],119516,,0.0
loft:musique_128k:23,"[""1941""]",1956,119515,,0.0
loft:musique_128k:24,"[""five""]",5,119517,,0.0
loft:musique_128k:25,"[""the country of India""]", ['Islam'],119529,,0.0
loft:musique_128k:26,"[""1905""]", ['1905'],119517,,1.0
loft:musique_128k:27,"[""five""]", ['1991'],119525,,0.0
loft:musique_128k:28,"[""Oriole Records.""]", [],119524,,0.0
loft:musique_128k:29,"[""Casa Loma""]", ['The Castle of the Holy Cross'],119530,,0.0
loft:musique_128k:30,"[""the country of India""]", ['Islam'],119527,,0.0
loft:musique_128k:31,"[""Sales began worldwide in April 2012""]", ['2017'],119519,,0.0
loft:musique_128k:32,"[""Pete Rose""]", ['The Boston Red Sox'],119518,,0.0
loft:musique_128k:33,"[""Warner Music Group""]", ['Sony Music'],119516,,0.0
loft:musique_128k:34,"[""the Mississippi River Delta""]", [],119514,,0.0
loft:musique_128k:35,"[""Abu Musa Ashaari""]"," ['One of the first converts to the faith that is the most common religion in Southeast Asia is not explicitly mentioned in the provided documents. The documents reference Islam as the most widely practised religion in Southeast Asia, but do not specify who was appointed as an arbitrator by the first convert to this faith. Therefore, no specific individual can be identified based on the given information.']",119588,,0.0
loft:musique_128k:36,"[""Chris Harrison""]", ['Judith Keppel'],119524,,0.0
loft:musique_128k:37,"[""Min Zhou""]", [],119510,,0.0
loft:musique_128k:38,"[""Sea, Air, and Land""]"," ['Seal stands for ""Sea, Air, and Land"" in the U.S. Navy SEALs, which is the primary special operations force of the U.S. Navy. The U.S. Navy SEALs operate in all environments (Sea, Air, and Land) and are part of the Naval Special Warfare Command. The USS Sable is a training ship of the U.S. Navy, and the term ""seal"" in this context refers to the U.S. Navy SEALs, not the ship itself. The term ""seal"" in the U.S. military branch is specifically associated with the Navy SEALs, which are a component of the U.S. Navy.']",119657,,1.0
loft:musique_128k:39,"[""Toronto Coach Terminal""]", ['Toronto'],119513,,0.0
loft:musique_128k:40,"[""Sea, Air, and Land""]", ['United States Navy'],119522,,0.0
loft:musique_128k:41,"[""1905""]", ['1905'],119522,,1.0
loft:musique_128k:42,"[""for the conclave in Rome""]", [],119508,,0.0
loft:musique_128k:43,"[""22""]",1,119509,,0.0
loft:musique_128k:44,"[""1984""]", [],119513,,0.0
loft:musique_128k:45,"[""2,548 sq mi""]",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,119770,,0.0
loft:musique_128k:46,"[""Jiangsu Nangang Basketball Club""]", ['The Beijing Ducks'],119524,,0.0
loft:musique_128k:47,"[""Jessie Woodrow Wilson""]", ['Woodrow Wilson'],119527,,0.0
loft:musique_128k:48,"[""The dynasty regrouped and defeated the Portuguese""]", [],119516,,0.0
loft:musique_128k:49,"[""Medieval Latin""]", [],119513,,0.0
loft:musique_128k:50,"[""Medieval Latin""]", [],119520,,0.0
loft:musique_128k:51,"[""Medieval Latin""]", ['Latin'],119517,,0.0
loft:musique_128k:52,"[""1981""]",1981,119520,,1.0
loft:musique_128k:53,"[""1981""]",1981,119522,,1.0
loft:musique_128k:54,"[""Medieval Latin""]", ['Latin'],119524,,0.0
