id,answers,prediction,tokens,latency_s,score
loft:hotpotqa_128k:0,"[""Dan Bilzerian""]","TITLE: Dan Bilzerian | ID: 366
TITLE: Extraction (film) | ID: 742

Final Answer:",128833,44.76,1.0
loft:hotpotqa_128k:1,"[""Laura's Star""]","TITLE: Tonka (film) | ID: 338  
TITLE: Wonder Woman (2009 film) | ID: 329  
TITLE: Laura's Star | ID: 605  

Final Answer: Tonka (film) - 1958",129286,52.85,0.0
loft:hotpotqa_128k:2,"[""in 2000""]","TITLE: 2013 America East Men's Lacrosse Tournament | ID: 1209  
Final Answer: []",128613,35.22,0.0
loft:hotpotqa_128k:3,"[""Araminta Ross""]","TITLE: Harriet Tubman | ID: 361  
TITLE: A Woman Called Moses | ID: 970  

Final Answer: Araminta Ross",128583,37.37,1.0
loft:hotpotqa_128k:4,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,128121,26.31,0.0
loft:hotpotqa_128k:5,"[""Adolfo Rodríguez Saá""]","TITLE: Ricardo Rodríguez Saá | ID: 148  
TITLE: Adolfo Rodríguez Saá | ID: 148  

Final Answer: Adolfo Rodríguez Saá",129145,51.55,1.0
loft:hotpotqa_128k:6,"[""1976""]","TITLE: Georgia World Congress Center
ID: 684

TITLE: Georgia International Convention Center
ID: 720

Final Answer: 2009",128688,34.99,0.0
loft:hotpotqa_128k:7,"[""Obsession""]","TITLE: Obsession (board game) | ID: 678  
TITLE: Battle Sheep | ID: 702  

Final Answer: Obsession",128871,48.35,1.0
loft:hotpotqa_128k:8,"[""Eli Roth""]","TITLE: The Man with the Iron Fists | ID: 818  
TITLE: RZA | ID: 818  

Final Answer: RZA",129494,55.63,0.0
loft:hotpotqa_128k:9,"[""Washington State""]","TITLE: Mike Leach (American football coach) | ID: 817
TITLE: Texas Tech Red Raiders | ID: 817

Final Answer: ['ID: 817 | TITLE: Mike Leach (American football coach)']",128686,41.9,0.0
loft:hotpotqa_128k:10,"[""Love Drunk""]","TITLE: Love Drunk | ID: 334

Final Answer: Love Drunk",128935,40.89,1.0
loft:hotpotqa_128k:11,"[""1940""]",,128461,26.04,0.0
loft:hotpotqa_128k:12,"[""The Galtür avalanche""]","TITLE: 1999 Galtür avalanche | ID: 967  
TITLE: Rigopiano avalanche | ID: 1050  

Final Answer: 1999 Galtür avalanche",128740,34.79,1.0
loft:hotpotqa_128k:13,"[""Ali Qushji""]","TITLE: Ali Qushji | ID: 539  
Final Answer: ['Ali Qushji']",128684,33.91,1.0
loft:hotpotqa_128k:14,"[""December 1974""]","TITLE: Métal hurlant | ID: 1074  
Final Answer: 1974",128568,31.21,0.0
loft:hotpotqa_128k:15,"[""England""]","TITLE: Nike Hypervenom | ID: 413  
Final Answer: England, France, Poland, Argentina, Uruguay, Algeria, Belgium, Ireland, Gabon",128989,44.17,1.0
loft:hotpotqa_128k:16,"[""Morgan Llywelyn""]","TITLE: Morgan Llywelyn | ID: 556  
TITLE: Robert Jordan | ID: 594  

Final Answer: Nothing can be determined with certainty about Robert Jordan's birth date. Only Morgan Llywelyn's birth date (December 3, 1937) is available. Without Robert Jordan's birth date, the question cannot be answered.",129290,52.63,1.0
