id,answers,prediction,tokens,latency_s,score
loft:quest_128k:0,"[""A Case of Need""]","TITLE: The Fall of Hyperion (novel) | ID: 117
TITLE: The Public Image | ID: 278
TITLE: The King and the Clown | ID: 298
TITLE: The Poot | ID: 272
TITLE: The Village of No Return | ID: 78
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Magician's Nephew | ID: 147
TITLE: The Two Who Stole the Moon | ID: 28
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Final Nexus | ID: 1
TITLE: The Scarlet Letter | ID: 69
TITLE: The Wandering Hill | ID: 49
TITLE: The Peacekeepers | ID: 33
TITLE: The Last Winter (2006 film) | ID: 6
TITLE: The Making of the Representative for Planet 8 | ID: 160
TITLE: The Story Without a Name (novel) | ID: 229
TITLE: The Drowning Girl | ID: 193
TITLE: The King's Man | ID: 43
TITLE: The Firebird Rocket | ID: 22
TITLE: The Adventures of Peregrine Pickle | ID: 23
TITLE: The Boys from Brazil | ID: 153
TITLE: The Two English Girls | ID: 213
TITLE: The Portage to San Cristobal of A.H. | ID: 184
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Glassworker | ID: 274
TITLE: The Lives of Animals | ID: 285
TITLE: The Public Image | ID: 278
TITLE: The King and the Clown | ID: 298
TITLE: The Poot | ID: 272
TITLE: The Village of No Return | ID: 78
TITLE: The Two Captains | ID: 157
TITLE: The Fire Devil | ID: 226
TITLE: The Legend of Johnny Lingo | ID: 200
TITLE: The Violent Bear It Away | ID: 177
TITLE: The Magician's Nephew | ID: 147
TITLE: The Two Who Stole the Moon | ID: 28
TITLE: The Abandoned (2006 film) | ID: 8
TITLE: The Final Nexus | ID: 1
TITLE: The Scarlet Letter | ID: 69
TITLE: The Wandering Hill | ID: 49
TITLE: The Peacekeepers | ID: 33
TITLE: The Last Winter (2006 film) | ID: 6
TITLE: The Making of the Representative for Planet 8 | ID: 160
TITLE: The Story Without a Name (novel) | ID: 229
TITLE: The Drowning Girl | ID: 193
